#    x        Cp  
   1.00000  0.26149
   0.99564  0.25513
   0.98786  0.21130
   0.97862  0.18411
   0.96829  0.16385
   0.95732  0.13457
   0.94599  0.11134
   0.93445  0.08839
   0.92281  0.06725
   0.91111  0.04724
   0.89938  0.02914
   0.88763  0.01117
   0.87586 -0.00777
   0.86407 -0.02655
   0.85226 -0.04518
   0.84042 -0.06184
   0.82857 -0.08151
   0.81671 -0.09658
   0.80484 -0.11594
   0.79295 -0.13176
   0.78106 -0.15058
   0.76916 -0.16756
   0.75725 -0.18556
   0.74534 -0.20147
   0.73343 -0.21778
   0.72153 -0.23588
   0.70962 -0.25382
   0.69771 -0.27279
   0.68581 -0.29094
   0.67391 -0.31127
   0.66202 -0.33066
   0.65015 -0.35144
   0.63829 -0.37071
   0.62644 -0.39341
   0.61460 -0.41235
   0.60276 -0.43422
   0.59092 -0.45616
   0.57908 -0.47635
   0.56725 -0.50026
   0.55543 -0.52280
   0.54361 -0.54768
   0.53181 -0.57235
   0.52002 -0.59716
   0.50824 -0.62349
   0.49647 -0.64966
   0.48471 -0.67727
   0.47296 -0.70473
   0.46122 -0.73294
   0.44948 -0.76178
   0.43776 -0.79158
   0.42604 -0.82224
   0.41433 -0.85377
   0.40264 -0.88670
   0.39097 -0.92133
   0.37931 -0.95605
   0.36767 -0.99148
   0.35604 -1.02839
   0.34443 -1.06527
   0.33283 -1.10363
   0.32124 -1.14358
   0.30967 -1.18541
   0.29812 -1.22895
   0.28659 -1.27486
   0.27509 -1.32179
   0.26362 -1.37176
   0.25218 -1.42327
   0.24078 -1.47784
   0.22942 -1.53533
   0.21811 -1.59666
   0.20686 -1.66147
   0.19567 -1.72801
   0.18455 -1.79784
   0.17349 -1.87013
   0.16251 -1.94621
   0.15161 -2.02704
   0.14081 -2.11489
   0.13013 -2.20656
   0.11957 -2.30435
   0.10915 -2.40893
   0.09889 -2.52045
   0.08883 -2.64562
   0.07903 -2.78771
   0.06952 -2.93970
   0.06038 -3.10752
   0.05168 -3.28881
   0.04353 -3.48477
   0.03607 -3.70830
   0.02943 -3.93603
   0.02371 -4.18752
   0.01892 -4.45859
   0.01499 -4.73106
   0.01180 -5.05363
   0.00921 -5.39031
   0.00710 -5.64302
   0.00538 -5.95522
   0.00397 -6.32413
   0.00281 -6.74853
   0.00187 -7.18399
   0.00114 -7.81883
   0.00061 -8.57356
   0.00028 -8.99425
   0.00016 -8.72263
   0.00025 -8.00661
   0.00057 -7.01646
   0.00116 -5.32061
   0.00204 -3.40433
   0.00321 -1.91288
   0.00464 -0.84453
   0.00634 -0.10773
   0.00836  0.32740
   0.01073  0.59855
   0.01356  0.78147
   0.01699  0.89856
   0.02120  0.96685
   0.02643  0.99670
   0.03289  0.99695
   0.04072  0.97596
   0.04973  0.94229
   0.05968  0.90346
   0.07024  0.86395
   0.08118  0.82651
   0.09231  0.79119
   0.10362  0.76051
   0.11489  0.73042
   0.12609  0.70524
   0.13732  0.68211
   0.14877  0.65921
   0.16040  0.63934
   0.17212  0.61902
   0.18390  0.60214
   0.19567  0.58222
   0.20746  0.56970
   0.21930  0.55304
   0.23113  0.53760
   0.24299  0.52551
   0.25489  0.51267
   0.26680  0.49979
   0.27869  0.48734
   0.29059  0.47671
   0.30250  0.46606
   0.31439  0.45429
   0.32625  0.44689
   0.33809  0.43681
   0.34989  0.42234
   0.36171  0.41817
   0.37359  0.40867
   0.38551  0.39986
   0.39744  0.39186
   0.40939  0.38279
   0.42130  0.37396
   0.43321  0.36741
   0.44513  0.36035
   0.45703  0.34972
   0.46892  0.34380
   0.48083  0.33750
   0.49276  0.33198
   0.50471  0.32483
   0.51663  0.31624
   0.52850  0.30873
   0.54038  0.30357
   0.55230  0.30009
   0.56424  0.29321
   0.57617  0.28594
   0.58807  0.27969
   0.59996  0.27418
   0.61188  0.27096
   0.62382  0.26484
   0.63573  0.25777
   0.64757  0.25128
   0.65943  0.24970
   0.67130  0.24272
   0.68317  0.23980
   0.69507  0.23406
   0.70697  0.22966
   0.71887  0.22427
   0.73077  0.22088
   0.74267  0.21559
   0.75456  0.21173
   0.76643  0.20806
   0.77831  0.20528
   0.79017  0.19920
   0.80206  0.19934
   0.81396  0.19404
   0.82585  0.19056
   0.83771  0.18632
   0.84958  0.18603
   0.86145  0.18139
   0.87333  0.17944
   0.88519  0.17694
   0.89707  0.17519
   0.90895  0.17475
   0.92081  0.17136
   0.93257  0.17235
   0.94420  0.17129
   0.95570  0.17333
   0.96700  0.17462
   0.97775  0.17728
   0.98749  0.18923
   0.99559  0.22762
   1.00000  0.26149
