#    x        Cp  
   1.00000  0.26149
   0.99564  0.25513
   0.98786  0.21130
   0.97862  0.18411
   0.96829  0.16385
   0.95732  0.13457
   0.94599  0.11134
   0.93445  0.08839
   0.92281  0.06725
   0.91111  0.04724
   0.89938  0.02914
   0.88763  0.01117
   0.87586 -0.00777
   0.86407 -0.02655
   0.85226 -0.04518
   0.84042 -0.06184
   0.82857 -0.08151
   0.81671 -0.09658
   0.80484 -0.11594
   0.79295 -0.13176
   0.78106 -0.15058
   0.76916 -0.16756
   0.75725 -0.18556
   0.74534 -0.20147
   0.73343 -0.21778
   0.72153 -0.23588
   0.70962 -0.25382
   0.69771 -0.27279
   0.68581 -0.29094
   0.67391 -0.31127
   0.66202 -0.33066
   0.65015 -0.35144
   0.63829 -0.37071
   0.62644 -0.39341
   0.61460 -0.41235
   0.60276 -0.43422
   0.59092 -0.45616
   0.57908 -0.47635
   0.56725 -0.50026
   0.55543 -0.52280
   0.54361 -0.54768
   0.53181 -0.57235
   0.52002 -0.59716
   0.50824 -0.62349
   0.49647 -0.64966
   0.48471 -0.67727
   0.47296 -0.70473
   0.46122 -0.73294
   0.44948 -0.76178
   0.43776 -0.79158
   0.42604 -0.82224
   0.41433 -0.85377
   0.40264 -0.88670
   0.39097 -0.92133
   0.37931 -0.95605
   0.36767 -0.99148
   0.35604 -1.02839
   0.34443 -1.06527
   0.33283 -1.10363
   0.32124 -1.14358
   0.30967 -1.18541
   0.29812 -1.22895
   0.28659 -1.27486
   0.27509 -1.32179
   0.26362 -1.37176
   0.25218 -1.42327
   0.24078 -1.47784
   0.22942 -1.53533
   0.21811 -1.59666
   0.20686 -1.66147
   0.19567 -1.72801
   0.18455 -1.79784
   0.17349 -1.87013
   0.16251 -1.94621
   0.15161 -2.02704
   0.14081 -2.11489
   0.13013 -2.20656
   0.11957 -2.30435
   0.10915 -2.40893
   0.09889 -2.52045
   0.08883 -2.64562
   0.07903 -2.78771
   0.06952 -2.93970
   0.06038 -3.10752
   0.05168 -3.28881
   0.04353 -3.48477
   0.03607 -3.70830
   0.02943 -3.93603
   0.02371 -4.18752
   0.01892 -4.45859
   0.01499 -4.73106
   0.01180 -5.05363
   0.00921 -5.39031
   0.00710 -5.64302
   0.00538 -5.95522
   0.00397 -6.32413
   0.00281 -6.74853
   0.00187 -7.18399
   0.00114 -7.81883
   0.00061 -8.57356
   0.00028 -8.99425
   0.00016 -8.72263
