#    x        Cp  
   1.00000  0.22293
   0.99406  0.23049
   0.98384  0.19866
   0.97369  0.17880
   0.96331  0.16075
   0.95295  0.14481
   0.94252  0.12971
   0.93212  0.11673
   0.92170  0.10381
   0.91126  0.09340
   0.90082  0.08159
   0.89038  0.07104
   0.87994  0.06053
   0.86951  0.04962
   0.85907  0.03992
   0.84864  0.02909
   0.83820  0.01938
   0.82777  0.00971
   0.81733  0.00036
   0.80690 -0.00928
   0.79647 -0.01855
   0.78603 -0.02801
   0.77560 -0.03718
   0.76517 -0.04619
   0.75474 -0.05474
   0.74430 -0.06339
   0.73387 -0.07181
   0.72344 -0.08107
   0.71301 -0.08965
   0.70258 -0.09906
   0.69214 -0.10874
   0.68171 -0.11852
   0.67128 -0.12817
   0.66085 -0.13812
   0.65042 -0.14820
   0.63998 -0.15824
   0.62955 -0.16862
   0.61912 -0.17866
   0.60868 -0.18882
   0.59825 -0.19921
   0.58781 -0.20930
   0.57737 -0.21971
   0.56693 -0.23039
   0.55649 -0.24151
   0.54605 -0.25239
   0.53560 -0.26373
   0.52516 -0.27546
   0.51471 -0.28690
   0.50426 -0.29882
   0.49381 -0.31092
   0.48336 -0.32303
   0.47291 -0.33533
   0.46245 -0.34768
   0.45200 -0.36017
   0.44154 -0.37258
   0.43107 -0.38548
   0.42061 -0.39804
   0.41014 -0.41135
   0.39967 -0.42453
   0.38920 -0.43814
   0.37873 -0.45171
   0.36825 -0.46511
   0.35778 -0.47855
   0.34730 -0.49219
   0.33682 -0.50548
   0.32633 -0.51937
   0.31585 -0.53311
   0.30536 -0.54751
   0.29488 -0.56209
   0.28439 -0.57629
   0.27391 -0.59135
   0.26342 -0.60616
   0.25293 -0.62123
   0.24245 -0.63648
   0.23197 -0.65172
   0.22149 -0.66846
   0.21102 -0.68430
   0.20056 -0.70019
   0.19010 -0.71502
   0.17966 -0.72911
   0.16922 -0.74169
   0.15879 -0.75364
   0.14839 -0.76594
   0.13802 -0.77797
   0.12767 -0.78726
   0.11735 -0.79416
   0.10704 -0.79735
   0.09678 -0.79684
   0.08660 -0.79613
   0.07656 -0.79246
   0.06661 -0.78004
   0.05669 -0.75754
   0.04698 -0.71781
   0.03766 -0.66489
   0.02899 -0.58352
   0.02062 -0.45407
   0.01314 -0.28204
   0.00766 -0.10932
   0.00312  0.29332
   0.00059  0.79336
   0.00009  0.93458
   0.00025  0.99997
   0.00092  0.88355
   0.00337  0.47345
   0.01034  0.25084
   0.01998  0.13860
   0.03006  0.09257
   0.04034  0.06397
   0.05069  0.04899
   0.06110  0.03641
   0.07153  0.03321
   0.08198  0.02504
   0.09242  0.02213
   0.10287  0.02333
   0.11334  0.01606
   0.12378  0.01657
   0.13419  0.02108
   0.14465  0.01633
   0.15512  0.01808
   0.16561  0.01584
   0.17611  0.01706
   0.18661  0.01592
   0.19710  0.01233
   0.20759  0.01720
   0.21809  0.01588
   0.22859  0.01283
   0.23909  0.01188
   0.24959  0.01380
   0.26009  0.01431
   0.27059  0.01194
   0.28109  0.00985
   0.29159  0.01023
   0.30209  0.01197
   0.31259  0.00932
   0.32308  0.00940
   0.33358  0.01257
   0.34407  0.00494
   0.35456  0.00470
   0.36506  0.00969
   0.37556  0.00674
   0.38606  0.00527
   0.39655  0.00525
   0.40706  0.00573
   0.41756  0.00372
   0.42805  0.00193
   0.43855  0.00306
   0.44906  0.00180
   0.45955 -0.00026
   0.47005 -0.00074
   0.48055  0.00006
   0.49105  0.00071
   0.50155  0.00054
   0.51205 -0.00122
   0.52255 -0.00317
   0.53304 -0.00442
   0.54354 -0.00179
   0.55404 -0.00007
   0.56453 -0.00221
   0.57503 -0.00279
   0.58553 -0.00240
   0.59602 -0.00395
   0.60652 -0.00198
   0.61702 -0.00037
   0.62751 -0.00194
   0.63801 -0.00462
   0.64850 -0.00286
   0.65899  0.00188
   0.66948 -0.00244
   0.67996 -0.00108
   0.69045  0.00403
   0.70094  0.00070
   0.71144  0.00067
   0.72193  0.00276
   0.73242  0.00514
   0.74291  0.00538
   0.75340  0.00372
   0.76389  0.00704
   0.77437  0.01266
   0.78486  0.00916
   0.79534  0.01260
   0.80583  0.01644
   0.81632  0.01732
   0.82681  0.01790
   0.83729  0.02158
   0.84778  0.02565
   0.85827  0.02802
   0.86875  0.02968
   0.87924  0.03468
   0.88972  0.03843
   0.90020  0.04346
   0.91068  0.04780
   0.92117  0.05336
   0.93165  0.05961
   0.94212  0.06483
   0.95259  0.07695
   0.96306  0.08134
   0.97352  0.09750
   0.98396  0.12027
   0.99419  0.15828
   1.00000  0.22293
