#    x        Cp  
   1.00000  0.27666
   0.99406  0.28575
   0.98384  0.24735
   0.97369  0.22323
   0.96331  0.20119
   0.95295  0.18163
   0.94252  0.16304
   0.93212  0.14698
   0.92170  0.13094
   0.91126  0.11798
   0.90082  0.10323
   0.89038  0.09002
   0.87994  0.07681
   0.86951  0.06306
   0.85907  0.05081
   0.84864  0.03707
   0.83820  0.02473
   0.82777  0.01241
   0.81733  0.00046
   0.80690 -0.01189
   0.79647 -0.02379
   0.78603 -0.03599
   0.77560 -0.04783
   0.76517 -0.05949
   0.75474 -0.07059
   0.74430 -0.08185
   0.73387 -0.09283
   0.72344 -0.10494
   0.71301 -0.11619
   0.70258 -0.12855
   0.69214 -0.14130
   0.68171 -0.15423
   0.67128 -0.16701
   0.66085 -0.18023
   0.65042 -0.19367
   0.63998 -0.20708
   0.62955 -0.22100
   0.61912 -0.23449
   0.60868 -0.24818
   0.59825 -0.26223
   0.58781 -0.27592
   0.57737 -0.29008
   0.56693 -0.30465
   0.55649 -0.31987
   0.54605 -0.33481
   0.53560 -0.35043
   0.52516 -0.36663
   0.51471 -0.38250
   0.50426 -0.39908
   0.49381 -0.41597
   0.48336 -0.43295
   0.47291 -0.45024
   0.46245 -0.46768
   0.45200 -0.48536
   0.44154 -0.50300
   0.43107 -0.52141
   0.42061 -0.53941
   0.41014 -0.55855
   0.39967 -0.57757
   0.38920 -0.59730
   0.37873 -0.61704
   0.36825 -0.63662
   0.35778 -0.65633
   0.34730 -0.67642
   0.33682 -0.69608
   0.32633 -0.71671
   0.31585 -0.73720
   0.30536 -0.75876
   0.29488 -0.78068
   0.28439 -0.80213
   0.27391 -0.82499
   0.26342 -0.84757
   0.25293 -0.87064
   0.24245 -0.89410
   0.23197 -0.91766
   0.22149 -0.94366
   0.21102 -0.96838
   0.20056 -0.99331
   0.19010 -1.01670
   0.17966 -1.03900
   0.16922 -1.05900
   0.15879 -1.07807
   0.14839 -1.09778
   0.13802 -1.11712
   0.12767 -1.13212
   0.11735 -1.14328
   0.10704 -1.14845
   0.09678 -1.14762
   0.08660 -1.14646
   0.07656 -1.14052
   0.06661 -1.12047
   0.05669 -1.08431
   0.04698 -1.02110
   0.03766 -0.93811
   0.02899 -0.81310
   0.02062 -0.62048
   0.01314 -0.37575
   0.00766 -0.14207
   0.00312  0.36057
   0.00059  0.91388
   0.00009  1.05774
   0.00025  1.12267
   0.00092  1.00634
   0.00337  0.56826
   0.01034  0.31013
   0.01998  0.17400
   0.03006  0.11694
   0.04034  0.08113
   0.05069  0.06227
   0.06110  0.04636
   0.07153  0.04230
   0.08198  0.03194
   0.09242  0.02823
   0.10287  0.02976
   0.11334  0.02051
   0.12378  0.02116
   0.13419  0.02689
   0.14465  0.02084
   0.15512  0.02308
   0.16561  0.02023
   0.17611  0.02179
   0.18661  0.02033
   0.19710  0.01575
   0.20759  0.02196
   0.21809  0.02027
   0.22859  0.01639
   0.23909  0.01518
   0.24959  0.01763
   0.26009  0.01827
   0.27059  0.01525
   0.28109  0.01258
   0.29159  0.01308
   0.30209  0.01530
   0.31259  0.01192
   0.32308  0.01202
   0.33358  0.01606
   0.34407  0.00631
   0.35456  0.00601
   0.36506  0.01238
   0.37556  0.00861
   0.38606  0.00674
   0.39655  0.00671
   0.40706  0.00733
   0.41756  0.00476
   0.42805  0.00247
   0.43855  0.00391
   0.44906  0.00230
   0.45955 -0.00033
   0.47005 -0.00094
   0.48055  0.00007
   0.49105  0.00091
   0.50155  0.00069
   0.51205 -0.00156
   0.52255 -0.00406
   0.53304 -0.00567
   0.54354 -0.00229
   0.55404 -0.00009
   0.56453 -0.00282
   0.57503 -0.00358
   0.58553 -0.00307
   0.59602 -0.00505
   0.60652 -0.00253
   0.61702 -0.00047
   0.62751 -0.00248
   0.63801 -0.00592
   0.64850 -0.00366
   0.65899  0.00241
   0.66948 -0.00313
   0.67996 -0.00138
   0.69045  0.00516
   0.70094  0.00089
   0.71144  0.00086
   0.72193  0.00354
   0.73242  0.00657
   0.74291  0.00688
   0.75340  0.00476
   0.76389  0.00900
   0.77437  0.01617
   0.78486  0.01171
   0.79534  0.01609
   0.80583  0.02099
   0.81632  0.02212
   0.82681  0.02284
   0.83729  0.02753
   0.84778  0.03271
   0.85827  0.03572
   0.86875  0.03783
   0.87924  0.04416
   0.88972  0.04891
   0.90020  0.05528
   0.91068  0.06077
   0.92117  0.06778
   0.93165  0.07565
   0.94212  0.08222
   0.95259  0.09742
   0.96306  0.10292
   0.97352  0.12309
   0.98396  0.15136
   0.99419  0.19817
   1.00000  0.27666
