#    s        Cf    
   0.00000  0.002278
   0.00436  0.002336
   0.01215  0.002364
   0.02140  0.002421
   0.03175  0.002487
   0.04275  0.002564
   0.05413  0.002651
   0.06571  0.002731
   0.07741  0.002810
   0.08916  0.002882
   0.10095  0.002951
   0.11276  0.003019
   0.12460  0.003091
   0.13646  0.003166
   0.14835  0.003241
   0.16026  0.003314
   0.17218  0.003389
   0.18412  0.003462
   0.19607  0.003537
   0.20803  0.003614
   0.22000  0.003692
   0.23198  0.003769
   0.24397  0.003845
   0.25596  0.003922
   0.26795  0.003997
   0.27993  0.004074
   0.29192  0.004155
   0.30391  0.004234
   0.31590  0.004313
   0.32788  0.004385
   0.33984  0.004445
   0.35180  0.004487
   0.36374  0.004494
   0.37566  0.004449
   0.38758  0.004314
   0.39949  0.004047
   0.41140  0.003583
   0.42331  0.002866
   0.43521  0.001909
   0.44710  0.000947
   0.45898  0.000372
   0.47084  0.000180
   0.48269  0.000132
   0.49453  0.000114
   0.50635  0.000114
   0.51817  0.000127
   0.52996  0.000148
   0.54175  0.000176
   0.55353  0.000211
   0.56529  0.000251
   0.57704  0.000296
   0.58878  0.000347
   0.60050  0.000405
   0.61220  0.000468
   0.62388  0.000534
   0.63554  0.000599
   0.64718  0.000664
   0.65881  0.000732
   0.67042  0.000791
   0.68202  0.000861
   0.69359  0.000935
   0.70515  0.001006
   0.71667  0.001092
   0.72817  0.001176
   0.73964  0.001260
   0.75108  0.001356
   0.76249  0.001461
   0.77385  0.001569
   0.78517  0.001706
   0.79643  0.001847
   0.80763  0.002002
   0.81878  0.002161
   0.82987  0.002341
   0.84089  0.002481
   0.85185  0.002693
   0.86273  0.002897
   0.87352  0.003130
   0.88421  0.003370
   0.89479  0.003643
   0.90524  0.003874
   0.91555  0.004165
   0.92566  0.004571
   0.93552  0.004952
   0.94510  0.005429
   0.95431  0.005919
   0.96307  0.006409
   0.97123  0.007011
   0.97864  0.007518
   0.98520  0.008036
   0.99084  0.008537
   0.99564  0.008849
   0.99969  0.008977
   1.00312  0.009636
   1.00607  0.009044
   1.00862  0.009119
   1.01086  0.007969
   1.01285  0.007455
   1.01465  0.005311
   1.01626  0.003373
   1.01771  0.000645
   1.01903  0.006457
   1.02031  0.012480
   1.02158  0.020716
   1.02288  0.027355
   1.02422  0.029062
   1.02567  0.023832
   1.02724  0.019563
   1.02897  0.013883
   1.03090  0.007838
   1.03310  0.006884
   1.03564  0.007289
   1.03863  0.006458
   1.04220  0.005684
   1.04653  0.004707
   1.05188  0.004083
   1.05845  0.003508
   1.06636  0.003023
   1.07544  0.002731
   1.08545  0.002312
   1.09604  0.002112
   1.10701  0.001941
   1.11816  0.001831
   1.12949  0.001620
   1.14077  0.001620
   1.15198  0.001475
   1.16321  0.001376
   1.17466  0.001344
   1.18629  0.001265
   1.19802  0.001256
   1.20980  0.001194
   1.22157  0.001239
   1.23336  0.001116
   1.24520  0.001134
   1.25703  0.001131
   1.26889  0.001082
   1.28080  0.001052
   1.29270  0.001052
   1.30459  0.001041
   1.31649  0.001013
   1.32840  0.000995
   1.34029  0.000995
   1.35215  0.000948
   1.36399  0.000947
   1.37579  0.000999
   1.38761  0.000925
   1.39950  0.000913
   1.41141  0.000909
   1.42335  0.000893
   1.43529  0.000895
   1.44721  0.000896
   1.45912  0.000874
   1.47104  0.000862
   1.48294  0.000880
   1.49483  0.000860
   1.50674  0.000835
   1.51868  0.000812
   1.53063  0.000802
   1.54254  0.000815
   1.55442  0.000814
   1.56630  0.000786
   1.57823  0.000751
   1.59017  0.000744
   1.60210  0.000743
   1.61401  0.000739
   1.62590  0.000722
   1.63783  0.000693
   1.64977  0.000682
   1.66168  0.000688
   1.67353  0.000680
   1.68540  0.000637
   1.69727  0.000638
   1.70915  0.000617
   1.72106  0.000600
   1.73297  0.000591
   1.74487  0.000571
   1.75679  0.000556
   1.76870  0.000538
   1.78059  0.000524
   1.79247  0.000496
   1.80437  0.000475
   1.81624  0.000458
   1.82815  0.000426
   1.84006  0.000410
   1.85196  0.000390
   1.86383  0.000368
   1.87572  0.000338
   1.88761  0.000322
   1.89950  0.000301
   1.91139  0.000278
   1.92329  0.000263
   1.93518  0.000252
   1.94706  0.000265
   1.95885  0.000368
   1.97049  0.000615
   1.98202  0.000966
   1.99334  0.001362
   2.00411  0.001659
   2.01387  0.001794
   2.02199  0.001730
   2.02641  0.001485
