#    s         Cf    
   0.00000   0.004277
   0.00436   0.004550
   0.01215   0.004364
   0.02140   0.004271
   0.03175   0.004225
   0.04275   0.004227
   0.05413   0.004262
   0.06571   0.004303
   0.07741   0.004347
   0.08916   0.004388
   0.10095   0.004423
   0.11276   0.004455
   0.12460   0.004484
   0.13646   0.004506
   0.14835   0.004514
   0.16026   0.004499
   0.17218   0.004463
   0.18412   0.004390
   0.19607   0.004281
   0.20803   0.004121
   0.22000   0.003900
   0.23198   0.003600
   0.24397   0.003212
   0.25596   0.002727
   0.26795   0.002172
   0.27993   0.001702
   0.29192   0.001170
   0.30391   0.000624
   0.31590   0.000162
   0.32788  -0.000138
   0.33984  -0.000191
   0.35180  -0.000213
   0.36374  -0.000225
   0.37566  -0.000233
   0.38758  -0.000237
   0.39949  -0.000239
   0.41140  -0.000239
   0.42331  -0.000236
   0.43521  -0.000230
   0.44710  -0.000220
   0.45898  -0.000204
   0.47084  -0.000182
   0.48269  -0.000152
   0.49453  -0.000113
   0.50635  -0.000065
   0.51817  -0.000005
   0.52996   0.000063
   0.54175   0.000141
   0.55353   0.000226
   0.56529   0.000322
   0.57704   0.000422
   0.58878   0.000534
   0.60050   0.000655
   0.61220   0.000781
   0.62388   0.000917
   0.63554   0.001050
   0.64718   0.001184
   0.65881   0.001329
   0.67042   0.001451
   0.68202   0.001601
   0.69359   0.001755
   0.70515   0.001898
   0.71667   0.002077
   0.72817   0.002254
   0.73964   0.002414
   0.75108   0.002617
   0.76249   0.002842
   0.77385   0.003055
   0.78517   0.003328
   0.79643   0.003602
   0.80763   0.003916
   0.81878   0.004223
   0.82987   0.004620
   0.84089   0.004850
   0.85185   0.005342
   0.86273   0.005707
   0.87352   0.006198
   0.88421   0.006667
   0.89479   0.007234
   0.90524   0.007683
   0.91555   0.008296
   0.92566   0.009160
   0.93552   0.009903
   0.94510   0.010906
   0.95431   0.011858
   0.96307   0.013005
   0.97123   0.014151
   0.97864   0.015303
   0.98520   0.016546
   0.99084   0.017612
   0.99564   0.018362
   0.99969   0.018941
   1.00312   0.020477
   1.00607   0.019550
   1.00862   0.020374
   1.01086   0.018546
   1.01285   0.017312
   1.01465   0.015040
   1.01626   0.011369
   1.01771   0.005265
   1.01903   0.004387
   1.02031   0.016372
   1.02158   0.030847
   1.02288   0.045192
   1.02422   0.051301
   1.02567   0.043268
   1.02724   0.037332
   1.02897   0.028589
   1.03090   0.018089
   1.03310   0.015558
   1.03564   0.015659
   1.03863   0.013861
   1.04220   0.012175
   1.04653   0.010322
   1.05188   0.009017
   1.05845   0.007803
   1.06636   0.006691
   1.07544   0.005990
   1.08545   0.005136
   1.09604   0.004646
   1.10701   0.004299
   1.11816   0.003969
   1.12949   0.003597
   1.14077   0.003489
   1.15198   0.003216
   1.16321   0.003016
   1.17466   0.002894
   1.18629   0.002754
   1.19802   0.002683
   1.20980   0.002578
   1.22157   0.002596
   1.23336   0.002402
   1.24520   0.002399
   1.25703   0.002357
   1.26889   0.002284
   1.28080   0.002215
   1.29270   0.002193
   1.30459   0.002162
   1.31649   0.002098
   1.32840   0.002064
   1.34029   0.002042
   1.35215   0.001973
   1.36399   0.001956
   1.37579   0.002004
   1.38761   0.001902
   1.39950   0.001868
   1.41141   0.001852
   1.42335   0.001817
   1.43529   0.001807
   1.44721   0.001798
   1.45912   0.001760
   1.47104   0.001732
   1.48294   0.001742
   1.49483   0.001701
   1.50674   0.001662
   1.51868   0.001619
   1.53063   0.001593
   1.54254   0.001594
   1.55442   0.001579
   1.56630   0.001531
   1.57823   0.001472
   1.59017   0.001449
   1.60210   0.001431
   1.61401   0.001408
   1.62590   0.001371
   1.63783   0.001319
   1.64977   0.001288
   1.66168   0.001271
   1.67353   0.001241
   1.68540   0.001170
   1.69727   0.001145
   1.70915   0.001096
   1.72106   0.001048
   1.73297   0.001007
   1.74487   0.000954
   1.75679   0.000902
   1.76870   0.000845
   1.78059   0.000788
   1.79247   0.000716
   1.80437   0.000646
   1.81624   0.000578
   1.82815   0.000494
   1.84006   0.000421
   1.85196   0.000344
   1.86383   0.000264
   1.87572   0.000180
   1.88761   0.000107
   1.89950   0.000036
   1.91139  -0.000028
   1.92329  -0.000081
   1.93518  -0.000122
   1.94706  -0.000148
   1.95885  -0.000165
   1.97049  -0.000172
   1.98202  -0.000173
   1.99334  -0.000172
   2.00411  -0.000167
   2.01387  -0.000163
   2.02199  -0.000160
   2.02641  -0.000157
