#    s        Cf       
   0.00000  0.003383   
   0.00436  0.003496   
   0.01215  0.003452   
   0.02140  0.003451   
   0.03175  0.003474   
   0.04275  0.003531   
   0.05413  0.003607   
   0.06571  0.003688   
   0.07741  0.003773   
   0.08916  0.003856   
   0.10095  0.003938   
   0.11276  0.004022   
   0.12460  0.004111   
   0.13646  0.004205   
   0.14835  0.004298   
   0.16026  0.004387   
   0.17218  0.004480   
   0.18412  0.004564   
   0.19607  0.004651   
   0.20803  0.004734   
   0.22000  0.004815   
   0.23198  0.004889   
   0.24397  0.004955   
   0.25596  0.005009   
   0.26795  0.005054   
   0.27993  0.005086   
   0.29192  0.005105   
   0.30391  0.005105   
   0.31590  0.005075   
   0.32788  0.005012   
   0.33984  0.004899   
   0.35180  0.004725   
   0.36374  0.004466   
   0.37566  0.004106   
   0.38758  0.003617   
   0.39949  0.002996   
   0.41140  0.002382   
   0.42331  0.001739   
   0.43521  0.001020   
   0.44710  0.000350   
   0.45898 -0.000118   
   0.47084 -0.000256   
   0.48269 -0.000281   
   0.49453 -0.000294   
   0.50635 -0.000301   
   0.51817 -0.000306   
   0.52996 -0.000307   
   0.54175 -0.000305   
   0.55353 -0.000299   
   0.56529 -0.000286   
   0.57704 -0.000266   
   0.58878 -0.000234   
   0.60050 -0.000189   
   0.61220 -0.000127   
   0.62388 -0.000049   
   0.63554  0.000045   
   0.64718  0.000152   
   0.65881  0.000275   
   0.67042  0.000405   
   0.68202  0.000551   
   0.69359  0.000707   
   0.70515  0.000878   
   0.71667  0.001048   
   0.72817  0.001239   
   0.73964  0.001443   
   0.75108  0.001654   
   0.76249  0.001871   
   0.77385  0.002131   
   0.78517  0.002401   
   0.79643  0.002701   
   0.80763  0.003030   
   0.81878  0.003363   
   0.82987  0.003719   
   0.84089  0.004070   
   0.85185  0.004460   
   0.86273  0.004887   
   0.87352  0.005425   
   0.88421  0.005882   
   0.89479  0.006417   
   0.90524  0.007010   
   0.91555  0.007633   
   0.92566  0.008425   
   0.93552  0.009410   
   0.94510  0.010451   
   0.95431  0.011583   
   0.96307  0.012873   
   0.97123  0.014254   
   0.97864  0.015723   
   0.98520  0.017588   
   0.99084  0.018719   
   0.99564  0.020299   
   0.99969  0.021842   
   1.00312  0.024796   
   1.00607  0.025338   
   1.00862  0.025427   
   1.01086  0.027772   
   1.01285  0.027951   
   1.01465  0.027993   
   1.01626  0.029748   
   1.01771  0.027232   
   1.01903  0.026035   
   1.02031  0.018784   
   1.02158  0.006400   
   1.02288  0.006702   
   1.02422  0.019604   
   1.02567  0.024328   
   1.02724  0.026771   
   1.02897  0.022519   
   1.03090  0.018880   
   1.03310  0.017129   
   1.03564  0.016398   
   1.03863  0.015429   
   1.04220  0.013350   
   1.04653  0.012030   
   1.05188  0.010473   
   1.05845  0.009537   
   1.06636  0.008131   
   1.07544  0.007475   
   1.08545  0.006455   
   1.09604  0.005891   
   1.10701  0.005377   
   1.11816  0.005084   
   1.12949  0.004572   
   1.14077  0.004391   
   1.15198  0.004113   
   1.16321  0.003815   
   1.17466  0.003729   
   1.18629  0.003490   
   1.19802  0.003439   
   1.20980  0.003245   
   1.22157  0.003263   
   1.23336  0.003036   
   1.24520  0.003003   
   1.25703  0.002961   
   1.26889  0.002845   
   1.28080  0.002754   
   1.29270  0.002726   
   1.30459  0.002683   
   1.31649  0.002612   
   1.32840  0.002546   
   1.34029  0.002522   
   1.35215  0.002432   
   1.36399  0.002414   
   1.37579  0.002460   
   1.38761  0.002335   
   1.39950  0.002302   
   1.41141  0.002272   
   1.42335  0.002231   
   1.43529  0.002221   
   1.44721  0.002207   
   1.45912  0.002161   
   1.47104  0.002129   
   1.48294  0.002139   
   1.49483  0.002098   
   1.50674  0.002045   
   1.51868  0.002001   
   1.53063  0.001976   
   1.54254  0.001980   
   1.55442  0.001967   
   1.56630  0.001913   
   1.57823  0.001852   
   1.59017  0.001828   
   1.60210  0.001817   
   1.61401  0.001798   
   1.62590  0.001764   
   1.63783  0.001711   
   1.64977  0.001681   
   1.66168  0.001679   
   1.67353  0.001653   
   1.68540  0.001583   
   1.69727  0.001569   
   1.70915  0.001523   
   1.72106  0.001487   
   1.73297  0.001458   
   1.74487  0.001416   
   1.75679  0.001376   
   1.76870  0.001334   
   1.78059  0.001292   
   1.79247  0.001233   
   1.80437  0.001179   
   1.81624  0.001130   
   1.82815  0.001057   
   1.84006  0.001002   
   1.85196  0.000940   
   1.86383  0.000870   
   1.87572  0.000784   
   1.88761  0.000709   
   1.89950  0.000621   
   1.91139  0.000525   
   1.92329  0.000427   
   1.93518  0.000325   
   1.94706  0.000229   
   1.95885  0.000130   
   1.97049  0.000041   
   1.98202 -0.000036   
   1.99334 -0.000095   
   2.00411 -0.000138   
   2.01387 -0.000163   
   2.02199 -0.000173   
   2.02641 -0.000175   
