#    s         Cf     
   0.00000   0.004000 
   0.00436   0.004107 
   0.01215   0.004065 
   0.02140   0.004069 
   0.03175   0.004096 
   0.04275   0.004157 
   0.05413   0.004234 
   0.06571   0.004315 
   0.07741   0.004396 
   0.08916   0.004475 
   0.10095   0.004550 
   0.11276   0.004625 
   0.12460   0.004700 
   0.13646   0.004775 
   0.14835   0.004846 
   0.16026   0.004906 
   0.17218   0.004963 
   0.18412   0.005002 
   0.19607   0.005034 
   0.20803   0.005047 
   0.22000   0.005042 
   0.23198   0.005008 
   0.24397   0.004941 
   0.25596   0.004829 
   0.26795   0.004665 
   0.27993   0.004437 
   0.29192   0.004130 
   0.30391   0.003723 
   0.31590   0.003195 
   0.32788   0.002543 
   0.33984   0.001785 
   0.35180   0.001005 
   0.36374   0.000400 
   0.37566  -0.000100 
   0.38758  -0.000245 
   0.39949  -0.000272 
   0.41140  -0.000273 
   0.42331  -0.000274 
   0.43521  -0.000277 
   0.44710  -0.000280 
   0.45898  -0.000283 
   0.47084  -0.000286 
   0.48269  -0.000290 
   0.49453  -0.000294 
   0.50635  -0.000299 
   0.51817  -0.000304 
   0.52996  -0.000310 
   0.54175  -0.000317 
   0.55353  -0.000325 
   0.56529  -0.000334 
   0.57704  -0.000345 
   0.58878  -0.000358 
   0.60050  -0.000370 
   0.61220  -0.000376 
   0.62388  -0.000373 
   0.63554  -0.000352 
   0.64718  -0.000304 
   0.65881  -0.000223 
   0.67042  -0.000108 
   0.68202   0.000042 
   0.69359   0.000221 
   0.70515   0.000427 
   0.71667   0.000642 
   0.72817   0.000878 
   0.73964   0.001126 
   0.75108   0.001378 
   0.76249   0.001634 
   0.77385   0.001925 
   0.78517   0.002224 
   0.79643   0.002548 
   0.80763   0.002896 
   0.81878   0.003246 
   0.82987   0.003615 
   0.84089   0.003979 
   0.85185   0.004380 
   0.86273   0.004816 
   0.87352   0.005359 
   0.88421   0.005824 
   0.89479   0.006361 
   0.90524   0.006959 
   0.91555   0.007587 
   0.92566   0.008385 
   0.93552   0.009365 
   0.94510   0.010416 
   0.95431   0.011548 
   0.96307   0.012839 
   0.97123   0.014226 
   0.97864   0.015702 
   0.98520   0.017544 
   0.99084   0.018719 
   0.99564   0.020267 
   0.99969   0.021831 
   1.00312   0.024802 
   1.00607   0.025324 
   1.00862   0.025458 
   1.01086   0.027762 
   1.01285   0.028028 
   1.01465   0.028084 
   1.01626   0.029703 
   1.01771   0.027522 
   1.01903   0.026153 
   1.02031   0.019058 
   1.02158   0.006697 
   1.02288   0.006389 
   1.02422   0.019301 
   1.02567   0.024150 
   1.02724   0.026576 
   1.02897   0.022469 
   1.03090   0.018808 
   1.03310   0.017126 
   1.03564   0.016368 
   1.03863   0.015390 
   1.04220   0.013362 
   1.04653   0.012003 
   1.05188   0.010480 
   1.05845   0.009529 
   1.06636   0.008135 
   1.07544   0.007474 
   1.08545   0.006455 
   1.09604   0.005894 
   1.10701   0.005381 
   1.11816   0.005083 
   1.12949   0.004574 
   1.14077   0.004394 
   1.15198   0.004114 
   1.16321   0.003818 
   1.17466   0.003730 
   1.18629   0.003492 
   1.19802   0.003440 
   1.20980   0.003247 
   1.22157   0.003264 
   1.23336   0.003036 
   1.24520   0.003004 
   1.25703   0.002961 
   1.26889   0.002844 
   1.28080   0.002754 
   1.29270   0.002726 
   1.30459   0.002683 
   1.31649   0.002611 
   1.32840   0.002545 
   1.34029   0.002522 
   1.35215   0.002432 
   1.36399   0.002413 
   1.37579   0.002460 
   1.38761   0.002334 
   1.39950   0.002301 
   1.41141   0.002271 
   1.42335   0.002230 
   1.43529   0.002219 
   1.44721   0.002205 
   1.45912   0.002159 
   1.47104   0.002127 
   1.48294   0.002137 
   1.49483   0.002096 
   1.50674   0.002042 
   1.51868   0.001998 
   1.53063   0.001973 
   1.54254   0.001977 
   1.55442   0.001964 
   1.56630   0.001910 
   1.57823   0.001849 
   1.59017   0.001824 
   1.60210   0.001813 
   1.61401   0.001794 
   1.62590   0.001759 
   1.63783   0.001706 
   1.64977   0.001676 
   1.66168   0.001674 
   1.67353   0.001647 
   1.68540   0.001577 
   1.69727   0.001563 
   1.70915   0.001516 
   1.72106   0.001479 
   1.73297   0.001450 
   1.74487   0.001407 
   1.75679   0.001366 
   1.76870   0.001323 
   1.78059   0.001280 
   1.79247   0.001221 
   1.80437   0.001165 
   1.81624   0.001115 
   1.82815   0.001040 
   1.84006   0.000984 
   1.85196   0.000920 
   1.86383   0.000848 
   1.87572   0.000760 
   1.88761   0.000683 
   1.89950   0.000593 
   1.91139   0.000495 
   1.92329   0.000396 
   1.93518   0.000292 
   1.94706   0.000196 
   1.95885   0.000099 
   1.97049   0.000014 
   1.98202  -0.000059 
   1.99334  -0.000112 
   2.00411  -0.000149 
   2.01387  -0.000168 
   2.02199  -0.000174 
   2.02641  -0.000175 
