#    s        Cf    
   0.00000  0.002902
   0.00436  0.002996
   0.01215  0.002956
   0.02140  0.002951
   0.03175  0.002965
   0.04275  0.003009
   0.05413  0.003069
   0.06571  0.003134
   0.07741  0.003202
   0.08916  0.003269
   0.10095  0.003337
   0.11276  0.003406
   0.12460  0.003479
   0.13646  0.003557
   0.14835  0.003636
   0.16026  0.003712
   0.17218  0.003793
   0.18412  0.003868
   0.19607  0.003948
   0.20803  0.004026
   0.22000  0.004107
   0.23198  0.004185
   0.24397  0.004263
   0.25596  0.004339
   0.26795  0.004415
   0.27993  0.004493
   0.29192  0.004576
   0.30391  0.004663
   0.31590  0.004750
   0.32788  0.004843
   0.33984  0.004935
   0.35180  0.005030
   0.36374  0.005122
   0.37566  0.005216
   0.38758  0.005301
   0.39949  0.005384
   0.41140  0.005455
   0.42331  0.005510
   0.43521  0.005575
   0.44710  0.005613
   0.45898  0.005637
   0.47084  0.005630
   0.48269  0.005585
   0.49453  0.005497
   0.50635  0.005359
   0.51817  0.005235
   0.52996  0.005132
   0.54175  0.004923
   0.55353  0.004597
   0.56529  0.004128
   0.57704  0.003509
   0.58878  0.002781
   0.60050  0.002036
   0.61220  0.001409
   0.62388  0.000972
   0.63554  0.000886
   0.64718  0.000871
   0.65881  0.000898
   0.67042  0.000944
   0.68202  0.001018
   0.69359  0.001110
   0.70515  0.001227
   0.71667  0.001348
   0.72817  0.001497
   0.73964  0.001664
   0.75108  0.001843
   0.76249  0.002032
   0.77385  0.002270
   0.78517  0.002521
   0.79643  0.002805
   0.80763  0.003120
   0.81878  0.003442
   0.82987  0.003787
   0.84089  0.004130
   0.85185  0.004514
   0.86273  0.004934
   0.87352  0.005469
   0.88421  0.005921
   0.89479  0.006452
   0.90524  0.007042
   0.91555  0.007663
   0.92566  0.008452
   0.93552  0.009434
   0.94510  0.010474
   0.95431  0.011603
   0.96307  0.012893
   0.97123  0.014266
   0.97864  0.015735
   0.98520  0.017600
   0.99084  0.018724
   0.99564  0.020300
   0.99969  0.021823
   1.00312  0.024794
   1.00607  0.025306
   1.00862  0.025371
   1.01086  0.027728
   1.01285  0.027871
   1.01465  0.027918
   1.01626  0.029577
   1.01771  0.027080
   1.01903  0.025727
   1.02031  0.018464
   1.02158  0.006019
   1.02288  0.007075
   1.02422  0.019969
   1.02567  0.024542
   1.02724  0.026971
   1.02897  0.022584
   1.03090  0.018939
   1.03310  0.017152
   1.03564  0.016407
   1.03863  0.015447
   1.04220  0.013361
   1.04653  0.012032
   1.05188  0.010468
   1.05845  0.009537
   1.06636  0.008125
   1.07544  0.007470
   1.08545  0.006450
   1.09604  0.005886
   1.10701  0.005372
   1.11816  0.005081
   1.12949  0.004567
   1.14077  0.004387
   1.15198  0.004109
   1.16321  0.003811
   1.17466  0.003726
   1.18629  0.003487
   1.19802  0.003436
   1.20980  0.003242
   1.22157  0.003261
   1.23336  0.003033
   1.24520  0.003001
   1.25703  0.002959
   1.26889  0.002843
   1.28080  0.002752
   1.29270  0.002725
   1.30459  0.002682
   1.31649  0.002610
   1.32840  0.002545
   1.34029  0.002521
   1.35215  0.002432
   1.36399  0.002413
   1.37579  0.002460
   1.38761  0.002334
   1.39950  0.002302
   1.41141  0.002272
   1.42335  0.002231
   1.43529  0.002221
   1.44721  0.002207
   1.45912  0.002162
   1.47104  0.002130
   1.48294  0.002140
   1.49483  0.002099
   1.50674  0.002045
   1.51868  0.002002
   1.53063  0.001977
   1.54254  0.001981
   1.55442  0.001968
   1.56630  0.001915
   1.57823  0.001854
   1.59017  0.001830
   1.60210  0.001819
   1.61401  0.001800
   1.62590  0.001766
   1.63783  0.001713
   1.64977  0.001684
   1.66168  0.001682
   1.67353  0.001656
   1.68540  0.001586
   1.69727  0.001573
   1.70915  0.001527
   1.72106  0.001491
   1.73297  0.001462
   1.74487  0.001421
   1.75679  0.001381
   1.76870  0.001339
   1.78059  0.001298
   1.79247  0.001239
   1.80437  0.001186
   1.81624  0.001138
   1.82815  0.001065
   1.84006  0.001012
   1.85196  0.000950
   1.86383  0.000881
   1.87572  0.000796
   1.88761  0.000722
   1.89950  0.000635
   1.91139  0.000540
   1.92329  0.000443
   1.93518  0.000340
   1.94706  0.000245
   1.95885  0.000145
   1.97049  0.000055
   1.98202 -0.000024
   1.99334 -0.000087
   2.00411 -0.000133
   2.01387 -0.000160
   2.02199 -0.000172
   2.02641 -0.000175
