#    s        Cf    
   0.00000  0.002771
   0.00436  0.002855
   0.01215  0.002820
   0.02140  0.002815
   0.03175  0.002828
   0.04275  0.002869
   0.05413  0.002924
   0.06571  0.002984
   0.07741  0.003047
   0.08916  0.003109
   0.10095  0.003172
   0.11276  0.003235
   0.12460  0.003303
   0.13646  0.003375
   0.14835  0.003447
   0.16026  0.003517
   0.17218  0.003591
   0.18412  0.003659
   0.19607  0.003732
   0.20803  0.003803
   0.22000  0.003876
   0.23198  0.003947
   0.24397  0.004018
   0.25596  0.004086
   0.26795  0.004155
   0.27993  0.004225
   0.29192  0.004301
   0.30391  0.004381
   0.31590  0.004462
   0.32788  0.004548
   0.33984  0.004636
   0.35180  0.004728
   0.36374  0.004820
   0.37566  0.004916
   0.38758  0.005006
   0.39949  0.005100
   0.41140  0.005190
   0.42331  0.005282
   0.43521  0.005377
   0.44710  0.005471
   0.45898  0.005571
   0.47084  0.005666
   0.48269  0.005757
   0.49453  0.005838
   0.50635  0.005910
   0.51817  0.005967
   0.52996  0.006009
   0.54175  0.006039
   0.55353  0.006041
   0.56529  0.006044
   0.57704  0.006146
   0.58878  0.006215
   0.60050  0.006231
   0.61220  0.006185
   0.62388  0.006009
   0.63554  0.005681
   0.64718  0.005148
   0.65881  0.004424
   0.67042  0.003552
   0.68202  0.002710
   0.69359  0.002058
   0.70515  0.001727
   0.71667  0.001702
   0.72817  0.001761
   0.73964  0.001866
   0.75108  0.002001
   0.76249  0.002156
   0.77385  0.002369
   0.78517  0.002601
   0.79643  0.002869
   0.80763  0.003173
   0.81878  0.003485
   0.82987  0.003824
   0.84089  0.004160
   0.85185  0.004539
   0.86273  0.004955
   0.87352  0.005487
   0.88421  0.005937
   0.89479  0.006466
   0.90524  0.007054
   0.91555  0.007673
   0.92566  0.008461
   0.93552  0.009442
   0.94510  0.010482
   0.95431  0.011608
   0.96307  0.012897
   0.97123  0.014271
   0.97864  0.015737
   0.98520  0.017599
   0.99084  0.018724
   0.99564  0.020294
   0.99969  0.021817
   1.00312  0.024779
   1.00607  0.025286
   1.00862  0.025352
   1.01086  0.027690
   1.01285  0.027836
   1.01465  0.027865
   1.01626  0.029499
   1.01771  0.026992
   1.01903  0.025588
   1.02031  0.018296
   1.02158  0.005840
   1.02288  0.007260
   1.02422  0.020132
   1.02567  0.024655
   1.02724  0.027046
   1.02897  0.022628
   1.03090  0.018956
   1.03310  0.017161
   1.03564  0.016414
   1.03863  0.015453
   1.04220  0.013363
   1.04653  0.012030
   1.05188  0.010467
   1.05845  0.009533
   1.06636  0.008124
   1.07544  0.007466
   1.08545  0.006447
   1.09604  0.005883
   1.10701  0.005369
   1.11816  0.005078
   1.12949  0.004565
   1.14077  0.004385
   1.15198  0.004107
   1.16321  0.003810
   1.17466  0.003724
   1.18629  0.003485
   1.19802  0.003434
   1.20980  0.003241
   1.22157  0.003259
   1.23336  0.003032
   1.24520  0.002999
   1.25703  0.002958
   1.26889  0.002842
   1.28080  0.002751
   1.29270  0.002724
   1.30459  0.002681
   1.31649  0.002609
   1.32840  0.002544
   1.34029  0.002520
   1.35215  0.002431
   1.36399  0.002412
   1.37579  0.002459
   1.38761  0.002334
   1.39950  0.002301
   1.41141  0.002272
   1.42335  0.002230
   1.43529  0.002220
   1.44721  0.002207
   1.45912  0.002161
   1.47104  0.002129
   1.48294  0.002140
   1.49483  0.002099
   1.50674  0.002045
   1.51868  0.002002
   1.53063  0.001977
   1.54254  0.001981
   1.55442  0.001968
   1.56630  0.001915
   1.57823  0.001854
   1.59017  0.001830
   1.60210  0.001819
   1.61401  0.001800
   1.62590  0.001766
   1.63783  0.001713
   1.64977  0.001684
   1.66168  0.001682
   1.67353  0.001656
   1.68540  0.001586
   1.69727  0.001573
   1.70915  0.001528
   1.72106  0.001492
   1.73297  0.001463
   1.74487  0.001422
   1.75679  0.001382
   1.76870  0.001341
   1.78059  0.001299
   1.79247  0.001241
   1.80437  0.001187
   1.81624  0.001139
   1.82815  0.001067
   1.84006  0.001013
   1.85196  0.000952
   1.86383  0.000883
   1.87572  0.000798
   1.88761  0.000725
   1.89950  0.000638
   1.91139  0.000542
   1.92329  0.000446
   1.93518  0.000343
   1.94706  0.000247
   1.95885  0.000148
   1.97049  0.000057
   1.98202 -0.000023
   1.99334 -0.000085
   2.00411 -0.000132
   2.01387 -0.000160
   2.02199 -0.000172
   2.02641 -0.000175
