#    s         Cf      
   0.00000   0.002581  
   0.00436   0.002647  
   0.01215   0.002658  
   0.02140   0.002692  
   0.03175   0.002742  
   0.04275   0.002816  
   0.05413   0.002901  
   0.06571   0.002990  
   0.07741   0.003080  
   0.08916   0.003170  
   0.10095   0.003259  
   0.11276   0.003349  
   0.12460   0.003443  
   0.13646   0.003540  
   0.14835   0.003639  
   0.16026   0.003735  
   0.17218   0.003836  
   0.18412   0.003931  
   0.19607   0.004032  
   0.20803   0.004131  
   0.22000   0.004233  
   0.23198   0.004334  
   0.24397   0.004434  
   0.25596   0.004532  
   0.26795   0.004631  
   0.27993   0.004734  
   0.29192   0.004840  
   0.30391   0.004950  
   0.31590   0.005061  
   0.32788   0.005179  
   0.33984   0.005293  
   0.35180   0.005413  
   0.36374   0.005526  
   0.37566   0.005643  
   0.38758   0.005744  
   0.39949   0.005845  
   0.41140   0.005932  
   0.42331   0.006002  
   0.43521   0.006060  
   0.44710   0.006090  
   0.45898   0.006085  
   0.47084   0.006032  
   0.48269   0.005903  
   0.49453   0.005679  
   0.50635   0.005322  
   0.51817   0.004795  
   0.52996   0.004058  
   0.54175   0.003277  
   0.55353   0.002402  
   0.56529   0.001371  
   0.57704   0.000375  
   0.58878  -0.000227  
   0.60050  -0.000354  
   0.61220  -0.000377  
   0.62388  -0.000390  
   0.63554  -0.000398  
   0.64718  -0.000402  
   0.65881  -0.000403  
   0.67042  -0.000396  
   0.68202  -0.000381  
   0.69359  -0.000350  
   0.70515  -0.000300  
   0.71667  -0.000224  
   0.72817  -0.000116  
   0.73964   0.000026  
   0.75108   0.000201  
   0.76249   0.000410  
   0.77385   0.000654  
   0.78517   0.000944  
   0.79643   0.001260  
   0.80763   0.001605  
   0.81878   0.001961  
   0.82987   0.002332  
   0.84089   0.002715  
   0.85185   0.003127  
   0.86273   0.003591  
   0.87352   0.004075  
   0.88421   0.004594  
   0.89479   0.005114  
   0.90524   0.005673  
   0.91555   0.006320  
   0.92566   0.007218  
   0.93552   0.008141  
   0.94510   0.009221  
   0.95431   0.010539  
   0.96307   0.011745  
   0.97123   0.013476  
   0.97864   0.014992  
   0.98520   0.016825  
   0.99084   0.018648  
   0.99564   0.020141  
   0.99969   0.023137  
   1.00312   0.025773  
   1.00607   0.027970  
   1.00862   0.029438  
   1.01086   0.031262  
   1.01285   0.034162  
   1.01465   0.036990  
   1.01626   0.039108  
   1.01771   0.045889  
   1.01903   0.051739  
   1.02031   0.051975  
   1.02158   0.041101  
   1.02288   0.033218  
   1.02422   0.016596  
   1.02567   0.002263  
   1.02724   0.007261  
   1.02897   0.011021  
   1.03090   0.012044  
   1.03310   0.012882  
   1.03564   0.013029  
   1.03863   0.012489  
   1.04220   0.012184  
   1.04653   0.011108  
   1.05188   0.010223  
   1.05845   0.009462  
   1.06636   0.008360  
   1.07544   0.007760  
   1.08545   0.006874  
   1.09604   0.006306  
   1.10701   0.005905  
   1.11816   0.005476  
   1.12949   0.005019  
   1.14077   0.004868  
   1.15198   0.004546  
   1.16321   0.004282  
   1.17466   0.004140  
   1.18629   0.003914  
   1.19802   0.003838  
   1.20980   0.003650  
   1.22157   0.003648  
   1.23336   0.003395  
   1.24520   0.003373  
   1.25703   0.003324  
   1.26889   0.003191  
   1.28080   0.003089  
   1.29270   0.003066  
   1.30459   0.003006  
   1.31649   0.002926  
   1.32840   0.002869  
   1.34029   0.002839  
   1.35215   0.002735  
   1.36399   0.002703  
   1.37579   0.002775  
   1.38761   0.002628  
   1.39950   0.002588  
   1.41141   0.002559  
   1.42335   0.002519  
   1.43529   0.002505  
   1.44721   0.002491  
   1.45912   0.002440  
   1.47104   0.002407  
   1.48294   0.002420  
   1.49483   0.002373  
   1.50674   0.002325  
   1.51868   0.002271  
   1.53063   0.002244  
   1.54254   0.002258  
   1.55442   0.002245  
   1.56630   0.002193  
   1.57823   0.002123  
   1.59017   0.002106  
   1.60210   0.002098  
   1.61401   0.002082  
   1.62590   0.002049  
   1.63783   0.001994  
   1.64977   0.001971  
   1.66168   0.001975  
   1.67353   0.001952  
   1.68540   0.001883  
   1.69727   0.001875  
   1.70915   0.001832  
   1.72106   0.001803  
   1.73297   0.001779  
   1.74487   0.001746  
   1.75679   0.001711  
   1.76870   0.001680  
   1.78059   0.001647  
   1.79247   0.001597  
   1.80437   0.001553  
   1.81624   0.001519  
   1.82815   0.001454  
   1.84006   0.001417  
   1.85196   0.001372  
   1.86383   0.001320  
   1.87572   0.001249  
   1.88761   0.001196  
   1.89950   0.001126  
   1.91139   0.001046  
   1.92329   0.000962  
   1.93518   0.000866  
   1.94706   0.000773  
   1.95885   0.000660  
   1.97049   0.000542  
   1.98202   0.000416  
   1.99334   0.000291  
   2.00411   0.000162  
   2.01387   0.000043  
   2.02199  -0.000052  
   2.02641  -0.000112  
