#    x        Cp  
   1.00000  0.12090
   0.99564  0.10101
   0.98786  0.10795
   0.97862  0.10821
   0.96829  0.10567
   0.95732  0.10008
   0.94599  0.09237
   0.93445  0.08449
   0.92281  0.07638
   0.91111  0.06858
   0.89938  0.06086
   0.88763  0.05310
   0.87586  0.04497
   0.86407  0.03655
   0.85226  0.02819
   0.84042  0.02020
   0.82857  0.01209
   0.81671  0.00444
   0.80484 -0.00334
   0.79295 -0.01092
   0.78106 -0.01847
   0.76916 -0.02561
   0.75725 -0.03252
   0.74534 -0.03910
   0.73343 -0.04546
   0.72153 -0.05166
   0.70962 -0.05809
   0.69771 -0.06420
   0.68581 -0.07043
   0.67391 -0.07665
   0.66202 -0.08346
   0.65015 -0.09240
   0.63829 -0.10646
   0.62644 -0.13027
   0.61460 -0.16543
   0.60276 -0.20578
   0.59092 -0.21760
   0.57908 -0.22309
   0.56725 -0.22895
   0.55543 -0.23505
   0.54361 -0.24137
   0.53181 -0.24793
   0.52002 -0.25477
   0.50824 -0.26193
   0.49647 -0.26942
   0.48471 -0.27731
   0.47296 -0.28557
   0.46122 -0.29425
   0.44948 -0.30329
   0.43776 -0.31272
   0.42604 -0.32245
   0.41433 -0.33258
   0.40264 -0.34302
   0.39097 -0.35365
   0.37931 -0.36451
   0.36767 -0.37535
   0.35604 -0.38620
   0.34443 -0.39721
   0.33283 -0.40771
   0.32124 -0.41878
   0.30967 -0.42978
   0.29812 -0.44045
   0.28659 -0.45163
   0.27509 -0.46246
   0.26362 -0.47275
   0.25218 -0.48351
   0.24078 -0.49417
   0.22942 -0.50398
   0.21811 -0.51418
   0.20686 -0.52323
   0.19567 -0.53174
   0.18455 -0.53862
   0.17349 -0.54504
   0.16251 -0.54724
   0.15161 -0.55153
   0.14081 -0.55103
   0.13013 -0.54941
   0.11957 -0.54389
   0.10915 -0.53538
   0.09889 -0.52134
   0.08883 -0.50509
   0.07903 -0.48427
   0.06952 -0.45347
   0.06038 -0.41537
   0.05168 -0.36477
   0.04353 -0.30266
   0.03607 -0.22651
   0.02943 -0.13798
   0.02371 -0.03901
   0.01892  0.06828
   0.01499  0.17901
   0.01180  0.28663
   0.00921  0.39675
   0.00710  0.51112
   0.00538  0.61697
   0.00397  0.72189
   0.00281  0.81346
   0.00187  0.89614
   0.00114  0.96116
   0.00061  0.99819
   0.00028  0.98189
   0.00016  0.89452
   0.00025  0.70780
   0.00057  0.41383
   0.00116  0.07755
   0.00204 -0.15936
   0.00321 -0.29952
   0.00464 -0.36157
   0.00634 -0.33828
   0.00836 -0.31180
   0.01073 -0.31074
   0.01356 -0.31103
   0.01699 -0.30845
   0.02120 -0.29887
   0.02643 -0.28748
   0.03289 -0.27362
   0.04072 -0.25683
   0.04973 -0.24226
   0.05968 -0.22446
   0.07024 -0.20928
   0.08118 -0.19658
   0.09231 -0.18513
   0.10362 -0.17273
   0.11489 -0.16480
   0.12609 -0.15505
   0.13732 -0.14610
   0.14877 -0.13868
   0.16040 -0.13111
   0.17212 -0.12529
   0.18390 -0.11914
   0.19567 -0.11617
   0.20746 -0.10909
   0.21930 -0.10587
   0.23113 -0.10243
   0.24299 -0.09845
   0.25489 -0.09461
   0.26680 -0.09203
   0.27869 -0.08951
   0.29059 -0.08634
   0.30250 -0.08384
   0.31439 -0.08191
   0.32625 -0.07869
   0.33809 -0.07686
   0.34989 -0.07731
   0.36171 -0.07362
   0.37359 -0.07166
   0.38551 -0.07025
   0.39744 -0.06838
   0.40939 -0.06727
   0.42130 -0.06636
   0.43321 -0.06461
   0.44513 -0.06315
   0.45703 -0.06300
   0.46892 -0.06134
   0.48083 -0.05964
   0.49276 -0.05770
   0.50471 -0.05629
   0.51663 -0.05583
   0.52850 -0.05496
   0.54038 -0.05296
   0.55230 -0.05040
   0.56424 -0.04895
   0.57617 -0.04774
   0.58807 -0.04640
   0.59996 -0.04451
   0.61188 -0.04197
   0.62382 -0.04012
   0.63573 -0.03883
   0.64757 -0.03705
   0.65943 -0.03365
   0.67130 -0.03189
   0.68317 -0.02919
   0.69507 -0.02647
   0.70697 -0.02398
   0.71887 -0.02095
   0.73077 -0.01791
   0.74267 -0.01465
   0.75456 -0.01133
   0.76643 -0.00734
   0.77831 -0.00341
   0.79017  0.00055
   0.80206  0.00516
   0.81396  0.00944
   0.82585  0.01392
   0.83771  0.01849
   0.84958  0.02319
   0.86145  0.02752
   0.87333  0.03170
   0.88519  0.03555
   0.89707  0.03897
   0.90895  0.04204
   0.92081  0.04486
   0.93257  0.04738
   0.94420  0.04956
   0.95570  0.05141
   0.96700  0.05298
   0.97775  0.05422
   0.98749  0.06068
   0.99559  0.10143
   1.00000  0.12090
