#    x        Cp  
   1.00000  0.12090
   0.99564  0.10101
   0.98786  0.10795
   0.97862  0.10821
   0.96829  0.10567
   0.95732  0.10008
   0.94599  0.09237
   0.93445  0.08449
   0.92281  0.07638
   0.91111  0.06858
   0.89938  0.06086
   0.88763  0.05310
   0.87586  0.04497
   0.86407  0.03655
   0.85226  0.02819
   0.84042  0.02020
   0.82857  0.01209
   0.81671  0.00444
   0.80484 -0.00334
   0.79295 -0.01092
   0.78106 -0.01847
   0.76916 -0.02561
   0.75725 -0.03252
   0.74534 -0.03910
   0.73343 -0.04546
   0.72153 -0.05166
   0.70962 -0.05809
   0.69771 -0.06420
   0.68581 -0.07043
   0.67391 -0.07665
   0.66202 -0.08346
   0.65015 -0.09240
   0.63829 -0.10646
   0.62644 -0.13027
   0.61460 -0.16543
   0.60276 -0.20578
   0.59092 -0.21760
   0.57908 -0.22309
   0.56725 -0.22895
   0.55543 -0.23505
   0.54361 -0.24137
   0.53181 -0.24793
   0.52002 -0.25477
   0.50824 -0.26193
   0.49647 -0.26942
   0.48471 -0.27731
   0.47296 -0.28557
   0.46122 -0.29425
   0.44948 -0.30329
   0.43776 -0.31272
   0.42604 -0.32245
   0.41433 -0.33258
   0.40264 -0.34302
   0.39097 -0.35365
   0.37931 -0.36451
   0.36767 -0.37535
   0.35604 -0.38620
   0.34443 -0.39721
   0.33283 -0.40771
   0.32124 -0.41878
   0.30967 -0.42978
   0.29812 -0.44045
   0.28659 -0.45163
   0.27509 -0.46246
   0.26362 -0.47275
   0.25218 -0.48351
   0.24078 -0.49417
   0.22942 -0.50398
   0.21811 -0.51418
   0.20686 -0.52323
   0.19567 -0.53174
   0.18455 -0.53862
   0.17349 -0.54504
   0.16251 -0.54724
   0.15161 -0.55153
   0.14081 -0.55103
   0.13013 -0.54941
   0.11957 -0.54389
   0.10915 -0.53538
   0.09889 -0.52134
   0.08883 -0.50509
   0.07903 -0.48427
   0.06952 -0.45347
   0.06038 -0.41537
   0.05168 -0.36477
   0.04353 -0.30266
   0.03607 -0.22651
   0.02943 -0.13798
   0.02371 -0.03901
   0.01892  0.06828
   0.01499  0.17901
   0.01180  0.28663
   0.00921  0.39675
   0.00710  0.51112
   0.00538  0.61697
   0.00397  0.72189
   0.00281  0.81346
   0.00187  0.89614
   0.00114  0.96116
   0.00061  0.99819
   0.00028  0.98189
 
