#    x        Cp  
   1.00000  0.10226
   0.99564  0.09232
   0.98786  0.09452
   0.97862  0.09281
   0.96829  0.08888
   0.95732  0.08202
   0.94599  0.07364
   0.93445  0.06487
   0.92281  0.05586
   0.91111  0.04700
   0.89938  0.03822
   0.88763  0.02934
   0.87586  0.02014
   0.86407  0.01063
   0.85226  0.00117
   0.84042 -0.00797
   0.82857 -0.01738
   0.81671 -0.02625
   0.80484 -0.03537
   0.79295 -0.04431
   0.78106 -0.05330
   0.76916 -0.06199
   0.75725 -0.07054
   0.74534 -0.07874
   0.73343 -0.08689
   0.72153 -0.09503
   0.70962 -0.10341
   0.69771 -0.11187
   0.68581 -0.12009
   0.67391 -0.12846
   0.66202 -0.13655
   0.65015 -0.14456
   0.63829 -0.15221
   0.62644 -0.16008
   0.61460 -0.16818
   0.60276 -0.17848
   0.59092 -0.19302
   0.57908 -0.21584
   0.56725 -0.25155
   0.55543 -0.30078
   0.54361 -0.36040
   0.53181 -0.38853
   0.52002 -0.39486
   0.50824 -0.40117
   0.49647 -0.40751
   0.48471 -0.41397
   0.47296 -0.42062
   0.46122 -0.42756
   0.44948 -0.43485
   0.43776 -0.44257
   0.42604 -0.45079
   0.41433 -0.45955
   0.40264 -0.46886
   0.39097 -0.47877
   0.37931 -0.48937
   0.36767 -0.50070
   0.35604 -0.51277
   0.34443 -0.52560
   0.33283 -0.53909
   0.32124 -0.55328
   0.30967 -0.56807
   0.29812 -0.58345
   0.28659 -0.59916
   0.27509 -0.61543
   0.26362 -0.63205
   0.25218 -0.64889
   0.24078 -0.66586
   0.22942 -0.68338
   0.21811 -0.70076
   0.20686 -0.71813
   0.19567 -0.73524
   0.18455 -0.75155
   0.17349 -0.76718
   0.16251 -0.78164
   0.15161 -0.79541
   0.14081 -0.80811
   0.13013 -0.81997
   0.11957 -0.82814
   0.10915 -0.83486
   0.09889 -0.83913
   0.08883 -0.84016
   0.07903 -0.83840
   0.06952 -0.83144
   0.06038 -0.81576
   0.05168 -0.79061
   0.04353 -0.75487
   0.03607 -0.70674
   0.02943 -0.64650
   0.02371 -0.57417
   0.01892 -0.48902
   0.01499 -0.40344
   0.01180 -0.31314
   0.00921 -0.21327
   0.00710 -0.09416
   0.00538  0.01719
   0.00397  0.12641
   0.00281  0.24991
   0.00187  0.37109
   0.00114  0.50098
   0.00061  0.63823
   0.00028  0.77272
   0.00016  0.90735
   0.00025  0.98955
   0.00057  0.98854
   0.00116  0.89803
   0.00204  0.75817
   0.00321  0.61616
   0.00464  0.50798
   0.00634  0.44241
   0.00836  0.38986
   0.01073  0.33572
   0.01356  0.28026
   0.01699  0.23513
   0.02120  0.19584
   0.02643  0.16333
   0.03289  0.13229
   0.04072  0.10975
   0.04973  0.08891
   0.05968  0.07611
   0.07024  0.06609
   0.08118  0.05880
   0.09231  0.05145
   0.10362  0.04873
   0.11489  0.04461
   0.12609  0.04237
   0.13732  0.04202
   0.14877  0.03968
   0.16040  0.03965
   0.17212  0.03752
   0.18390  0.03756
   0.19567  0.03459
   0.20746  0.03547
   0.21930  0.03395
   0.23113  0.03227
   0.24299  0.03195
   0.25489  0.03161
   0.26680  0.03027
   0.27869  0.02907
   0.29059  0.02847
   0.30250  0.02799
   0.31439  0.02676
   0.32625  0.02693
   0.33809  0.02588
   0.34989  0.02318
   0.36171  0.02400
   0.37359  0.02328
   0.38551  0.02252
   0.39744  0.02205
   0.40939  0.02092
   0.42130  0.01977
   0.43321  0.01938
   0.44513  0.01879
   0.45703  0.01718
   0.46892  0.01672
   0.48083  0.01672
   0.49276  0.01668
   0.50471  0.01629
   0.51663  0.01514
   0.52850  0.01435
   0.54038  0.01465
   0.55230  0.01537
   0.56424  0.01532
   0.57617  0.01494
   0.58807  0.01475
   0.59996  0.01503
   0.61188  0.01596
   0.62382  0.01640
   0.63573  0.01612
   0.64757  0.01650
   0.65943  0.01821
   0.67130  0.01853
   0.68317  0.01982
   0.69507  0.02097
   0.70697  0.02202
   0.71887  0.02350
   0.73077  0.02508
   0.74267  0.02680
   0.75456  0.02866
   0.76643  0.03112
   0.77831  0.03362
   0.79017  0.03611
   0.80206  0.03944
   0.81396  0.04241
   0.82585  0.04574
   0.83771  0.04940
   0.84958  0.05363
   0.86145  0.05770
   0.87333  0.06220
   0.88519  0.06697
   0.89707  0.07178
   0.90895  0.07664
   0.92081  0.08125
   0.93257  0.08564
   0.94420  0.08957
   0.95570  0.09300
   0.96700  0.09595
   0.97775  0.09850
   0.98749  0.10051
   0.99559  0.10186
   1.00000  0.10226
