#    x        Cp  
   1.00000  0.10044
   0.99564  0.09150
   0.98786  0.09250
   0.97862  0.09022
   0.96829  0.08592
   0.95732  0.07900
   0.94599  0.07066
   0.93445  0.06189
   0.92281  0.05285
   0.91111  0.04388
   0.89938  0.03494
   0.88763  0.02587
   0.87586  0.01648
   0.86407  0.00679
   0.85226 -0.00291
   0.84042 -0.01239
   0.82857 -0.02213
   0.81671 -0.03144
   0.80484 -0.04103
   0.79295 -0.05051
   0.78106 -0.06010
   0.76916 -0.06951
   0.75725 -0.07886
   0.74534 -0.08801
   0.73343 -0.09723
   0.72153 -0.10657
   0.70962 -0.11631
   0.69771 -0.12633
   0.68581 -0.13637
   0.67391 -0.14683
   0.66202 -0.15735
   0.65015 -0.16812
   0.63829 -0.17880
   0.62644 -0.18978
   0.61460 -0.20034
   0.60276 -0.21118
   0.59092 -0.22179
   0.57908 -0.23263
   0.56725 -0.24377
   0.55543 -0.25500
   0.54361 -0.26683
   0.53181 -0.27871
   0.52002 -0.29089
   0.50824 -0.30285
   0.49647 -0.31496
   0.48471 -0.32746
   0.47296 -0.34039
   0.46122 -0.35329
   0.44948 -0.36762
   0.43776 -0.38428
   0.42604 -0.40463
   0.41433 -0.42987
   0.40264 -0.45940
   0.39097 -0.49022
   0.37931 -0.51763
   0.36767 -0.52669
   0.35604 -0.53638
   0.34443 -0.54724
   0.33283 -0.55884
   0.32124 -0.57126
   0.30967 -0.58433
   0.29812 -0.59807
   0.28659 -0.61218
   0.27509 -0.62697
   0.26362 -0.64222
   0.25218 -0.65778
   0.24078 -0.67359
   0.22942 -0.69007
   0.21811 -0.70650
   0.20686 -0.72303
   0.19567 -0.73936
   0.18455 -0.75496
   0.17349 -0.76995
   0.16251 -0.78381
   0.15161 -0.79705
   0.14081 -0.80923
   0.13013 -0.82066
   0.11957 -0.82837
   0.10915 -0.83467
   0.09889 -0.83852
   0.08883 -0.83915
   0.07903 -0.83699
   0.06952 -0.82963
   0.06038 -0.81355
   0.05168 -0.78797
   0.04353 -0.75180
   0.03607 -0.70321
   0.02943 -0.64259
   0.02371 -0.56981
   0.01892 -0.48421
   0.01499 -0.39822
   0.01180 -0.30759
   0.00921 -0.20747
   0.00710 -0.08794
   0.00538  0.02350
   0.00397  0.13277
   0.00281  0.25640
   0.00187  0.37761
   0.00114  0.50739
   0.00061  0.64422
   0.00028  0.77790
   0.00016  0.91078
 
