#    x        Cp  
   1.00000  0.11323
   0.99564  0.10533
   0.98786  0.10428
   0.97862  0.10022
   0.96829  0.09435
   0.95732  0.08589
   0.94599  0.07625
   0.93445  0.06627
   0.92281  0.05613
   0.91111  0.04616
   0.89938  0.03630
   0.88763  0.02639
   0.87586  0.01614
   0.86407  0.00568
   0.85226 -0.00477
   0.84042 -0.01493
   0.82857 -0.02537
   0.81671 -0.03528
   0.80484 -0.04552
   0.79295 -0.05551
   0.78106 -0.06568
   0.76916 -0.07558
   0.75725 -0.08541
   0.74534 -0.09497
   0.73343 -0.10444
   0.72153 -0.11428
   0.70962 -0.12420
   0.69771 -0.13438
   0.68581 -0.14464
   0.67391 -0.15510
   0.66202 -0.16560
   0.65015 -0.17605
   0.63829 -0.18643
   0.62644 -0.19683
   0.61460 -0.20643
   0.60276 -0.21616
   0.59092 -0.22524
   0.57908 -0.23413
   0.56725 -0.24320
   0.55543 -0.25246
   0.54361 -0.26300
   0.53181 -0.27653
   0.52002 -0.29651
   0.50824 -0.32839
   0.49647 -0.37673
   0.48471 -0.44193
   0.47296 -0.50211
   0.46122 -0.50970
   0.44948 -0.51724
   0.43776 -0.52479
   0.42604 -0.53248
   0.41433 -0.54042
   0.40264 -0.54872
   0.39097 -0.55749
   0.37931 -0.56685
   0.36767 -0.57688
   0.35604 -0.58764
   0.34443 -0.59914
   0.33283 -0.61147
   0.32124 -0.62473
   0.30967 -0.63897
   0.29812 -0.65427
   0.28659 -0.67059
   0.27509 -0.68789
   0.26362 -0.70609
   0.25218 -0.72511
   0.24078 -0.74495
   0.22942 -0.76505
   0.21811 -0.78631
   0.20686 -0.80733
   0.19567 -0.82858
   0.18455 -0.84942
   0.17349 -0.87031
   0.16251 -0.89007
   0.15161 -0.91005
   0.14081 -0.92910
   0.13013 -0.94723
   0.11957 -0.96302
   0.10915 -0.97796
   0.09889 -0.99017
   0.08883 -1.00234
   0.07903 -1.01120
   0.06952 -1.01512
   0.06038 -1.01346
   0.05168 -1.00334
   0.04353 -0.98289
   0.03607 -0.95263
   0.02943 -0.90863
   0.02371 -0.85315
   0.01892 -0.79019
   0.01499 -0.71850
   0.01180 -0.64814
   0.00921 -0.55948
   0.00710 -0.45739
   0.00538 -0.35448
   0.00397 -0.25302
   0.00281 -0.13475
   0.00187 -0.00964
   0.00114  0.11179
   0.00061  0.25156
   0.00028  0.44572
   0.00016  0.64729
 
