#    x        Cp  
   1.00000  0.09981
   0.99564  0.09143
   0.98786  0.09200
   0.97862  0.08952
   0.96829  0.08509
   0.95732  0.07819
   0.94599  0.06991
   0.93445  0.06119
   0.92281  0.05220
   0.91111  0.04327
   0.89938  0.03433
   0.88763  0.02527
   0.87586  0.01589
   0.86407  0.00622
   0.85226 -0.00347
   0.84042 -0.01297
   0.82857 -0.02271
   0.81671 -0.03207
   0.80484 -0.04169
   0.79295 -0.05122
   0.78106 -0.06087
   0.76916 -0.07034
   0.75725 -0.07978
   0.74534 -0.08904
   0.73343 -0.09838
   0.72153 -0.10785
   0.70962 -0.11771
   0.69771 -0.12785
   0.68581 -0.13804
   0.67391 -0.14865
   0.66202 -0.15934
   0.65015 -0.17030
   0.63829 -0.18121
   0.62644 -0.19242
   0.61460 -0.20330
   0.60276 -0.21445
   0.59092 -0.22545
   0.57908 -0.23670
   0.56725 -0.24828
   0.55543 -0.26000
   0.54361 -0.27233
   0.53181 -0.28471
   0.52002 -0.29730
   0.50824 -0.30985
   0.49647 -0.32268
   0.48471 -0.33566
   0.47296 -0.34908
   0.46122 -0.36152
   0.44948 -0.37460
   0.43776 -0.38816
   0.42604 -0.40177
   0.41433 -0.41534
   0.40264 -0.42891
   0.39097 -0.44336
   0.37931 -0.45759
   0.36767 -0.47319
   0.35604 -0.49076
   0.34443 -0.51244
   0.33283 -0.53824
   0.32124 -0.56718
   0.30967 -0.59455
   0.29812 -0.61465
   0.28659 -0.62447
   0.27509 -0.63648
   0.26362 -0.64970
   0.25218 -0.66371
   0.24078 -0.67829
   0.22942 -0.69380
   0.21811 -0.70943
   0.20686 -0.72529
   0.19567 -0.74107
   0.18455 -0.75619
   0.17349 -0.77077
   0.16251 -0.78428
   0.15161 -0.79722
   0.14081 -0.80914
   0.13013 -0.82033
   0.11957 -0.82782
   0.10915 -0.83392
   0.09889 -0.83760
   0.08883 -0.83805
   0.07903 -0.83572
   0.06952 -0.82818
   0.06038 -0.81193
   0.05168 -0.78617
   0.04353 -0.74983
   0.03607 -0.70106
   0.02943 -0.64025
   0.02371 -0.56730
   0.01892 -0.48154
   0.01499 -0.39538
   0.01180 -0.30462
   0.00921 -0.20435
   0.00710 -0.08477
   0.00538  0.02673
   0.00397  0.13608
   0.00281  0.25968
   0.00187  0.38090
   0.00114  0.51057
   0.00061  0.64714
   0.00028  0.78041
   0.00016  0.91244
   0.00025  0.99130
   0.00057  0.98655
   0.00116  0.89235
   0.00204  0.75023
   0.00321  0.60708
   0.00464  0.49885
   0.00634  0.43371
   0.00836  0.38167
   0.01073  0.32809
   0.01356  0.27302
   0.01699  0.22826
   0.02120  0.18942
   0.02643  0.15739
   0.03289  0.12678
   0.04072  0.10466
   0.04973  0.08420
   0.05968  0.07174
   0.07024  0.06200
   0.08118  0.05495
   0.09231  0.04778
   0.10362  0.04524
   0.11489  0.04127
   0.12609  0.03915
   0.13732  0.03891
   0.14877  0.03666
   0.16040  0.03673
   0.17212  0.03468
   0.18390  0.03478
   0.19567  0.03188
   0.20746  0.03282
   0.21930  0.03134
   0.23113  0.02972
   0.24299  0.02943
   0.25489  0.02915
   0.26680  0.02783
   0.27869  0.02666
   0.29059  0.02610
   0.30250  0.02564
   0.31439  0.02444
   0.32625  0.02462
   0.33809  0.02359
   0.34989  0.02092
   0.36171  0.02175
   0.37359  0.02105
   0.38551  0.02030
   0.39744  0.01985
   0.40939  0.01873
   0.42130  0.01759
   0.43321  0.01720
   0.44513  0.01662
   0.45703  0.01501
   0.46892  0.01456
   0.48083  0.01456
   0.49276  0.01452
   0.50471  0.01413
   0.51663  0.01298
   0.52850  0.01219
   0.54038  0.01248
   0.55230  0.01320
   0.56424  0.01315
   0.57617  0.01276
   0.58807  0.01257
   0.59996  0.01284
   0.61188  0.01376
   0.62382  0.01419
   0.63573  0.01389
   0.64757  0.01425
   0.65943  0.01596
   0.67130  0.01626
   0.68317  0.01753
   0.69507  0.01866
   0.70697  0.01967
   0.71887  0.02113
   0.73077  0.02268
   0.74267  0.02437
   0.75456  0.02619
   0.76643  0.02862
   0.77831  0.03108
   0.79017  0.03352
   0.80206  0.03681
   0.81396  0.03973
   0.82585  0.04301
   0.83771  0.04662
   0.84958  0.05080
   0.86145  0.05481
   0.87333  0.05927
   0.88519  0.06401
   0.89707  0.06880
   0.90895  0.07368
   0.92081  0.07832
   0.93257  0.08278
   0.94420  0.08679
   0.95570  0.09030
   0.96700  0.09332
   0.97775  0.09591
   0.98749  0.09798
   0.99559  0.09939
   1.00000  0.09981
