#    x        Cp  
   1.00000  0.09981
   0.99564  0.09143
   0.98786  0.09200
   0.97862  0.08952
   0.96829  0.08509
   0.95732  0.07819
   0.94599  0.06991
   0.93445  0.06119
   0.92281  0.05220
   0.91111  0.04327
   0.89938  0.03433
   0.88763  0.02527
   0.87586  0.01589
   0.86407  0.00622
   0.85226 -0.00347
   0.84042 -0.01297
   0.82857 -0.02271
   0.81671 -0.03207
   0.80484 -0.04169
   0.79295 -0.05122
   0.78106 -0.06087
   0.76916 -0.07034
   0.75725 -0.07978
   0.74534 -0.08904
   0.73343 -0.09838
   0.72153 -0.10785
   0.70962 -0.11771
   0.69771 -0.12785
   0.68581 -0.13804
   0.67391 -0.14865
   0.66202 -0.15934
   0.65015 -0.17030
   0.63829 -0.18121
   0.62644 -0.19242
   0.61460 -0.20330
   0.60276 -0.21445
   0.59092 -0.22545
   0.57908 -0.23670
   0.56725 -0.24828
   0.55543 -0.26000
   0.54361 -0.27233
   0.53181 -0.28471
   0.52002 -0.29730
   0.50824 -0.30985
   0.49647 -0.32268
   0.48471 -0.33566
   0.47296 -0.34908
   0.46122 -0.36152
   0.44948 -0.37460
   0.43776 -0.38816
   0.42604 -0.40177
   0.41433 -0.41534
   0.40264 -0.42891
   0.39097 -0.44336
   0.37931 -0.45759
   0.36767 -0.47319
   0.35604 -0.49076
   0.34443 -0.51244
   0.33283 -0.53824
   0.32124 -0.56718
   0.30967 -0.59455
   0.29812 -0.61465
   0.28659 -0.62447
   0.27509 -0.63648
   0.26362 -0.64970
   0.25218 -0.66371
   0.24078 -0.67829
   0.22942 -0.69380
   0.21811 -0.70943
   0.20686 -0.72529
   0.19567 -0.74107
   0.18455 -0.75619
   0.17349 -0.77077
   0.16251 -0.78428
   0.15161 -0.79722
   0.14081 -0.80914
   0.13013 -0.82033
   0.11957 -0.82782
   0.10915 -0.83392
   0.09889 -0.83760
   0.08883 -0.83805
   0.07903 -0.83572
   0.06952 -0.82818
   0.06038 -0.81193
   0.05168 -0.78617
   0.04353 -0.74983
   0.03607 -0.70106
   0.02943 -0.64025
   0.02371 -0.56730
   0.01892 -0.48154
   0.01499 -0.39538
   0.01180 -0.30462
   0.00921 -0.20435
   0.00710 -0.08477
   0.00538  0.02673
   0.00397  0.13608
   0.00281  0.25968
   0.00187  0.38090
   0.00114  0.51057
   0.00061  0.64714
   0.00028  0.78041
   0.00016  0.91244
