#    s         H
   0.00000    1.495
   0.00436    1.485
   0.01215    1.492
   0.02140    1.494
   0.03175    1.495
   0.04275    1.493
   0.05413    1.489
   0.06571    1.485
   0.07741    1.481
   0.08916    1.477
   0.10095    1.473
   0.11276    1.470
   0.12460    1.466
   0.13646    1.463
   0.14835    1.459
   0.16026    1.456
   0.17218    1.454
   0.18412    1.452
   0.19607    1.450
   0.20803    1.449
   0.22000    1.448
   0.23198    1.448
   0.24397    1.449
   0.25596    1.452
   0.26795    1.455
   0.27993    1.461
   0.29192    1.468
   0.30391    1.477
   0.31590    1.490
   0.32788    1.507
   0.33984    1.530
   0.35180    1.561
   0.36374    1.604
   0.37566    1.664
   0.38758    1.751
   0.39949    1.876
   0.41140    2.062
   0.42331    2.338
   0.43521    2.750
   0.44710    3.330
   0.45898    4.085
   0.47084    4.563
   0.48269    4.725
   0.49453    4.812
   0.50635    4.843
   0.51817    4.832
   0.52996    4.787
   0.54175    4.720
   0.55353    4.631
   0.56529    4.525
   0.57704    4.410
   0.58878    4.286
   0.60050    4.158
   0.61220    4.024
   0.62388    3.898
   0.63554    3.777
   0.64718    3.666
   0.65881    3.563
   0.67042    3.473
   0.68202    3.388
   0.69359    3.311
   0.70515    3.239
   0.71667    3.178
   0.72817    3.118
   0.73964    3.063
   0.75108    3.014
   0.76249    2.971
   0.77385    2.923
   0.78517    2.881
   0.79643    2.839
   0.80763    2.799
   0.81878    2.764
   0.82987    2.732
   0.84089    2.706
   0.85185    2.680
   0.86273    2.655
   0.87352    2.624
   0.88421    2.607
   0.89479    2.588
   0.90524    2.569
   0.91555    2.555
   0.92566    2.534
   0.93552    2.508
   0.94510    2.487
   0.95431    2.468
   0.96307    2.449
   0.97123    2.432
   0.97864    2.417
   0.98520    2.391
   0.99084    2.392
   0.99564    2.383
   0.99969    2.376
   1.00312    2.327
   1.00607    2.328
   1.00862    2.345
   1.01086    2.309
   1.01285    2.310
   1.01465    2.319
   1.01626    2.273
   1.01771    2.295
   1.01903    2.261
   1.02031    2.232
   1.02158    2.230
   1.02288    2.230
   1.02422    2.232
   1.02567    2.287
   1.02724    2.278
   1.02897    2.363
   1.03090    2.398
   1.03310    2.392
   1.03564    2.371
   1.03863    2.370
   1.04220    2.411
   1.04653    2.421
   1.05188    2.447
   1.05845    2.444
   1.06636    2.479
   1.07544    2.472
   1.08545    2.504
   1.09604    2.508
   1.10701    2.517
   1.11816    2.511
   1.12949    2.537
   1.14077    2.529
   1.15198    2.538
   1.16321    2.555
   1.17466    2.543
   1.18629    2.558
   1.19802    2.544
   1.20980    2.557
   1.22157    2.535
   1.23336    2.559
   1.24520    2.549
   1.25703    2.541
   1.26889    2.549
   1.28080    2.554
   1.29270    2.546
   1.30459    2.542
   1.31649    2.546
   1.32840    2.549
   1.34029    2.543
   1.35215    2.553
   1.36399    2.547
   1.37579    2.526
   1.38761    2.547
   1.39950    2.545
   1.41141    2.544
   1.42335    2.546
   1.43529    2.540
   1.44721    2.535
   1.45912    2.539
   1.47104    2.540
   1.48294    2.530
   1.49483    2.534
   1.50674    2.542
   1.51868    2.548
   1.53063    2.548
   1.54254    2.540
   1.55442    2.537
   1.56630    2.547
   1.57823    2.559
   1.59017    2.560
   1.60210    2.558
   1.61401    2.558
   1.62590    2.563
   1.63783    2.574
   1.64977    2.578
   1.66168    2.573
   1.67353    2.577
   1.68540    2.596
   1.69727    2.595
   1.70915    2.606
   1.72106    2.615
   1.73297    2.620
   1.74487    2.631
   1.75679    2.642
   1.76870    2.654
   1.78059    2.667
   1.79247    2.687
   1.80437    2.707
   1.81624    2.725
   1.82815    2.756
   1.84006    2.780
   1.85196    2.809
   1.86383    2.845
   1.87572    2.895
   1.88761    2.940
   1.89950    3.002
   1.91139    3.077
   1.92329    3.165
   1.93518    3.274
   1.94706    3.395
   1.95885    3.548
   1.97049    3.727
   1.98202    3.937
   1.99334    4.172
   2.00411    4.446
   2.01387    4.747
   2.02199    5.064
   2.02641    5.401
