#    s          H
   0.00000     1.370
   0.00436     1.364
   0.01215     1.368
   0.02140     1.370
   0.03175     1.370
   0.04275     1.369
   0.05413     1.366
   0.06571     1.364
   0.07741     1.361
   0.08916     1.360
   0.10095     1.358
   0.11276     1.357
   0.12460     1.356
   0.13646     1.356
   0.14835     1.356
   0.16026     1.357
   0.17218     1.359
   0.18412     1.362
   0.19607     1.366
   0.20803     1.373
   0.22000     1.381
   0.23198     1.392
   0.24397     1.407
   0.25596     1.427
   0.26795     1.453
   0.27993     1.488
   0.29192     1.536
   0.30391     1.603
   0.31590     1.699
   0.32788     1.842
   0.33984     2.066
   0.35180     2.429
   0.36374     3.051
   0.37566     4.186
   0.38758     6.107
   0.39949     7.665
   0.41140     8.108
   0.42331     8.396
   0.43521     8.564
   0.44710     8.637
   0.45898     8.628
   0.47084     8.552
   0.48269     8.419
   0.49453     8.239
   0.50635     8.019
   0.51817     7.766
   0.52996     7.485
   0.54175     7.188
   0.55353     6.874
   0.56529     6.549
   0.57704     6.221
   0.58878     5.892
   0.60050     5.568
   0.61220     5.250
   0.62388     4.952
   0.63554     4.672
   0.64718     4.417
   0.65881     4.181
   0.67042     3.973
   0.68202     3.785
   0.69359     3.622
   0.70515     3.479
   0.71667     3.363
   0.72817     3.260
   0.73964     3.171
   0.75108     3.096
   0.76249     3.033
   0.77385     2.971
   0.78517     2.917
   0.79643     2.867
   0.80763     2.820
   0.81878     2.781
   0.82987     2.745
   0.84089     2.716
   0.85185     2.688
   0.86273     2.662
   0.87352     2.629
   0.88421     2.611
   0.89479     2.591
   0.90524     2.572
   0.91555     2.557
   0.92566     2.536
   0.93552     2.510
   0.94510     2.488
   0.95431     2.469
   0.96307     2.450
   0.97123     2.432
   0.97864     2.418
   0.98520     2.393
   0.99084     2.392
   0.99564     2.384
   0.99969     2.376
   1.00312     2.327
   1.00607     2.328
   1.00862     2.345
   1.01086     2.311
   1.01285     2.310
   1.01465     2.318
   1.01626     2.277
   1.01771     2.293
   1.01903     2.262
   1.02031     2.232
   1.02158     2.230
   1.02288     2.230
   1.02422     2.232
   1.02567     2.286
   1.02724     2.279
   1.02897     2.361
   1.03090     2.398
   1.03310     2.390
   1.03564     2.370
   1.03863     2.370
   1.04220     2.410
   1.04653     2.421
   1.05188     2.445
   1.05845     2.444
   1.06636     2.478
   1.07544     2.471
   1.08545     2.503
   1.09604     2.507
   1.10701     2.516
   1.11816     2.511
   1.12949     2.536
   1.14077     2.528
   1.15198     2.537
   1.16321     2.554
   1.17466     2.542
   1.18629     2.557
   1.19802     2.544
   1.20980     2.557
   1.22157     2.535
   1.23336     2.559
   1.24520     2.548
   1.25703     2.541
   1.26889     2.549
   1.28080     2.553
   1.29270     2.546
   1.30459     2.542
   1.31649     2.545
   1.32840     2.548
   1.34029     2.542
   1.35215     2.552
   1.36399     2.546
   1.37579     2.525
   1.38761     2.546
   1.39950     2.545
   1.41141     2.544
   1.42335     2.545
   1.43529     2.540
   1.44721     2.535
   1.45912     2.539
   1.47104     2.540
   1.48294     2.530
   1.49483     2.534
   1.50674     2.542
   1.51868     2.548
   1.53063     2.548
   1.54254     2.540
   1.55442     2.538
   1.56630     2.547
   1.57823     2.560
   1.59017     2.561
   1.60210     2.558
   1.61401     2.558
   1.62590     2.564
   1.63783     2.575
   1.64977     2.579
   1.66168     2.574
   1.67353     2.578
   1.68540     2.597
   1.69727     2.597
   1.70915     2.608
   1.72106     2.617
   1.73297     2.623
   1.74487     2.634
   1.75679     2.645
   1.76870     2.657
   1.78059     2.671
   1.79247     2.692
   1.80437     2.712
   1.81624     2.731
   1.82815     2.764
   1.84006     2.788
   1.85196     2.819
   1.86383     2.857
   1.87572     2.909
   1.88761     2.958
   1.89950     3.023
   1.91139     3.104
   1.92329     3.197
   1.93518     3.313
   1.94706     3.442
   1.95885     3.605
   1.97049     3.795
   1.98202     4.016
   1.99334     4.263
   2.00411     4.548
   2.01387     4.860
   2.02199     5.187
   2.02641     5.521
