#    s         H
   0.00000    1.576
   0.00436    1.566
   0.01215    1.573
   0.02140    1.577
   0.03175    1.579
   0.04275    1.578
   0.05413    1.575
   0.06571    1.571
   0.07741    1.567
   0.08916    1.564
   0.10095    1.561
   0.11276    1.558
   0.12460    1.555
   0.13646    1.551
   0.14835    1.547
   0.16026    1.544
   0.17218    1.541
   0.18412    1.539
   0.19607    1.536
   0.20803    1.534
   0.22000    1.531
   0.23198    1.529
   0.24397    1.527
   0.25596    1.526
   0.26795    1.525
   0.27993    1.524
   0.29192    1.522
   0.30391    1.521
   0.31590    1.520
   0.32788    1.519
   0.33984    1.518
   0.35180    1.517
   0.36374    1.517
   0.37566    1.516
   0.38758    1.518
   0.39949    1.519
   0.41140    1.522
   0.42331    1.526
   0.43521    1.532
   0.44710    1.539
   0.45898    1.549
   0.47084    1.562
   0.48269    1.579
   0.49453    1.602
   0.50635    1.630
   0.51817    1.668
   0.52996    1.718
   0.54175    1.785
   0.55353    1.875
   0.56529    1.997
   0.57704    2.162
   0.58878    2.376
   0.60050    2.633
   0.61220    2.895
   0.62388    3.117
   0.63554    3.170
   0.64718    3.188
   0.65881    3.186
   0.67042    3.176
   0.68202    3.156
   0.69359    3.130
   0.70515    3.098
   0.71667    3.068
   0.72817    3.033
   0.73964    2.998
   0.75108    2.963
   0.76249    2.931
   0.77385    2.893
   0.78517    2.857
   0.79643    2.821
   0.80763    2.784
   0.81878    2.753
   0.82987    2.723
   0.84089    2.699
   0.85185    2.675
   0.86273    2.651
   0.87352    2.620
   0.88421    2.604
   0.89479    2.585
   0.90524    2.567
   0.91555    2.553
   0.92566    2.533
   0.93552    2.507
   0.94510    2.486
   0.95431    2.467
   0.96307    2.448
   0.97123    2.431
   0.97864    2.416
   0.98520    2.391
   0.99084    2.392
   0.99564    2.382
   0.99969    2.376
   1.00312    2.326
   1.00607    2.327
   1.00862    2.345
   1.01086    2.309
   1.01285    2.310
   1.01465    2.318
   1.01626    2.273
   1.01771    2.294
   1.01903    2.261
   1.02031    2.231
   1.02158    2.230
   1.02288    2.230
   1.02422    2.232
   1.02567    2.288
   1.02724    2.278
   1.02897    2.365
   1.03090    2.399
   1.03310    2.393
   1.03564    2.372
   1.03863    2.371
   1.04220    2.412
   1.04653    2.422
   1.05188    2.448
   1.05845    2.445
   1.06636    2.480
   1.07544    2.473
   1.08545    2.505
   1.09604    2.509
   1.10701    2.518
   1.11816    2.512
   1.12949    2.538
   1.14077    2.530
   1.15198    2.539
   1.16321    2.556
   1.17466    2.544
   1.18629    2.559
   1.19802    2.545
   1.20980    2.558
   1.22157    2.536
   1.23336    2.560
   1.24520    2.549
   1.25703    2.542
   1.26889    2.550
   1.28080    2.554
   1.29270    2.547
   1.30459    2.543
   1.31649    2.546
   1.32840    2.549
   1.34029    2.543
   1.35215    2.553
   1.36399    2.547
   1.37579    2.526
   1.38761    2.547
   1.39950    2.546
   1.41141    2.544
   1.42335    2.546
   1.43529    2.540
   1.44721    2.535
   1.45912    2.540
   1.47104    2.541
   1.48294    2.530
   1.49483    2.534
   1.50674    2.542
   1.51868    2.548
   1.53063    2.548
   1.54254    2.540
   1.55442    2.537
   1.56630    2.547
   1.57823    2.559
   1.59017    2.560
   1.60210    2.558
   1.61401    2.557
   1.62590    2.562
   1.63783    2.574
   1.64977    2.578
   1.66168    2.573
   1.67353    2.576
   1.68540    2.595
   1.69727    2.594
   1.70915    2.606
   1.72106    2.614
   1.73297    2.619
   1.74487    2.630
   1.75679    2.641
   1.76870    2.652
   1.78059    2.665
   1.79247    2.685
   1.80437    2.704
   1.81624    2.722
   1.82815    2.753
   1.84006    2.775
   1.85196    2.804
   1.86383    2.839
   1.87572    2.887
   1.88761    2.932
   1.89950    2.991
   1.91139    3.065
   1.92329    3.150
   1.93518    3.256
   1.94706    3.373
   1.95885    3.522
   1.97049    3.696
   1.98202    3.901
   1.99334    4.131
   2.00411    4.400
   2.01387    4.698
   2.02199    5.011
   2.02641    5.349
