#    s          H
   0.00000     1.592
   0.00436     1.582
   0.01215     1.590
   0.02140     1.594
   0.03175     1.596
   0.04275     1.595
   0.05413     1.592
   0.06571     1.588
   0.07741     1.585
   0.08916     1.582
   0.10095     1.579
   0.11276     1.576
   0.12460     1.573
   0.13646     1.569
   0.14835     1.566
   0.16026     1.563
   0.17218     1.560
   0.18412     1.558
   0.19607     1.556
   0.20803     1.554
   0.22000     1.551
   0.23198     1.550
   0.24397     1.548
   0.25596     1.547
   0.26795     1.546
   0.27993     1.545
   0.29192     1.544
   0.30391     1.543
   0.31590     1.541
   0.32788     1.540
   0.33984     1.539
   0.35180     1.537
   0.36374     1.536
   0.37566     1.535
   0.38758     1.534
   0.39949     1.534
   0.41140     1.534
   0.42331     1.534
   0.43521     1.534
   0.44710     1.535
   0.45898     1.536
   0.47084     1.538
   0.48269     1.540
   0.49453     1.544
   0.50635     1.549
   0.51817     1.556
   0.52996     1.565
   0.54175     1.575
   0.55353     1.588
   0.56529     1.606
   0.57704     1.628
   0.58878     1.656
   0.60050     1.691
   0.61220     1.736
   0.62388     1.798
   0.63554     1.883
   0.64718     2.002
   0.65881     2.163
   0.67042     2.370
   0.68202     2.600
   0.69359     2.809
   0.70515     2.935
   0.71667     2.957
   0.72817     2.955
   0.73964     2.942
   0.75108     2.923
   0.76249     2.902
   0.77385     2.872
   0.78517     2.842
   0.79643     2.809
   0.80763     2.776
   0.81878     2.747
   0.82987     2.718
   0.84089     2.695
   0.85185     2.672
   0.86273     2.649
   0.87352     2.618
   0.88421     2.602
   0.89479     2.584
   0.90524     2.566
   0.91555     2.552
   0.92566     2.532
   0.93552     2.507
   0.94510     2.485
   0.95431     2.467
   0.96307     2.447
   0.97123     2.431
   0.97864     2.416
   0.98520     2.390
   0.99084     2.391
   0.99564     2.382
   0.99969     2.375
   1.00312     2.326
   1.00607     2.327
   1.00862     2.345
   1.01086     2.309
   1.01285     2.309
   1.01465     2.318
   1.01626     2.273
   1.01771     2.293
   1.01903     2.261
   1.02031     2.231
   1.02158     2.230
   1.02288     2.230
   1.02422     2.232
   1.02567     2.288
   1.02724     2.279
   1.02897     2.365
   1.03090     2.400
   1.03310     2.394
   1.03564     2.373
   1.03863     2.371
   1.04220     2.413
   1.04653     2.423
   1.05188     2.448
   1.05845     2.446
   1.06636     2.481
   1.07544     2.473
   1.08545     2.506
   1.09604     2.509
   1.10701     2.519
   1.11816     2.512
   1.12949     2.539
   1.14077     2.530
   1.15198     2.540
   1.16321     2.556
   1.17466     2.544
   1.18629     2.559
   1.19802     2.546
   1.20980     2.559
   1.22157     2.537
   1.23336     2.561
   1.24520     2.550
   1.25703     2.542
   1.26889     2.550
   1.28080     2.555
   1.29270     2.547
   1.30459     2.543
   1.31649     2.547
   1.32840     2.549
   1.34029     2.544
   1.35215     2.553
   1.36399     2.547
   1.37579     2.527
   1.38761     2.547
   1.39950     2.546
   1.41141     2.544
   1.42335     2.546
   1.43529     2.540
   1.44721     2.536
   1.45912     2.540
   1.47104     2.541
   1.48294     2.531
   1.49483     2.535
   1.50674     2.542
   1.51868     2.548
   1.53063     2.548
   1.54254     2.540
   1.55442     2.537
   1.56630     2.547
   1.57823     2.559
   1.59017     2.560
   1.60210     2.558
   1.61401     2.557
   1.62590     2.562
   1.63783     2.574
   1.64977     2.578
   1.66168     2.573
   1.67353     2.576
   1.68540     2.595
   1.69727     2.594
   1.70915     2.605
   1.72106     2.613
   1.73297     2.619
   1.74487     2.630
   1.75679     2.640
   1.76870     2.652
   1.78059     2.664
   1.79247     2.684
   1.80437     2.704
   1.81624     2.721
   1.82815     2.752
   1.84006     2.774
   1.85196     2.803
   1.86383     2.838
   1.87572     2.886
   1.88761     2.930
   1.89950     2.989
   1.91139     3.063
   1.92329     3.148
   1.93518     3.253
   1.94706     3.369
   1.95885     3.518
   1.97049     3.691
   1.98202     3.896
   1.99334     4.125
   2.00411     4.394
   2.01387     4.691
   2.02199     5.005
   2.02641     5.342
