#    s          H
   0.00000    1.595
   0.00436    1.587
   0.01215    1.588
   0.02140    1.586
   0.03175    1.583
   0.04275    1.576
   0.05413    1.569
   0.06571    1.562
   0.07741    1.555
   0.08916    1.548
   0.10095    1.542
   0.11276    1.536
   0.12460    1.530
   0.13646    1.524
   0.14835    1.518
   0.16026    1.513
   0.17218    1.507
   0.18412    1.502
   0.19607    1.498
   0.20803    1.493
   0.22000    1.489
   0.23198    1.485
   0.24397    1.481
   0.25596    1.477
   0.26795    1.474
   0.27993    1.471
   0.29192    1.468
   0.30391    1.465
   0.31590    1.462
   0.32788    1.459
   0.33984    1.456
   0.35180    1.454
   0.36374    1.452
   0.37566    1.451
   0.38758    1.451
   0.39949    1.452
   0.41140    1.454
   0.42331    1.458
   0.43521    1.463
   0.44710    1.472
   0.45898    1.483
   0.47084    1.500
   0.48269    1.524
   0.49453    1.559
   0.50635    1.609
   0.51817    1.684
   0.52996    1.797
   0.54175    1.974
   0.55353    2.254
   0.56529    2.700
   0.57704    3.385
   0.58878    4.369
   0.60050    4.716
   0.61220    4.860
   0.62388    4.920
   0.63554    4.919
   0.64718    4.872
   0.65881    4.790
   0.67042    4.684
   0.68202    4.558
   0.69359    4.415
   0.70515    4.267
   0.71667    4.112
   0.72817    3.956
   0.73964    3.806
   0.75108    3.666
   0.76249    3.537
   0.77385    3.419
   0.78517    3.306
   0.79643    3.208
   0.80763    3.121
   0.81878    3.047
   0.82987    2.984
   0.84089    2.930
   0.85185    2.882
   0.86273    2.835
   0.87352    2.794
   0.88421    2.758
   0.89479    2.730
   0.90524    2.706
   0.91555    2.681
   0.92566    2.644
   0.93552    2.616
   0.94510    2.587
   0.95431    2.555
   0.96307    2.539
   0.97123    2.508
   0.97864    2.494
   0.98520    2.476
   0.99084    2.464
   0.99564    2.467
   0.99969    2.431
   1.00312    2.407
   1.00607    2.393
   1.00862    2.397
   1.01086    2.399
   1.01285    2.386
   1.01465    2.379
   1.01626    2.395
   1.01771    2.349
   1.01903    2.293
   1.02031    2.233
   1.02158    2.269
   1.02288    2.232
   1.02422    2.216
   1.02567    2.230
   1.02724    2.230
   1.02897    2.290
   1.03090    2.285
   1.03310    2.282
   1.03564    2.296
   1.03863    2.318
   1.04220    2.319
   1.04653    2.348
   1.05188    2.360
   1.05845    2.366
   1.06636    2.394
   1.07544    2.392
   1.08545    2.419
   1.09604    2.426
   1.10701    2.427
   1.11816    2.437
   1.12949    2.456
   1.14077    2.445
   1.15198    2.459
   1.16321    2.469
   1.17466    2.466
   1.18629    2.477
   1.19802    2.468
   1.20980    2.478
   1.22157    2.461
   1.23336    2.487
   1.24520    2.474
   1.25703    2.469
   1.26889    2.479
   1.28080    2.484
   1.29270    2.476
   1.30459    2.475
   1.31649    2.479
   1.32840    2.480
   1.34029    2.475
   1.35215    2.487
   1.36399    2.484
   1.37579    2.460
   1.38761    2.482
   1.39950    2.483
   1.41141    2.481
   1.42335    2.482
   1.43529    2.477
   1.44721    2.473
   1.45912    2.477
   1.47104    2.478
   1.48294    2.468
   1.49483    2.473
   1.50674    2.478
   1.51868    2.485
   1.53063    2.486
   1.54254    2.476
   1.55442    2.473
   1.56630    2.481
   1.57823    2.494
   1.59017    2.493
   1.60210    2.489
   1.61401    2.488
   1.62590    2.492
   1.63783    2.502
   1.64977    2.503
   1.66168    2.497
   1.67353    2.498
   1.68540    2.514
   1.69727    2.511
   1.70915    2.520
   1.72106    2.524
   1.73297    2.526
   1.74487    2.532
   1.75679    2.538
   1.76870    2.544
   1.78059    2.550
   1.79247    2.563
   1.80437    2.574
   1.81624    2.581
   1.82815    2.601
   1.84006    2.610
   1.85196    2.624
   1.86383    2.640
   1.87572    2.666
   1.88761    2.685
   1.89950    2.713
   1.91139    2.748
   1.92329    2.789
   1.93518    2.840
   1.94706    2.894
   1.95885    2.970
   1.97049    3.061
   1.98202    3.176
   1.99334    3.314
   2.00411    3.497
   2.01387    3.724
   2.02199    3.990
   2.02641    4.272
