#    s         Cf    
   0.00000   0.000192
   0.00436   0.000206
   0.01215   0.000217
   0.02140   0.000231
   0.03175   0.000248
   0.04275   0.000270
   0.05413   0.000295
   0.06571   0.000323
   0.07741   0.000353
   0.08916   0.000386
   0.10095   0.000421
   0.11276   0.000457
   0.12460   0.000497
   0.13646   0.000539
   0.14835   0.000583
   0.16026   0.000628
   0.17218   0.000677
   0.18412   0.000726
   0.19607   0.000778
   0.20803   0.000830
   0.22000   0.000885
   0.23198   0.000941
   0.24397   0.000999
   0.25596   0.001056
   0.26795   0.001116
   0.27993   0.001177
   0.29192   0.001240
   0.30391   0.001305
   0.31590   0.001372
   0.32788   0.001442
   0.33984   0.001512
   0.35180   0.001586
   0.36374   0.001659
   0.37566   0.001736
   0.38758   0.001812
   0.39949   0.001891
   0.41140   0.001970
   0.42331   0.002051
   0.43521   0.002137
   0.44710   0.002222
   0.45898   0.002314
   0.47084   0.002406
   0.48269   0.002501
   0.49453   0.002599
   0.50635   0.002698
   0.51817   0.002805
   0.52996   0.002907
   0.54175   0.003017
   0.55353   0.003126
   0.56529   0.003242
   0.57704   0.003360
   0.58878   0.003482
   0.60050   0.003609
   0.61220   0.003742
   0.62388   0.003878
   0.63554   0.004020
   0.64718   0.004161
   0.65881   0.004307
   0.67042   0.004461
   0.68202   0.004615
   0.69359   0.004782
   0.70515   0.004961
   0.71667   0.005140
   0.72817   0.005334
   0.73964   0.005545
   0.75108   0.005756
   0.76249   0.005992
   0.77385   0.006235
   0.78517   0.006513
   0.79643   0.006790
   0.80763   0.007107
   0.81878   0.007411
   0.82987   0.007767
   0.84089   0.008115
   0.85185   0.008507
   0.86273   0.008937
   0.87352   0.009411
   0.88421   0.009926
   0.89479   0.010495
   0.90524   0.011128
   0.91555   0.011887
   0.92566   0.012808
   0.93552   0.013899
   0.94510   0.015145
   0.95431   0.016710
   0.96307   0.018497
   0.97123   0.020712
   0.97864   0.023017
   0.98520   0.025554
   0.99084   0.027093
   0.99564   0.025997
   0.99969   0.021148
   1.00312   0.009629
   1.00607  -0.001549
   1.00862  -0.003109
   1.01086  -0.003412
   1.01285  -0.003869
   1.01465  -0.004601
   1.01626  -0.002896
   1.01771   0.018769
   1.01903   0.054699
   1.02031   0.072985
   1.02158   0.084086
   1.02288   0.100581
   1.02422   0.101384
   1.02567   0.084299
   1.02724   0.059873
   1.02897   0.043537
   1.03090   0.028524
   1.03310   0.017758
   1.03564   0.012394
   1.03863   0.007947
   1.04220   0.004724
   1.04653   0.002467
   1.05188   0.000682
   1.05845   0.000487
   1.06636   0.001149
   1.07544   0.001771
   1.08545   0.001864
   1.09604   0.002110
   1.10701   0.002104
   1.11816   0.002167
   1.12949   0.002087
   1.14077   0.002131
   1.15198   0.002067
   1.16321   0.002005
   1.17466   0.002012
   1.18629   0.001940
   1.19802   0.001938
   1.20980   0.001865
   1.22157   0.001923
   1.23336   0.001756
   1.24520   0.001807
   1.25703   0.001799
   1.26889   0.001731
   1.28080   0.001702
   1.29270   0.001702
   1.30459   0.001698
   1.31649   0.001629
   1.32840   0.001637
   1.34029   0.001619
   1.35215   0.001567
   1.36399   0.001559
   1.37579   0.001648
   1.38761   0.001508
   1.39950   0.001518
   1.41141   0.001518
   1.42335   0.001500
   1.43529   0.001501
   1.44721   0.001501
   1.45912   0.001466
   1.47104   0.001462
   1.48294   0.001488
   1.49483   0.001447
   1.50674   0.001432
   1.51868   0.001399
   1.53063   0.001400
   1.54254   0.001423
   1.55442   0.001430
   1.56630   0.001393
   1.57823   0.001347
   1.59017   0.001355
   1.60210   0.001374
   1.61401   0.001368
   1.62590   0.001355
   1.63783   0.001324
   1.64977   0.001324
   1.66168   0.001346
   1.67353   0.001347
   1.68540   0.001300
   1.69727   0.001316
   1.70915   0.001290
   1.72106   0.001296
   1.73297   0.001290
   1.74487   0.001295
   1.75679   0.001280
   1.76870   0.001285
   1.78059   0.001276
   1.79247   0.001266
   1.80437   0.001253
   1.81624   0.001267
   1.82815   0.001231
   1.84006   0.001246
   1.85196   0.001249
   1.86383   0.001256
   1.87572   0.001232
   1.88761   0.001245
   1.89950   0.001245
   1.91139   0.001246
   1.92329   0.001248
   1.93518   0.001247
   1.94706   0.001271
   1.95885   0.001277
   1.97049   0.001300
   1.98202   0.001327
   1.99334   0.001374
   2.00411   0.001451
   2.01387   0.001468
   2.02199   0.001421
   2.02641   0.000721
