#    s          Cf       
   0.00000    0.002028   
   0.00436    0.002086   
   0.01215    0.002083   
   0.02140    0.002102   
   0.03175    0.002134   
   0.04275    0.002188   
   0.05413    0.002250   
   0.06571    0.002313   
   0.07741    0.002377   
   0.08916    0.002438   
   0.10095    0.002496   
   0.11276    0.002555   
   0.12460    0.002617   
   0.13646    0.002681   
   0.14835    0.002745   
   0.16026    0.002805   
   0.17218    0.002870   
   0.18412    0.002928   
   0.19607    0.002991   
   0.20803    0.003050   
   0.22000    0.003113   
   0.23198    0.003173   
   0.24397    0.003233   
   0.25596    0.003290   
   0.26795    0.003347   
   0.27993    0.003408   
   0.29192    0.003471   
   0.30391    0.003539   
   0.31590    0.003607   
   0.32788    0.003682   
   0.33984    0.003756   
   0.35180    0.003836   
   0.36374    0.003915   
   0.37566    0.004002   
   0.38758    0.004081   
   0.39949    0.004169   
   0.41140    0.004257   
   0.42331    0.004345   
   0.43521    0.004444   
   0.44710    0.004547   
   0.45898    0.004657   
   0.47084    0.004775   
   0.48269    0.004897   
   0.49453    0.005026   
   0.50635    0.005160   
   0.51817    0.005303   
   0.52996    0.005451   
   0.54175    0.005604   
   0.55353    0.005764   
   0.56529    0.005926   
   0.57704    0.006097   
   0.58878    0.006254   
   0.60050    0.006403   
   0.61220    0.006519   
   0.62388    0.006558   
   0.63554    0.006450   
   0.64718    0.006073   
   0.65881    0.005246   
   0.67042    0.003765   
   0.68202    0.001851   
   0.69359    0.000593   
   0.70515    0.000228   
   0.71667    0.000154   
   0.72817    0.000145   
   0.73964    0.000173   
   0.75108    0.000225   
   0.76249    0.000302   
   0.77385    0.000402   
   0.78517    0.000536   
   0.79643    0.000685   
   0.80763    0.000852   
   0.81878    0.001023   
   0.82987    0.001201   
   0.84089    0.001383   
   0.85185    0.001580   
   0.86273    0.001813   
   0.87352    0.002054   
   0.88421    0.002314   
   0.89479    0.002566   
   0.90524    0.002831   
   0.91555    0.003134   
   0.92566    0.003601   
   0.93552    0.004056   
   0.94510    0.004593   
   0.95431    0.005277   
   0.96307    0.005841   
   0.97123    0.006750   
   0.97864    0.007481   
   0.98520    0.008414   
   0.99084    0.009357   
   0.99564    0.009969   
   0.99969    0.011541   
   1.00312    0.012932   
   1.00607    0.014081   
   1.00862    0.014775   
   1.01086    0.015598   
   1.01285    0.017145   
   1.01465    0.018637   
   1.01626    0.019402   
   1.01771    0.023087   
   1.01903    0.026196   
   1.02031    0.026821   
   1.02158    0.021123   
   1.02288    0.017169   
   1.02422    0.008957   
   1.02567    0.001494   
   1.02724    0.003373   
   1.02897    0.005306   
   1.03090    0.005928   
   1.03310    0.006366   
   1.03564    0.006469   
   1.03863    0.006192   
   1.04220    0.006090   
   1.04653    0.005504   
   1.05188    0.005106   
   1.05845    0.004727   
   1.06636    0.004157   
   1.07544    0.003891   
   1.08545    0.003418   
   1.09604    0.003150   
   1.10701    0.002956   
   1.11816    0.002736   
   1.12949    0.002492   
   1.14077    0.002447   
   1.15198    0.002267   
   1.16321    0.002130   
   1.17466    0.002073   
   1.18629    0.001946   
   1.19802    0.001925   
   1.20980    0.001814   
   1.22157    0.001842   
   1.23336    0.001677   
   1.24520    0.001688   
   1.25703    0.001671   
   1.26889    0.001590   
   1.28080    0.001535   
   1.29270    0.001535   
   1.30459    0.001505   
   1.31649    0.001460   
   1.32840    0.001431   
   1.34029    0.001423   
   1.35215    0.001356   
   1.36399    0.001343   
   1.37579    0.001410   
   1.38761    0.001304   
   1.39950    0.001287   
   1.41141    0.001276   
   1.42335    0.001254   
   1.43529    0.001252   
   1.44721    0.001249   
   1.45912    0.001217   
   1.47104    0.001199   
   1.48294    0.001217   
   1.49483    0.001188   
   1.50674    0.001159   
   1.51868    0.001126   
   1.53063    0.001113   
   1.54254    0.001132   
   1.55442    0.001128   
   1.56630    0.001096   
   1.57823    0.001049   
   1.59017    0.001045   
   1.60210    0.001047   
   1.61401    0.001042   
   1.62590    0.001023   
   1.63783    0.000987   
   1.64977    0.000977   
   1.66168    0.000988   
   1.67353    0.000978   
   1.68540    0.000930   
   1.69727    0.000934   
   1.70915    0.000908   
   1.72106    0.000894   
   1.73297    0.000883   
   1.74487    0.000867   
   1.75679    0.000848   
   1.76870    0.000832   
   1.78059    0.000816   
   1.79247    0.000787   
   1.80437    0.000762   
   1.81624    0.000748   
   1.82815    0.000706   
   1.84006    0.000689   
   1.85196    0.000665   
   1.86383    0.000636   
   1.87572    0.000590   
   1.88761    0.000561   
   1.89950    0.000517   
   1.91139    0.000464   
   1.92329    0.000406   
   1.93518    0.000336   
   1.94706    0.000268   
   1.95885    0.000183   
   1.97049    0.000098   
   1.98202    0.000018   
   1.99334   -0.000043   
   2.00411   -0.000079   
   2.01387   -0.000091   
   2.02199   -0.000091   
   2.02641   -0.000087     
