#    s        Cf    
   0.00000 -0.000001
   0.00436 -0.000001
   0.01215 -0.000001
   0.02140 -0.000001
   0.03175 -0.000001
   0.04275 -0.000001
   0.05413 -0.000001
   0.06571 -0.000001
   0.07741 -0.000001
   0.08916 -0.000001
   0.10095 -0.000001
   0.11276 -0.000001
   0.12460 -0.000001
   0.13646 -0.000001
   0.14835 -0.000001
   0.16026 -0.000001
   0.17218 -0.000001
   0.18412 -0.000001
   0.19607 -0.000001
   0.20803 -0.000001
   0.22000 -0.000001
   0.23198 -0.000001
   0.24397 -0.000001
   0.25596 -0.000001
   0.26795 -0.000001
   0.27993 -0.000001
   0.29192 -0.000001
   0.30391  0.000000
   0.31590  0.000000
   0.32788  0.000000
   0.33984  0.000001
   0.35180  0.000002
   0.36374  0.000043
   0.37566  0.000093
   0.38758  0.000146
   0.39949  0.000203
   0.41140  0.000265
   0.42331  0.000333
   0.43521  0.000407
   0.44710  0.000486
   0.45898  0.000571
   0.47084  0.000662
   0.48269  0.000756
   0.49453  0.000856
   0.50635  0.000956
   0.51817  0.001064
   0.52996  0.001171
   0.54175  0.001281
   0.55353  0.001394
   0.56529  0.001508
   0.57704  0.001626
   0.58878  0.001744
   0.60050  0.001869
   0.61220  0.001995
   0.62388  0.002125
   0.63554  0.002256
   0.64718  0.002386
   0.65881  0.002527
   0.67042  0.002665
   0.68202  0.002811
   0.69359  0.002961
   0.70515  0.003118
   0.71667  0.003291
   0.72817  0.003454
   0.73964  0.003641
   0.75108  0.003837
   0.76249  0.004043
   0.77385  0.004255
   0.78517  0.004498
   0.79643  0.004754
   0.80763  0.005014
   0.81878  0.005295
   0.82987  0.005597
   0.84089  0.005910
   0.85185  0.006263
   0.86273  0.006627
   0.87352  0.007046
   0.88421  0.007486
   0.89479  0.007963
   0.90524  0.008496
   0.91555  0.009144
   0.92566  0.009859
   0.93552  0.010659
   0.94510  0.011651
   0.95431  0.012737
   0.96307  0.013912
   0.97123  0.015448
   0.97864  0.017155
   0.98520  0.019040
   0.99084  0.021453
   0.99564  0.024492
   0.99969  0.028150
   1.00312  0.033237
   1.00607  0.037904
   1.00862  0.043771
   1.01086  0.049928
   1.01285  0.047431
   1.01465  0.020385
   1.01626 -0.002381
   1.01771 -0.002253
   1.01903  0.014756
   1.02031  0.036942
   1.02158  0.039171
   1.02288  0.052902
   1.02422  0.057659
   1.02567  0.051709
   1.02724  0.037365
   1.02897  0.030218
   1.03090  0.019944
   1.03310  0.013472
   1.03564  0.010348
   1.03863  0.007072
   1.04220  0.005313
   1.04653  0.003570
   1.05188  0.002453
   1.05845  0.001470
   1.06636  0.000853
   1.07544  0.000412
   1.08545  0.000113
   1.09604  0.000089
   1.10701  0.000193
   1.11816  0.000313
   1.12949  0.000345
   1.14077  0.000396
   1.15198  0.000451
   1.16321  0.000412
   1.17466  0.000497
   1.18629  0.000448
   1.19802  0.000484
   1.20980  0.000491
   1.22157  0.000495
   1.23336  0.000470
   1.24520  0.000502
   1.25703  0.000496
   1.26889  0.000496
   1.28080  0.000477
   1.29270  0.000503
   1.30459  0.000498
   1.31649  0.000473
   1.32840  0.000495
   1.34029  0.000489
   1.35215  0.000471
   1.36399  0.000480
   1.37579  0.000514
   1.38761  0.000457
   1.39950  0.000483
   1.41141  0.000474
   1.42335  0.000477
   1.43529  0.000479
   1.44721  0.000482
   1.45912  0.000475
   1.47104  0.000468
   1.48294  0.000489
   1.49483  0.000468
   1.50674  0.000471
   1.51868  0.000462
   1.53063  0.000466
   1.54254  0.000481
   1.55442  0.000482
   1.56630  0.000471
   1.57823  0.000451
   1.59017  0.000463
   1.60210  0.000476
   1.61401  0.000473
   1.62590  0.000470
   1.63783  0.000458
   1.64977  0.000466
   1.66168  0.000478
   1.67353  0.000480
   1.68540  0.000467
   1.69727  0.000473
   1.70915  0.000462
   1.72106  0.000475
   1.73297  0.000472
   1.74487  0.000481
   1.75679  0.000478
   1.76870  0.000484
   1.78059  0.000483
   1.79247  0.000485
   1.80437  0.000480
   1.81624  0.000501
   1.82815  0.000481
   1.84006  0.000497
   1.85196  0.000505
   1.86383  0.000518
   1.87572  0.000510
   1.88761  0.000527
   1.89950  0.000532
   1.91139  0.000549
   1.92329  0.000560
   1.93518  0.000569
   1.94706  0.000601
   1.95885  0.000620
   1.97049  0.000657
   1.98202  0.000699
   1.99334  0.000770
   2.00411  0.000893
   2.01387  0.001010
   2.02199  0.001125
   2.02641 -0.000061
