#    s        Cf     
   0.00000 -0.000011 
   0.00436 -0.000011 
   0.01215 -0.000011 
   0.02140 -0.000011 
   0.03175 -0.000011 
   0.04275 -0.000012 
   0.05413 -0.000012 
   0.06571 -0.000012 
   0.07741 -0.000012 
   0.08916 -0.000012 
   0.10095 -0.000012 
   0.11276 -0.000012 
   0.12460 -0.000012 
   0.13646 -0.000012 
   0.14835 -0.000012 
   0.16026 -0.000012 
   0.17218 -0.000011 
   0.18412 -0.000011 
   0.19607 -0.000009 
   0.20803 -0.000008 
   0.22000 -0.000006 
   0.23198 -0.000004 
   0.24397 -0.000001 
   0.25596  0.000003 
   0.26795  0.000007 
   0.27993  0.000013 
   0.29192  0.000020 
   0.30391  0.000033 
   0.31590  0.000079 
   0.32788  0.000125 
   0.33984  0.000174 
   0.35180  0.000226 
   0.36374  0.000282 
   0.37566  0.000343 
   0.38758  0.000409 
   0.39949  0.000480 
   0.41140  0.000556 
   0.42331  0.000638 
   0.43521  0.000727 
   0.44710  0.000820 
   0.45898  0.000921 
   0.47084  0.001028 
   0.48269  0.001139 
   0.49453  0.001259 
   0.50635  0.001381 
   0.51817  0.001512 
   0.52996  0.001645 
   0.54175  0.001783 
   0.55353  0.001927 
   0.56529  0.002076 
   0.57704  0.002228 
   0.58878  0.002389 
   0.60050  0.002554 
   0.61220  0.002725 
   0.62388  0.002903 
   0.63554  0.003085 
   0.64718  0.003272 
   0.65881  0.003460 
   0.67042  0.003665 
   0.68202  0.003869 
   0.69359  0.004089 
   0.70515  0.004319 
   0.71667  0.004558 
   0.72817  0.004815 
   0.73964  0.005083 
   0.75108  0.005372 
   0.76249  0.005687 
   0.77385  0.006015 
   0.78517  0.006376 
   0.79643  0.006744 
   0.80763  0.007180 
   0.81878  0.007597 
   0.82987  0.008103 
   0.84089  0.008588 
   0.85185  0.009157 
   0.86273  0.009752 
   0.87352  0.010481 
   0.88421  0.011190 
   0.89479  0.012010 
   0.90524  0.012978 
   0.91555  0.013992 
   0.92566  0.015315 
   0.93552  0.016611 
   0.94510  0.018290 
   0.95431  0.019796 
   0.96307  0.021524 
   0.97123  0.022677 
   0.97864  0.022843 
   0.98520  0.020100 
   0.99084  0.015423 
   0.99564  0.005917 
   0.99969 -0.001389 
   1.00312 -0.003681 
   1.00607 -0.003963 
   1.00862 -0.004278 
   1.01086 -0.004686 
   1.01285 -0.005312 
   1.01465 -0.006327 
   1.01626 -0.004059 
   1.01771  0.026591 
   1.01903  0.069770 
   1.02031  0.092931 
   1.02158  0.120159 
   1.02288  0.142764 
   1.02422  0.140133 
   1.02567  0.116980 
   1.02724  0.085640 
   1.02897  0.061584 
   1.03090  0.040543 
   1.03310  0.025246 
   1.03564  0.018494 
   1.03863  0.010601 
   1.04220  0.007264 
   1.04653  0.003565 
   1.05188  0.001098 
   1.05845  0.000594 
   1.06636  0.001528 
   1.07544  0.002517 
   1.08545  0.002491 
   1.09604  0.003083 
   1.10701  0.002872 
   1.11816  0.003072 
   1.12949  0.002984 
   1.14077  0.003035 
   1.15198  0.002864 
   1.16321  0.002906 
   1.17466  0.002829 
   1.18629  0.002809 
   1.19802  0.002761 
   1.20980  0.002631 
   1.22157  0.002736 
   1.23336  0.002587 
   1.24520  0.002564 
   1.25703  0.002588 
   1.26889  0.002433 
   1.28080  0.002497 
   1.29270  0.002426 
   1.30459  0.002457 
   1.31649  0.002378 
   1.32840  0.002343 
   1.34029  0.002334 
   1.35215  0.002271 
   1.36399  0.002290 
   1.37579  0.002352 
   1.38761  0.002207 
   1.39950  0.002214 
   1.41141  0.002214 
   1.42335  0.002180 
   1.43529  0.002178 
   1.44721  0.002202 
   1.45912  0.002149 
   1.47104  0.002133 
   1.48294  0.002184 
   1.49483  0.002116 
   1.50674  0.002111 
   1.51868  0.002073 
   1.53063  0.002073 
   1.54254  0.002093 
   1.55442  0.002105 
   1.56630  0.002066 
   1.57823  0.002009 
   1.59017  0.002029 
   1.60210  0.002043 
   1.61401  0.002034 
   1.62590  0.002035 
   1.63783  0.001985 
   1.64977  0.001992 
   1.66168  0.002027 
   1.67353  0.002032 
   1.68540  0.001978 
   1.69727  0.001997 
   1.70915  0.001971 
   1.72106  0.001984 
   1.73297  0.001983 
   1.74487  0.001991 
   1.75679  0.001984 
   1.76870  0.001994 
   1.78059  0.001993 
   1.79247  0.001988 
   1.80437  0.001978 
   1.81624  0.002011 
   1.82815  0.001975 
   1.84006  0.002007 
   1.85196  0.002026 
   1.86383  0.002050 
   1.87572  0.002042 
   1.88761  0.002081 
   1.89950  0.002106 
   1.91139  0.002138 
   1.92329  0.002175 
   1.93518  0.002213 
   1.94706  0.002304 
   1.95885  0.002369 
   1.97049  0.002487 
   1.98202  0.002626 
   1.99334  0.002853 
   2.00411  0.003167 
   2.01387  0.003493 
   2.02199  0.003753 
   2.02641  0.001559 
