#    x        Cp  
   1.00000  0.08963
   0.99564  0.08673
   0.98786  0.08255
   0.97862  0.07739
   0.96829  0.07140
   0.95732  0.06447
   0.94599  0.05690
   0.93445  0.04872
   0.92281  0.03999
   0.91111  0.03074
   0.89938  0.02103
   0.88763  0.01080
   0.87586 -0.00001
   0.86407 -0.01136
   0.85226 -0.02324
   0.84042 -0.03557
   0.82857 -0.04849
   0.81671 -0.06171
   0.80484 -0.07557
   0.79295 -0.08974
   0.78106 -0.10446
   0.76916 -0.11955
   0.75725 -0.13503
   0.74534 -0.15075
   0.73343 -0.16688
   0.72153 -0.18351
   0.70962 -0.20061
   0.69771 -0.21823
   0.68581 -0.23622
   0.67391 -0.25489
   0.66202 -0.27385
   0.65015 -0.29338
   0.63829 -0.31315
   0.62644 -0.33367
   0.61460 -0.35421
   0.60276 -0.37544
   0.59092 -0.39702
   0.57908 -0.41891
   0.56725 -0.44185
   0.55543 -0.46501
   0.54361 -0.48914
   0.53181 -0.51371
   0.52002 -0.53891
   0.50824 -0.56484
   0.49647 -0.59114
   0.48471 -0.61885
   0.47296 -0.64623
   0.46122 -0.67498
   0.44948 -0.70399
   0.43776 -0.73424
   0.42604 -0.76527
   0.41433 -0.79710
   0.40264 -0.82996
   0.39097 -0.86418
   0.37931 -0.89907
   0.36767 -0.93538
   0.35604 -0.97203
   0.34443 -1.00984
   0.33283 -1.04933
   0.32124 -1.08943
   0.30967 -1.13185
   0.29812 -1.17632
   0.28659 -1.22164
   0.27509 -1.26954
   0.26362 -1.32013
   0.25218 -1.37185
   0.24078 -1.42722
   0.22942 -1.48436
   0.21811 -1.54641
   0.20686 -1.60949
   0.19567 -1.67803
   0.18455 -1.74648
   0.17349 -1.82163
   0.16251 -1.89766
   0.15161 -1.97967
   0.14081 -2.06715
   0.13013 -2.16052
   0.11957 -2.25963
   0.10915 -2.36559
   0.09889 -2.47918
   0.08883 -2.60534
   0.07903 -2.74587
   0.06952 -2.89947
   0.06038 -3.06327
   0.05168 -3.24775
   0.04353 -3.44223
   0.03607 -3.66002
   0.02943 -3.87890
   0.02371 -4.12311
   0.01892 -4.35605
   0.01499 -4.59406
   0.01180 -4.83570
   0.00921 -5.20983
   0.00710 -6.29002
   0.00538 -6.84566
   0.00397 -6.97125
   0.00281 -7.11449
   0.00187 -7.31738
   0.00114 -7.64265
   0.00061 -8.14191
   0.00028 -8.59740
   0.00016 -8.43745
   0.00025 -7.88074
   0.00057 -6.89147
   0.00116 -5.26007
   0.00204 -3.41345
   0.00321 -1.90522
   0.00464 -0.85472
   0.00634 -0.12490
   0.00836  0.31483
   0.01073  0.58517
   0.01356  0.77330
   0.01699  0.89242
   0.02120  0.96402
   0.02643  0.99558
   0.03289  0.99775
   0.04072  0.97826
   0.04973  0.94547
   0.05968  0.90686
   0.07024  0.86818
   0.08118  0.83030
   0.09231  0.79505
   0.10362  0.76377
   0.11489  0.73430
   0.12609  0.70789
   0.13732  0.68463
   0.14877  0.66165
   0.16040  0.64093
   0.17212  0.62064
   0.18390  0.60273
   0.19567  0.58322
   0.20746  0.56922
   0.21930  0.55296
   0.23113  0.53728
   0.24299  0.52384
   0.25489  0.51083
   0.26680  0.49756
   0.27869  0.48447
   0.29059  0.47371
   0.30250  0.46187
   0.31439  0.45077
   0.32625  0.44131
   0.33809  0.43136
   0.34989  0.41803
   0.36171  0.41139
   0.37359  0.40188
   0.38551  0.39252
   0.39744  0.38379
   0.40939  0.37467
   0.42130  0.36556
   0.43321  0.35788
   0.44513  0.34956
   0.45703  0.34009
   0.46892  0.33295
   0.48083  0.32541
   0.49276  0.31890
   0.50471  0.31148
   0.51663  0.30308
   0.52850  0.29499
   0.54038  0.28878
   0.55230  0.28352
   0.56424  0.27658
   0.57617  0.26898
   0.58807  0.26221
   0.59996  0.25587
   0.61188  0.25061
   0.62382  0.24428
   0.63573  0.23691
   0.64757  0.23025
   0.65943  0.22595
   0.67130  0.21921
   0.68317  0.21429
   0.69507  0.20817
   0.70697  0.20254
   0.71887  0.19641
   0.73077  0.19123
   0.74267  0.18528
   0.75456  0.17991
   0.76643  0.17478
   0.77831  0.16994
   0.79017  0.16379
   0.80206  0.16016
   0.81396  0.15424
   0.82585  0.14877
   0.83771  0.14305
   0.84958  0.13896
   0.86145  0.13306
   0.87333  0.12774
   0.88519  0.12239
   0.89707  0.11693
   0.90895  0.11167
   0.92081  0.10491
   0.93257  0.09896
   0.94420  0.09197
   0.95570  0.08452
   0.96700  0.07560
   0.97775  0.06457
   0.98749  0.05700
   0.99559  0.05432
   1.00000  0.08963
