#    x        Cp  
   1.00000  0.08963
   0.99564  0.08673
   0.98786  0.08255
   0.97862  0.07739
   0.96829  0.07140
   0.95732  0.06447
   0.94599  0.05690
   0.93445  0.04872
   0.92281  0.03999
   0.91111  0.03074
   0.89938  0.02103
   0.88763  0.01080
   0.87586 -0.00001
   0.86407 -0.01136
   0.85226 -0.02324
   0.84042 -0.03557
   0.82857 -0.04849
   0.81671 -0.06171
   0.80484 -0.07557
   0.79295 -0.08974
   0.78106 -0.10446
   0.76916 -0.11955
   0.75725 -0.13503
   0.74534 -0.15075
   0.73343 -0.16688
   0.72153 -0.18351
   0.70962 -0.20061
   0.69771 -0.21823
   0.68581 -0.23622
   0.67391 -0.25489
   0.66202 -0.27385
   0.65015 -0.29338
   0.63829 -0.31315
   0.62644 -0.33367
   0.61460 -0.35421
   0.60276 -0.37544
   0.59092 -0.39702
   0.57908 -0.41891
   0.56725 -0.44185
   0.55543 -0.46501
   0.54361 -0.48914
   0.53181 -0.51371
   0.52002 -0.53891
   0.50824 -0.56484
   0.49647 -0.59114
   0.48471 -0.61885
   0.47296 -0.64623
   0.46122 -0.67498
   0.44948 -0.70399
   0.43776 -0.73424
   0.42604 -0.76527
   0.41433 -0.79710
   0.40264 -0.82996
   0.39097 -0.86418
   0.37931 -0.89907
   0.36767 -0.93538
   0.35604 -0.97203
   0.34443 -1.00984
   0.33283 -1.04933
   0.32124 -1.08943
   0.30967 -1.13185
   0.29812 -1.17632
   0.28659 -1.22164
   0.27509 -1.26954
   0.26362 -1.32013
   0.25218 -1.37185
   0.24078 -1.42722
   0.22942 -1.48436
   0.21811 -1.54641
   0.20686 -1.60949
   0.19567 -1.67803
   0.18455 -1.74648
   0.17349 -1.82163
   0.16251 -1.89766
   0.15161 -1.97967
   0.14081 -2.06715
   0.13013 -2.16052
   0.11957 -2.25963
   0.10915 -2.36559
   0.09889 -2.47918
   0.08883 -2.60534
   0.07903 -2.74587
   0.06952 -2.89947
   0.06038 -3.06327
   0.05168 -3.24775
   0.04353 -3.44223
   0.03607 -3.66002
   0.02943 -3.87890
   0.02371 -4.12311
   0.01892 -4.35605
   0.01499 -4.59406
   0.01180 -4.83570
   0.00921 -5.20983
   0.00710 -6.29002
   0.00538 -6.84566
   0.00397 -6.97125
   0.00281 -7.11449
   0.00187 -7.31738
   0.00114 -7.64265
   0.00061 -8.14191
   0.00028 -8.59740
   0.00016 -8.43745
