#    x        Cp  
   1.00000 -0.05578
   0.99564 -0.05728
   0.98786 -0.06041
   0.97862 -0.06417
   0.96829 -0.06837
   0.95732 -0.07282
   0.94599 -0.07743
   0.93445 -0.08212
   0.92281 -0.08688
   0.91111 -0.09168
   0.89938 -0.09652
   0.88763 -0.10139
   0.87586 -0.10629
   0.86407 -0.11123
   0.85226 -0.11620
   0.84042 -0.12122
   0.82857 -0.12625
   0.81671 -0.13132
   0.80484 -0.13640
   0.79295 -0.14150
   0.78106 -0.14658
   0.76916 -0.15165
   0.75725 -0.15666
   0.74534 -0.16159
   0.73343 -0.16639
   0.72153 -0.17097
   0.70962 -0.17533
   0.69771 -0.17964
   0.68581 -0.18480
   0.67391 -0.19264
   0.66202 -0.20205
   0.65015 -0.21264
   0.63829 -0.22441
   0.62644 -0.23743
   0.61460 -0.25166
   0.60276 -0.26715
   0.59092 -0.28389
   0.57908 -0.30185
   0.56725 -0.32114
   0.55543 -0.34161
   0.54361 -0.36337
   0.53181 -0.38638
   0.52002 -0.41041
   0.50824 -0.43579
   0.49647 -0.46207
   0.48471 -0.48974
   0.47296 -0.51815
   0.46122 -0.54764
   0.44948 -0.57816
   0.43776 -0.60983
   0.42604 -0.64219
   0.41433 -0.67595
   0.40264 -0.71069
   0.39097 -0.74661
   0.37931 -0.78357
   0.36767 -0.82158
   0.35604 -0.86051
   0.34443 -0.90016
   0.33283 -0.94196
   0.32124 -0.98434
   0.30967 -1.02876
   0.29812 -1.07479
   0.28659 -1.12230
   0.27509 -1.17219
   0.26362 -1.22372
   0.25218 -1.27786
   0.24078 -1.33514
   0.22942 -1.39414
   0.21811 -1.45694
   0.20686 -1.52079
   0.19567 -1.59155
   0.18455 -1.66094
   0.17349 -1.73890
   0.16251 -1.81541
   0.15161 -1.89985
   0.14081 -1.98685
   0.13013 -2.08561
   0.11957 -2.18272
   0.10915 -2.28949
   0.09889 -2.40838
   0.08883 -2.53119
   0.07903 -2.67807
   0.06952 -2.82332
   0.06038 -2.99888
   0.05168 -3.16802
   0.04353 -3.36870
   0.03607 -3.56752
   0.02943 -3.78602
   0.02371 -3.99440
   0.01892 -4.23342
   0.01499 -4.63575
   0.01180 -5.65310
   0.00921 -6.51252
   0.00710 -6.60251
   0.00538 -6.68784
   0.00397 -6.78250
   0.00281 -6.90857
   0.00187 -7.09913
   0.00114 -7.41059
   0.00061 -7.88795
   0.00028 -8.31258
   0.00016 -8.26000
   0.00025 -7.84212
   0.00057 -6.81516
   0.00116 -5.18728
   0.00204 -3.41504
   0.00321 -1.93430
   0.00464 -0.87235
   0.00634 -0.14347
   0.00836  0.29557
   0.01073  0.57681
   0.01356  0.76781
   0.01699  0.88365
   0.02120  0.96127
   0.02643  0.99437
   0.03289  0.99835
   0.04072  0.98037
   0.04973  0.94776
   0.05968  0.91065
   0.07024  0.87130
   0.08118  0.83363
   0.09231  0.79890
   0.10362  0.76647
   0.11489  0.73621
   0.12609  0.71078
   0.13732  0.68624
   0.14877  0.66338
   0.16040  0.64137
   0.17212  0.62068
   0.18390  0.60302
   0.19567  0.58326
   0.20746  0.56712
   0.21930  0.55121
   0.23113  0.53477
   0.24299  0.52206
   0.25489  0.50705
   0.26680  0.49412
   0.27869  0.48005
   0.29059  0.46815
   0.30250  0.45650
   0.31439  0.44480
   0.32625  0.43463
   0.33809  0.42336
   0.34989  0.41069
   0.36171  0.40260
   0.37359  0.39252
   0.38551  0.38250
   0.39744  0.37338
   0.40939  0.36383
   0.42130  0.35359
   0.43321  0.34525
   0.44513  0.33655
   0.45703  0.32612
   0.46892  0.31856
   0.48083  0.31000
   0.49276  0.30250
   0.50471  0.29428
   0.51663  0.28547
   0.52850  0.27670
   0.54038  0.26940
   0.55230  0.26314
   0.56424  0.25505
   0.57617  0.24693
   0.58807  0.23943
   0.59996  0.23170
   0.61188  0.22568
   0.62382  0.21828
   0.63573  0.20984
   0.64757  0.20213
   0.65943  0.19639
   0.67130  0.18870
   0.68317  0.18239
   0.69507  0.17499
   0.70697  0.16795
   0.71887  0.16057
   0.73077  0.15369
   0.74267  0.14626
   0.75456  0.13915
   0.76643  0.13223
   0.77831  0.12557
   0.79017  0.11737
   0.80206  0.11155
   0.81396  0.10341
   0.82585  0.09549
   0.83771  0.08721
   0.84958  0.07998
   0.86145  0.07094
   0.87333  0.06211
   0.88519  0.05275
   0.89707  0.04291
   0.90895  0.03265
   0.92081  0.01979
   0.93257  0.00726
   0.94420 -0.00813
   0.95570 -0.02550
   0.96700 -0.04793
   0.97775 -0.07590
   0.98749 -0.10596
   0.99559 -0.13290
   1.00000 -0.05578
