#    x        Cp  
   1.00000 -0.05578
   0.99564 -0.05728
   0.98786 -0.06041
   0.97862 -0.06417
   0.96829 -0.06837
   0.95732 -0.07282
   0.94599 -0.07743
   0.93445 -0.08212
   0.92281 -0.08688
   0.91111 -0.09168
   0.89938 -0.09652
   0.88763 -0.10139
   0.87586 -0.10629
   0.86407 -0.11123
   0.85226 -0.11620
   0.84042 -0.12122
   0.82857 -0.12625
   0.81671 -0.13132
   0.80484 -0.13640
   0.79295 -0.14150
   0.78106 -0.14658
   0.76916 -0.15165
   0.75725 -0.15666
   0.74534 -0.16159
   0.73343 -0.16639
   0.72153 -0.17097
   0.70962 -0.17533
   0.69771 -0.17964
   0.68581 -0.18480
   0.67391 -0.19264
   0.66202 -0.20205
   0.65015 -0.21264
   0.63829 -0.22441
   0.62644 -0.23743
   0.61460 -0.25166
   0.60276 -0.26715
   0.59092 -0.28389
   0.57908 -0.30185
   0.56725 -0.32114
   0.55543 -0.34161
   0.54361 -0.36337
   0.53181 -0.38638
   0.52002 -0.41041
   0.50824 -0.43579
   0.49647 -0.46207
   0.48471 -0.48974
   0.47296 -0.51815
   0.46122 -0.54764
   0.44948 -0.57816
   0.43776 -0.60983
   0.42604 -0.64219
   0.41433 -0.67595
   0.40264 -0.71069
   0.39097 -0.74661
   0.37931 -0.78357
   0.36767 -0.82158
   0.35604 -0.86051
   0.34443 -0.90016
   0.33283 -0.94196
   0.32124 -0.98434
   0.30967 -1.02876
   0.29812 -1.07479
   0.28659 -1.12230
   0.27509 -1.17219
   0.26362 -1.22372
   0.25218 -1.27786
   0.24078 -1.33514
   0.22942 -1.39414
   0.21811 -1.45694
   0.20686 -1.52079
   0.19567 -1.59155
   0.18455 -1.66094
   0.17349 -1.73890
   0.16251 -1.81541
   0.15161 -1.89985
   0.14081 -1.98685
   0.13013 -2.08561
   0.11957 -2.18272
   0.10915 -2.28949
   0.09889 -2.40838
   0.08883 -2.53119
   0.07903 -2.67807
   0.06952 -2.82332
   0.06038 -2.99888
   0.05168 -3.16802
   0.04353 -3.36870
   0.03607 -3.56752
   0.02943 -3.78602
   0.02371 -3.99440
   0.01892 -4.23342
   0.01499 -4.63575
   0.01180 -5.65310
   0.00921 -6.51252
   0.00710 -6.60251
   0.00538 -6.68784
   0.00397 -6.78250
   0.00281 -6.90857
   0.00187 -7.09913
   0.00114 -7.41059
   0.00061 -7.88795
   0.00028 -8.31258
   0.00016 -8.26000
 
