#    s      Dstar   
   0.00000 0.030918 
   0.00436 0.030350 
   0.01215 0.029801 
   0.02140 0.029133 
   0.03175 0.028386 
   0.04275 0.027513 
   0.05413 0.026612 
   0.06571 0.025689 
   0.07741 0.024769 
   0.08916 0.023860 
   0.10095 0.022975 
   0.11276 0.022109 
   0.12460 0.021257 
   0.13646 0.020426 
   0.14835 0.019623 
   0.16026 0.018852 
   0.17218 0.018102 
   0.18412 0.017396 
   0.19607 0.016705 
   0.20803 0.016053 
   0.22000 0.015422 
   0.23198 0.014822 
   0.24397 0.014251 
   0.25596 0.013712 
   0.26795 0.013196 
   0.27993 0.012698 
   0.29192 0.012218 
   0.30391 0.011756 
   0.31590 0.011314 
   0.32788 0.010883 
   0.33984 0.010474 
   0.35180 0.010079 
   0.36374 0.009704 
   0.37566 0.009338 
   0.38758 0.008997 
   0.39949 0.008664 
   0.41140 0.008346 
   0.42331 0.008044 
   0.43521 0.007743 
   0.44710 0.007459 
   0.45898 0.007178 
   0.47084 0.006910 
   0.48269 0.006651 
   0.49453 0.006400 
   0.50635 0.006161 
   0.51817 0.005921 
   0.52996 0.005701 
   0.54175 0.005482 
   0.55353 0.005274 
   0.56529 0.005069 
   0.57704 0.004872 
   0.58878 0.004681 
   0.60050 0.004495 
   0.61220 0.004312 
   0.62388 0.004138 
   0.63554 0.003967 
   0.64718 0.003805 
   0.65881 0.003648 
   0.67042 0.003494 
   0.68202 0.003347 
   0.69359 0.003200 
   0.70515 0.003056 
   0.71667 0.002919 
   0.72817 0.002782 
   0.73964 0.002648 
   0.75108 0.002519 
   0.76249 0.002391 
   0.77385 0.002267 
   0.78517 0.002142 
   0.79643 0.002025 
   0.80763 0.001906 
   0.81878 0.001798 
   0.82987 0.001687 
   0.84089 0.001584 
   0.85185 0.001482 
   0.86273 0.001382 
   0.87352 0.001284 
   0.88421 0.001190 
   0.89479 0.001098 
   0.90524 0.001009 
   0.91555 0.000920 
   0.92566 0.000831 
   0.93552 0.000744 
   0.94510 0.000663 
   0.95431 0.000583 
   0.96307 0.000509 
   0.97123 0.000439 
   0.97864 0.000378 
   0.98520 0.000324 
   0.99084 0.000284 
   0.99564 0.000260 
   0.99969 0.000262 
   1.00312 0.000317 
   1.00607 0.000449 
   1.00862 0.000467 
   1.01086 0.000409 
   1.01285 0.000326 
   1.01465 0.000240 
   1.01626 0.000163 
   1.01771 0.000099 
   1.01903 0.000068 
   1.02031 0.000057 
   1.02158 0.000050 
   1.02288 0.000043 
   1.02422 0.000040 
   1.02567 0.000042 
   1.02724 0.000048 
   1.02897 0.000054 
   1.03090 0.000064 
   1.03310 0.000078 
   1.03564 0.000087 
   1.03863 0.000099 
   1.04220 0.000113 
   1.04653 0.000126 
   1.05188 0.000156 
   1.05845 0.000156 
   1.06636 0.000198 
   1.07544 0.000212 
   1.08545 0.000246 
   1.09604 0.000267 
   1.10701 0.000295 
   1.11816 0.000317 
   1.12949 0.000345 
   1.14077 0.000363 
   1.15198 0.000386 
   1.16321 0.000410 
   1.17466 0.000426 
   1.18629 0.000449 
   1.19802 0.000465 
   1.20980 0.000488 
   1.22157 0.000496 
   1.23336 0.000529 
   1.24520 0.000536 
   1.25703 0.000550 
   1.26889 0.000571 
   1.28080 0.000587 
   1.29270 0.000599 
   1.30459 0.000611 
   1.31649 0.000632 
   1.32840 0.000642 
   1.34029 0.000655 
   1.35215 0.000674 
   1.36399 0.000686 
   1.37579 0.000679 
   1.38761 0.000714 
   1.39950 0.000721 
   1.41141 0.000731 
   1.42335 0.000743 
   1.43529 0.000752 
   1.44721 0.000760 
   1.45912 0.000776 
   1.47104 0.000785 
   1.48294 0.000787 
   1.49483 0.000803 
   1.50674 0.000815 
   1.51868 0.000830 
   1.53063 0.000838 
   1.54254 0.000840 
   1.55442 0.000845 
   1.56630 0.000861 
   1.57823 0.000880 
   1.59017 0.000885 
   1.60210 0.000887 
   1.61401 0.000895 
   1.62590 0.000905 
   1.63783 0.000920 
   1.64977 0.000927 
   1.66168 0.000927 
   1.67353 0.000933 
   1.68540 0.000953 
   1.69727 0.000954 
   1.70915 0.000968 
   1.72106 0.000973 
   1.73297 0.000980 
   1.74487 0.000985 
   1.75679 0.000995 
   1.76870 0.001000 
   1.78059 0.001008 
   1.79247 0.001017 
   1.80437 0.001027 
   1.81624 0.001028 
   1.82815 0.001045 
   1.84006 0.001046 
   1.85196 0.001050 
   1.86383 0.001053 
   1.87572 0.001066 
   1.88761 0.001067 
   1.89950 0.001072 
   1.91139 0.001077 
   1.92329 0.001081 
   1.93518 0.001086 
   1.94706 0.001082 
   1.95885 0.001084 
   1.97049 0.001080 
   1.98202 0.001075 
   1.99334 0.001063 
   2.00411 0.001041 
   2.01387 0.001038 
   2.02199 0.001054 
   2.02641 0.001352 
