#    s       Dstar   
   0.00000  0.005382 
   0.00436  0.005253 
   0.01215  0.005224 
   0.02140  0.005148 
   0.03175  0.005047 
   0.04275  0.004909 
   0.05413  0.004762 
   0.06571  0.004618 
   0.07741  0.004479 
   0.08916  0.004350 
   0.10095  0.004227 
   0.11276  0.004109 
   0.12460  0.003991 
   0.13646  0.003876 
   0.14835  0.003764 
   0.16026  0.003660 
   0.17218  0.003556 
   0.18412  0.003460 
   0.19607  0.003364 
   0.20803  0.003273 
   0.22000  0.003182 
   0.23198  0.003096 
   0.24397  0.003012 
   0.25596  0.002933 
   0.26795  0.002856 
   0.27993  0.002778 
   0.29192  0.002701 
   0.30391  0.002623 
   0.31590  0.002547 
   0.32788  0.002470 
   0.33984  0.002396 
   0.35180  0.002320 
   0.36374  0.002248 
   0.37566  0.002174 
   0.38758  0.002106 
   0.39949  0.002037 
   0.41140  0.001969 
   0.42331  0.001904 
   0.43521  0.001837 
   0.44710  0.001771 
   0.45898  0.001704 
   0.47084  0.001638 
   0.48269  0.001574 
   0.49453  0.001510 
   0.50635  0.001447 
   0.51817  0.001385 
   0.52996  0.001323 
   0.54175  0.001264 
   0.55353  0.001204 
   0.56529  0.001147 
   0.57704  0.001089 
   0.58878  0.001035 
   0.60050  0.000982 
   0.61220  0.000932 
   0.62388  0.000888 
   0.63554  0.000853 
   0.64718  0.000834 
   0.65881  0.000842 
   0.67042  0.000903 
   0.68202  0.001047 
   0.69359  0.001246 
   0.70515  0.001338 
   0.71667  0.001347 
   0.72817  0.001320 
   0.73964  0.001272 
   0.75108  0.001215 
   0.76249  0.001153 
   0.77385  0.001087 
   0.78517  0.001019 
   0.79643  0.000955 
   0.80763  0.000894 
   0.81878  0.000839 
   0.82987  0.000789 
   0.84089  0.000742 
   0.85185  0.000697 
   0.86273  0.000652 
   0.87352  0.000611 
   0.88421  0.000572 
   0.89479  0.000536 
   0.90524  0.000501 
   0.91555  0.000467 
   0.92566  0.000429 
   0.93552  0.000395 
   0.94510  0.000361 
   0.95431  0.000328 
   0.96307  0.000300 
   0.97123  0.000269 
   0.97864  0.000244 
   0.98520  0.000220 
   0.99084  0.000199 
   0.99564  0.000183 
   0.99969  0.000163 
   1.00312  0.000147 
   1.00607  0.000134 
   1.00862  0.000124 
   1.01086  0.000114 
   1.01285  0.000103 
   1.01465  0.000092 
   1.01626  0.000083 
   1.01771  0.000070 
   1.01903  0.000060 
   1.02031  0.000054 
   1.02158  0.000053 
   1.02288  0.000048 
   1.02422  0.000049 
   1.02567  0.000060 
   1.02724  0.000060 
   1.02897  0.000077 
   1.03090  0.000093 
   1.03310  0.000106 
   1.03564  0.000119 
   1.03863  0.000136 
   1.04220  0.000151 
   1.04653  0.000174 
   1.05188  0.000197 
   1.05845  0.000223 
   1.06636  0.000256 
   1.07544  0.000285 
   1.08545  0.000322 
   1.09604  0.000354 
   1.10701  0.000384 
   1.11816  0.000415 
   1.12949  0.000450 
   1.14077  0.000471 
   1.15198  0.000502 
   1.16321  0.000530 
   1.17466  0.000552 
   1.18629  0.000581 
   1.19802  0.000599 
   1.20980  0.000627 
   1.22157  0.000638 
   1.23336  0.000675 
   1.24520  0.000687 
   1.25703  0.000703 
   1.26889  0.000728 
   1.28080  0.000750 
   1.29270  0.000763 
   1.30459  0.000780 
   1.31649  0.000801 
   1.32840  0.000818 
   1.34029  0.000831 
   1.35215  0.000857 
   1.36399  0.000870 
   1.37579  0.000865 
   1.38761  0.000900 
   1.39950  0.000915 
   1.41141  0.000928 
   1.42335  0.000943 
   1.43529  0.000954 
   1.44721  0.000964 
   1.45912  0.000982 
   1.47104  0.000997 
   1.48294  0.001000 
   1.49483  0.001018 
   1.50674  0.001036 
   1.51868  0.001055 
   1.53063  0.001069 
   1.54254  0.001071 
   1.55442  0.001080 
   1.56630  0.001100 
   1.57823  0.001125 
   1.59017  0.001136 
   1.60210  0.001143 
   1.61401  0.001153 
   1.62590  0.001169 
   1.63783  0.001192 
   1.64977  0.001205 
   1.66168  0.001208 
   1.67353  0.001220 
   1.68540  0.001250 
   1.69727  0.001256 
   1.70915  0.001277 
   1.72106  0.001292 
   1.73297  0.001305 
   1.74487  0.001322 
   1.75679  0.001340 
   1.76870  0.001357 
   1.78059  0.001374 
   1.79247  0.001400 
   1.80437  0.001423 
   1.81624  0.001441 
   1.82815  0.001476 
   1.84006  0.001497 
   1.85196  0.001524 
   1.86383  0.001554 
   1.87572  0.001599 
   1.88761  0.001634 
   1.89950  0.001683 
   1.91139  0.001744 
   1.92329  0.001816 
   1.93518  0.001910 
   1.94706  0.002014 
   1.95885  0.002164 
   1.97049  0.002351 
   1.98202  0.002592 
   1.99334  0.002883 
   2.00411  0.003244 
   2.01387  0.003664 
   2.02199  0.004117 
   2.02641  0.004547 
