#    s          H
   0.00000     2.667
   0.00436     2.637
   0.01215     2.617
   0.02140     2.592
   0.03175     2.564
   0.04275     2.527
   0.05413     2.490
   0.06571     2.451
   0.07741     2.412
   0.08916     2.373
   0.10095     2.336
   0.11276     2.300
   0.12460     2.264
   0.13646     2.229
   0.14835     2.195
   0.16026     2.163
   0.17218     2.132
   0.18412     2.104
   0.19607     2.075
   0.20803     2.049
   0.22000     2.024
   0.23198     2.000
   0.24397     1.978
   0.25596     1.957
   0.26795     1.938
   0.27993     1.919
   0.29192     1.901
   0.30391     1.883
   0.31590     1.866
   0.32788     1.850
   0.33984     1.835
   0.35180     1.820
   0.36374     1.806
   0.37566     1.793
   0.38758     1.781
   0.39949     1.769
   0.41140     1.758
   0.42331     1.747
   0.43521     1.736
   0.44710     1.727
   0.45898     1.717
   0.47084     1.707
   0.48269     1.699
   0.49453     1.690
   0.50635     1.682
   0.51817     1.673
   0.52996     1.666
   0.54175     1.659
   0.55353     1.653
   0.56529     1.646
   0.57704     1.640
   0.58878     1.634
   0.60050     1.628
   0.61220     1.622
   0.62388     1.617
   0.63554     1.612
   0.64718     1.607
   0.65881     1.603
   0.67042     1.599
   0.68202     1.596
   0.69359     1.592
   0.70515     1.588
   0.71667     1.585
   0.72817     1.582
   0.73964     1.578
   0.75108     1.575
   0.76249     1.571
   0.77385     1.569
   0.78517     1.565
   0.79643     1.562
   0.80763     1.558
   0.81878     1.556
   0.82987     1.552
   0.84089     1.551
   0.85185     1.548
   0.86273     1.546
   0.87352     1.543
   0.88421     1.541
   0.89479     1.538
   0.90524     1.535
   0.91555     1.530
   0.92566     1.523
   0.93552     1.515
   0.94510     1.505
   0.95431     1.492
   0.96307     1.478
   0.97123     1.462
   0.97864     1.450
   0.98520     1.443
   0.99084     1.461
   0.99564     1.539
   0.99969     1.765
   1.00312     2.502
   1.00607     5.833
   1.00862     8.404
   1.01086     7.904
   1.01285     6.791
   1.01465     5.459
   1.01626     4.187
   1.01771     3.026
   1.01903     2.524
   1.02031     2.411
   1.02158     2.369
   1.02288     2.272
   1.02422     2.201
   1.02567     2.161
   1.02724     2.170
   1.02897     2.144
   1.03090     2.138
   1.03310     2.182
   1.03564     2.180
   1.03863     2.189
   1.04220     2.214
   1.04653     2.200
   1.05188     2.230
   1.05845     2.230
   1.06636     2.271
   1.07544     2.226
   1.08545     2.298
   1.09604     2.263
   1.10701     2.294
   1.11816     2.289
   1.12949     2.313
   1.14077     2.299
   1.15198     2.315
   1.16321     2.326
   1.17466     2.317
   1.18629     2.332
   1.19802     2.325
   1.20980     2.340
   1.22157     2.316
   1.23336     2.361
   1.24520     2.335
   1.25703     2.332
   1.26889     2.348
   1.28080     2.350
   1.29270     2.344
   1.30459     2.339
   1.31649     2.357
   1.32840     2.348
   1.34029     2.349
   1.35215     2.362
   1.36399     2.358
   1.37579     2.323
   1.38761     2.370
   1.39950     2.360
   1.41141     2.355
   1.42335     2.357
   1.43529     2.352
   1.44721     2.348
   1.45912     2.358
   1.47104     2.355
   1.48294     2.342
   1.49483     2.354
   1.50674     2.357
   1.51868     2.366
   1.53063     2.362
   1.54254     2.349
   1.55442     2.343
   1.56630     2.356
   1.57823     2.371
   1.59017     2.364
   1.60210     2.353
   1.61401     2.353
   1.62590     2.355
   1.63783     2.366
   1.64977     2.363
   1.66168     2.350
   1.67353     2.348
   1.68540     2.366
   1.69727     2.356
   1.70915     2.365
   1.72106     2.360
   1.73297     2.360
   1.74487     2.355
   1.75679     2.359
   1.76870     2.355
   1.78059     2.357
   1.79247     2.359
   1.80437     2.363
   1.81624     2.354
   1.82815     2.368
   1.84006     2.359
   1.85196     2.356
   1.86383     2.351
   1.87572     2.360
   1.88761     2.352
   1.89950     2.350
   1.91139     2.348
   1.92329     2.346
   1.93518     2.345
   1.94706     2.333
   1.95885     2.329
   1.97049     2.318
   1.98202     2.306
   1.99334     2.286
   2.00411     2.256
   2.01387     2.251
   2.02199     2.271
   2.02641     2.661
