#    s         H
   0.00000    1.556
   0.00436    1.548
   0.01215    1.551
   0.02140    1.551
   0.03175    1.550
   0.04275    1.545
   0.05413    1.540
   0.06571    1.534
   0.07741    1.529
   0.08916    1.525
   0.10095    1.521
   0.11276    1.518
   0.12460    1.514
   0.13646    1.510
   0.14835    1.507
   0.16026    1.504
   0.17218    1.501
   0.18412    1.499
   0.19607    1.496
   0.20803    1.495
   0.22000    1.493
   0.23198    1.491
   0.24397    1.490
   0.25596    1.489
   0.26795    1.488
   0.27993    1.487
   0.29192    1.486
   0.30391    1.485
   0.31590    1.484
   0.32788    1.482
   0.33984    1.481
   0.35180    1.479
   0.36374    1.478
   0.37566    1.476
   0.38758    1.475
   0.39949    1.474
   0.41140    1.473
   0.42331    1.472
   0.43521    1.470
   0.44710    1.468
   0.45898    1.466
   0.47084    1.464
   0.48269    1.462
   0.49453    1.459
   0.50635    1.457
   0.51817    1.454
   0.52996    1.451
   0.54175    1.449
   0.55353    1.446
   0.56529    1.444
   0.57704    1.442
   0.58878    1.443
   0.60050    1.444
   0.61220    1.450
   0.62388    1.463
   0.63554    1.490
   0.64718    1.542
   0.65881    1.647
   0.67042    1.864
   0.68202    2.318
   0.69359    3.081
   0.70515    3.470
   0.71667    3.574
   0.72817    3.594
   0.73964    3.563
   0.75108    3.507
   0.76249    3.435
   0.77385    3.353
   0.78517    3.260
   0.79643    3.175
   0.80763    3.096
   0.81878    3.029
   0.82987    2.972
   0.84089    2.923
   0.85185    2.878
   0.86273    2.831
   0.87352    2.792
   0.88421    2.756
   0.89479    2.730
   0.90524    2.708
   0.91555    2.687
   0.92566    2.647
   0.93552    2.620
   0.94510    2.591
   0.95431    2.556
   0.96307    2.544
   0.97123    2.509
   0.97864    2.497
   0.98520    2.478
   0.99084    2.463
   0.99564    2.475
   0.99969    2.436
   1.00312    2.408
   1.00607    2.392
   1.00862    2.398
   1.01086    2.404
   1.01285    2.388
   1.01465    2.379
   1.01626    2.405
   1.01771    2.354
   1.01903    2.299
   1.02031    2.230
   1.02158    2.268
   1.02288    2.236
   1.02422    2.212
   1.02567    2.230
   1.02724    2.230
   1.02897    2.290
   1.03090    2.280
   1.03310    2.281
   1.03564    2.294
   1.03863    2.318
   1.04220    2.315
   1.04653    2.350
   1.05188    2.357
   1.05845    2.364
   1.06636    2.394
   1.07544    2.388
   1.08545    2.420
   1.09604    2.424
   1.10701    2.424
   1.11816    2.436
   1.12949    2.458
   1.14077    2.440
   1.15198    2.459
   1.16321    2.471
   1.17466    2.463
   1.18629    2.478
   1.19802    2.464
   1.20980    2.480
   1.22157    2.454
   1.23336    2.492
   1.24520    2.472
   1.25703    2.464
   1.26889    2.479
   1.28080    2.486
   1.29270    2.473
   1.30459    2.473
   1.31649    2.479
   1.32840    2.480
   1.34029    2.472
   1.35215    2.491
   1.36399    2.486
   1.37579    2.449
   1.38761    2.486
   1.39950    2.485
   1.41141    2.481
   1.42335    2.482
   1.43529    2.476
   1.44721    2.470
   1.45912    2.478
   1.47104    2.479
   1.48294    2.463
   1.49483    2.471
   1.50674    2.479
   1.51868    2.489
   1.53063    2.489
   1.54254    2.473
   1.55442    2.469
   1.56630    2.480
   1.57823    2.499
   1.59017    2.496
   1.60210    2.489
   1.61401    2.486
   1.62590    2.491
   1.63783    2.506
   1.64977    2.507
   1.66168    2.495
   1.67353    2.496
   1.68540    2.519
   1.69727    2.512
   1.70915    2.523
   1.72106    2.527
   1.73297    2.528
   1.74487    2.534
   1.75679    2.542
   1.76870    2.547
   1.78059    2.553
   1.79247    2.569
   1.80437    2.582
   1.81624    2.588
   1.82815    2.615
   1.84006    2.623
   1.85196    2.639
   1.86383    2.658
   1.87572    2.695
   1.88761    2.717
   1.89950    2.757
   1.91139    2.811
   1.92329    2.876
   1.93518    2.968
   1.94706    3.072
   1.95885    3.235
   1.97049    3.449
   1.98202    3.743
   1.99334    4.113
   2.00411    4.586
   2.01387    5.147
   2.02199    5.770
   2.02641    6.382
