#    s           H
   0.00000     3.687
   0.00436     3.632
   0.01215     3.603
   0.02140     3.566
   0.03175     3.521
   0.04275     3.461
   0.05413     3.393
   0.06571     3.316
   0.07741     3.235
   0.08916     3.152
   0.10095     3.072
   0.11276     3.001
   0.12460     2.932
   0.13646     2.864
   0.14835     2.799
   0.16026     2.736
   0.17218     2.674
   0.18412     2.616
   0.19607     2.559
   0.20803     2.506
   0.22000     2.454
   0.23198     2.406
   0.24397     2.360
   0.25596     2.317
   0.26795     2.276
   0.27993     2.236
   0.29192     2.199
   0.30391     2.163
   0.31590     2.130
   0.32788     2.097
   0.33984     2.067
   0.35180     2.038
   0.36374     2.011
   0.37566     1.985
   0.38758     1.961
   0.39949     1.939
   0.41140     1.917
   0.42331     1.898
   0.43521     1.878
   0.44710     1.860
   0.45898     1.843
   0.47084     1.826
   0.48269     1.811
   0.49453     1.796
   0.50635     1.782
   0.51817     1.769
   0.52996     1.756
   0.54175     1.745
   0.55353     1.734
   0.56529     1.723
   0.57704     1.713
   0.58878     1.704
   0.60050     1.694
   0.61220     1.685
   0.62388     1.677
   0.63554     1.669
   0.64718     1.662
   0.65881     1.656
   0.67042     1.649
   0.68202     1.643
   0.69359     1.637
   0.70515     1.631
   0.71667     1.626
   0.72817     1.620
   0.73964     1.615
   0.75108     1.610
   0.76249     1.604
   0.77385     1.599
   0.78517     1.593
   0.79643     1.589
   0.80763     1.582
   0.81878     1.578
   0.82987     1.572
   0.84089     1.569
   0.85185     1.564
   0.86273     1.559
   0.87352     1.553
   0.88421     1.549
   0.89479     1.543
   0.90524     1.536
   0.91555     1.529
   0.92566     1.517
   0.93552     1.507
   0.94510     1.492
   0.95431     1.479
   0.96307     1.462
   0.97123     1.447
   0.97864     1.431
   0.98520     1.424
   0.99084     1.429
   0.99564     1.476
   0.99969     1.604
   1.00312     1.996
   1.00607     3.403
   1.00862     9.705
   1.01086     9.561
   1.01285     8.339
   1.01465     6.594
   1.01626     4.811
   1.01771     3.131
   1.01903     2.578
   1.02031     2.457
   1.02158     2.370
   1.02288     2.268
   1.02422     2.197
   1.02567     2.167
   1.02724     2.164
   1.02897     2.138
   1.03090     2.132
   1.03310     2.188
   1.03564     2.144
   1.03863     2.224
   1.04220     2.171
   1.04653     2.224
   1.05188     2.222
   1.05845     2.230
   1.06636     2.230
   1.07544     2.275
   1.08545     2.253
   1.09604     2.269
   1.10701     2.288
   1.11816     2.281
   1.12949     2.300
   1.14077     2.291
   1.15198     2.322
   1.16321     2.306
   1.17466     2.317
   1.18629     2.317
   1.19802     2.319
   1.20980     2.340
   1.22157     2.308
   1.23336     2.341
   1.24520     2.333
   1.25703     2.323
   1.26889     2.354
   1.28080     2.331
   1.29270     2.342
   1.30459     2.330
   1.31649     2.344
   1.32840     2.347
   1.34029     2.341
   1.35215     2.355
   1.36399     2.344
   1.37579     2.321
   1.38761     2.360
   1.39950     2.351
   1.41141     2.347
   1.42335     2.350
   1.43529     2.346
   1.44721     2.337
   1.45912     2.349
   1.47104     2.350
   1.48294     2.331
   1.49483     2.348
   1.50674     2.348
   1.51868     2.355
   1.53063     2.352
   1.54254     2.341
   1.55442     2.336
   1.56630     2.346
   1.57823     2.362
   1.59017     2.351
   1.60210     2.343
   1.61401     2.344
   1.62590     2.343
   1.63783     2.356
   1.64977     2.352
   1.66168     2.338
   1.67353     2.335
   1.68540     2.352
   1.69727     2.343
   1.70915     2.351
   1.72106     2.344
   1.73297     2.345
   1.74487     2.340
   1.75679     2.342
   1.76870     2.338
   1.78059     2.338
   1.79247     2.340
   1.80437     2.343
   1.81624     2.330
   1.82815     2.345
   1.84006     2.334
   1.85196     2.330
   1.86383     2.323
   1.87572     2.329
   1.88761     2.319
   1.89950     2.314
   1.91139     2.310
   1.92329     2.301
   1.93518     2.298
   1.94706     2.279
   1.95885     2.269
   1.97049     2.249
   1.98202     2.227
   1.99334     2.192
   2.00411     2.140
   2.01387     2.109
   2.02199     2.072
   2.02641     2.574
