#    s          H
   0.00000     6.614
   0.00436     6.562
   0.01215     6.561
   0.02140     6.564
   0.03175     6.564
   0.04275     6.549
   0.05413     6.526
   0.06571     6.493
   0.07741     6.451
   0.08916     6.401
   0.10095     6.342
   0.11276     6.276
   0.12460     6.199
   0.13646     6.114
   0.14835     6.020
   0.16026     5.919
   0.17218     5.808
   0.18412     5.691
   0.19607     5.563
   0.20803     5.429
   0.22000     5.285
   0.23198     5.134
   0.24397     4.975
   0.25596     4.809
   0.26795     4.637
   0.27993     4.454
   0.29192     4.265
   0.30391     4.067
   0.31590     3.861
   0.32788     3.644
   0.33984     3.414
   0.35180     3.171
   0.36374     2.966
   0.37566     2.811
   0.38758     2.675
   0.39949     2.553
   0.41140     2.444
   0.42331     2.349
   0.43521     2.262
   0.44710     2.185
   0.45898     2.116
   0.47084     2.055
   0.48269     2.000
   0.49453     1.951
   0.50635     1.908
   0.51817     1.868
   0.52996     1.834
   0.54175     1.803
   0.55353     1.775
   0.56529     1.750
   0.57704     1.727
   0.58878     1.706
   0.60050     1.687
   0.61220     1.669
   0.62388     1.653
   0.63554     1.639
   0.64718     1.626
   0.65881     1.613
   0.67042     1.602
   0.68202     1.592
   0.69359     1.583
   0.70515     1.573
   0.71667     1.564
   0.72817     1.557
   0.73964     1.549
   0.75108     1.541
   0.76249     1.534
   0.77385     1.528
   0.78517     1.520
   0.79643     1.514
   0.80763     1.508
   0.81878     1.503
   0.82987     1.498
   0.84089     1.494
   0.85185     1.490
   0.86273     1.487
   0.87352     1.483
   0.88421     1.481
   0.89479     1.480
   0.90524     1.478
   0.91555     1.476
   0.92566     1.474
   0.93552     1.474
   0.94510     1.472
   0.95431     1.472
   0.96307     1.475
   0.97123     1.475
   0.97864     1.477
   0.98520     1.480
   0.99084     1.478
   0.99564     1.470
   0.99969     1.458
   1.00312     1.435
   1.00607     1.421
   1.00862     1.407
   1.01086     1.408
   1.01285     1.522
   1.01465     2.113
   1.01626     8.064
   1.01771     4.362
   1.01903     2.877
   1.02031     2.427
   1.02158     2.441
   1.02288     2.294
   1.02422     2.200
   1.02567     2.136
   1.02724     2.159
   1.02897     2.095
   1.03090     2.108
   1.03310     2.150
   1.03564     2.129
   1.03863     2.168
   1.04220     2.155
   1.04653     2.182
   1.05188     2.173
   1.05845     2.197
   1.06636     2.209
   1.07544     2.208
   1.08545     2.230
   1.09604     2.230
   1.10701     2.269
   1.11816     2.211
   1.12949     2.283
   1.14077     2.256
   1.15198     2.244
   1.16321     2.318
   1.17466     2.233
   1.18629     2.314
   1.19802     2.274
   1.20980     2.280
   1.22157     2.284
   1.23336     2.316
   1.24520     2.280
   1.25703     2.292
   1.26889     2.296
   1.28080     2.318
   1.29270     2.288
   1.30459     2.296
   1.31649     2.325
   1.32840     2.297
   1.34029     2.305
   1.35215     2.324
   1.36399     2.310
   1.37579     2.274
   1.38761     2.341
   1.39950     2.307
   1.41141     2.316
   1.42335     2.311
   1.43529     2.308
   1.44721     2.304
   1.45912     2.312
   1.47104     2.319
   1.48294     2.294
   1.49483     2.318
   1.50674     2.314
   1.51868     2.324
   1.53063     2.317
   1.54254     2.299
   1.55442     2.297
   1.56630     2.311
   1.57823     2.334
   1.59017     2.317
   1.60210     2.301
   1.61401     2.305
   1.62590     2.308
   1.63783     2.322
   1.64977     2.311
   1.66168     2.297
   1.67353     2.296
   1.68540     2.311
   1.69727     2.304
   1.70915     2.316
   1.72106     2.300
   1.73297     2.304
   1.74487     2.293
   1.75679     2.297
   1.76870     2.291
   1.78059     2.293
   1.79247     2.291
   1.80437     2.298
   1.81624     2.275
   1.82815     2.298
   1.84006     2.280
   1.85196     2.273
   1.86383     2.261
   1.87572     2.272
   1.88761     2.255
   1.89950     2.252
   1.91139     2.239
   1.92329     2.231
   1.93518     2.226
   1.94706     2.201
   1.95885     2.189
   1.97049     2.164
   1.98202     2.139
   1.99334     2.098
   2.00411     2.034
   2.01387     1.988
   2.02199     1.953
   2.02641     5.448
