#    s       Theta  
   0.00000  0.011594
   0.00436  0.011508
   0.01215  0.011387
   0.02140  0.011239
   0.03175  0.011073
   0.04275  0.010886
   0.05413  0.010688
   0.06571  0.010482
   0.07741  0.010270
   0.08916  0.010054
   0.10095  0.009835
   0.11276  0.009614
   0.12460  0.009390
   0.13646  0.009165
   0.14835  0.008939
   0.16026  0.008715
   0.17218  0.008490
   0.18412  0.008270
   0.19607  0.008049
   0.20803  0.007834
   0.22000  0.007620
   0.23198  0.007410
   0.24397  0.007205
   0.25596  0.007006
   0.26795  0.006810
   0.27993  0.006618
   0.29192  0.006429
   0.30391  0.006243
   0.31590  0.006062
   0.32788  0.005882
   0.33984  0.005708
   0.35180  0.005537
   0.36374  0.005372
   0.37566  0.005209
   0.38758  0.005052
   0.39949  0.004898
   0.41140  0.004749
   0.42331  0.004604
   0.43521  0.004459
   0.44710  0.004320
   0.45898  0.004181
   0.47084  0.004047
   0.48269  0.003916
   0.49453  0.003787
   0.50635  0.003663
   0.51817  0.003539
   0.52996  0.003421
   0.54175  0.003304
   0.55353  0.003191
   0.56529  0.003080
   0.57704  0.002971
   0.58878  0.002865
   0.60050  0.002761
   0.61220  0.002658
   0.62388  0.002559
   0.63554  0.002461
   0.64718  0.002367
   0.65881  0.002275
   0.67042  0.002185
   0.68202  0.002097
   0.69359  0.002010
   0.70515  0.001924
   0.71667  0.001842
   0.72817  0.001759
   0.73964  0.001678
   0.75108  0.001600
   0.76249  0.001521
   0.77385  0.001446
   0.78517  0.001369
   0.79643  0.001297
   0.80763  0.001224
   0.81878  0.001156
   0.82987  0.001087
   0.84089  0.001022
   0.85185  0.000957
   0.86273  0.000894
   0.87352  0.000832
   0.88421  0.000772
   0.89479  0.000714
   0.90524  0.000657
   0.91555  0.000601
   0.92566  0.000545
   0.93552  0.000491
   0.94510  0.000440
   0.95431  0.000391
   0.96307  0.000344
   0.97123  0.000300
   0.97864  0.000261
   0.98520  0.000224
   0.99084  0.000194
   0.99564  0.000169
   0.99969  0.000148
   1.00312  0.000127
   1.00607  0.000077
   1.00862  0.000056
   1.01086  0.000052
   1.01285  0.000048
   1.01465  0.000044
   1.01626  0.000039
   1.01771  0.000033
   1.01903  0.000027
   1.02031  0.000024
   1.02158  0.000021
   1.02288  0.000019
   1.02422  0.000018
   1.02567  0.000020
   1.02724  0.000022
   1.02897  0.000025
   1.03090  0.000030
   1.03310  0.000036
   1.03564  0.000040
   1.03863  0.000045
   1.04220  0.000051
   1.04653  0.000057
   1.05188  0.000070
   1.05845  0.000070
   1.06636  0.000087
   1.07544  0.000095
   1.08545  0.000107
   1.09604  0.000118
   1.10701  0.000129
   1.11816  0.000138
   1.12949  0.000149
   1.14077  0.000158
   1.15198  0.000167
   1.16321  0.000176
   1.17466  0.000184
   1.18629  0.000193
   1.19802  0.000200
   1.20980  0.000209
   1.22157  0.000214
   1.23336  0.000224
   1.24520  0.000230
   1.25703  0.000236
   1.26889  0.000243
   1.28080  0.000250
   1.29270  0.000256
   1.30459  0.000261
   1.31649  0.000268
   1.32840  0.000273
   1.34029  0.000279
   1.35215  0.000285
   1.36399  0.000291
   1.37579  0.000293
   1.38761  0.000301
   1.39950  0.000306
   1.41141  0.000310
   1.42335  0.000315
   1.43529  0.000320
   1.44721  0.000324
   1.45912  0.000329
   1.47104  0.000333
   1.48294  0.000336
   1.49483  0.000341
   1.50674  0.000346
   1.51868  0.000351
   1.53063  0.000355
   1.54254  0.000357
   1.55442  0.000360
   1.56630  0.000365
   1.57823  0.000371
   1.59017  0.000374
   1.60210  0.000377
   1.61401  0.000380
   1.62590  0.000384
   1.63783  0.000389
   1.64977  0.000392
   1.66168  0.000394
   1.67353  0.000397
   1.68540  0.000403
   1.69727  0.000405
   1.70915  0.000409
   1.72106  0.000412
   1.73297  0.000416
   1.74487  0.000418
   1.75679  0.000422
   1.76870  0.000424
   1.78059  0.000428
   1.79247  0.000431
   1.80437  0.000435
   1.81624  0.000437
   1.82815  0.000441
   1.84006  0.000443
   1.85196  0.000446
   1.86383  0.000448
   1.87572  0.000452
   1.88761  0.000454
   1.89950  0.000456
   1.91139  0.000458
   1.92329  0.000461
   1.93518  0.000463
   1.94706  0.000464
   1.95885  0.000466
   1.97049  0.000466
   1.98202  0.000466
   1.99334  0.000465
   2.00411  0.000461
   2.01387  0.000461
   2.02199  0.000464
   2.02641  0.000508
