#    s        Theta   
   0.00000   0.003458 
   0.00436   0.003394 
   0.01215   0.003368 
   0.02140   0.003319 
   0.03175   0.003257 
   0.04275   0.003177 
   0.05413   0.003093 
   0.06571   0.003010 
   0.07741   0.002929 
   0.08916   0.002852 
   0.10095   0.002779 
   0.11276   0.002708 
   0.12460   0.002637 
   0.13646   0.002566 
   0.14835   0.002498 
   0.16026   0.002434 
   0.17218   0.002369 
   0.18412   0.002309 
   0.19607   0.002248 
   0.20803   0.002190 
   0.22000   0.002132 
   0.23198   0.002077 
   0.24397   0.002022 
   0.25596   0.001970 
   0.26795   0.001919 
   0.27993   0.001868 
   0.29192   0.001817 
   0.30391   0.001767 
   0.31590   0.001717 
   0.32788   0.001666 
   0.33984   0.001618 
   0.35180   0.001568 
   0.36374   0.001521 
   0.37566   0.001473 
   0.38758   0.001428 
   0.39949   0.001382 
   0.41140   0.001337 
   0.42331   0.001294 
   0.43521   0.001250 
   0.44710   0.001206 
   0.45898   0.001162 
   0.47084   0.001119 
   0.48269   0.001077 
   0.49453   0.001035 
   0.50635   0.000993 
   0.51817   0.000952 
   0.52996   0.000912 
   0.54175   0.000872 
   0.55353   0.000833 
   0.56529   0.000794 
   0.57704   0.000755 
   0.58878   0.000717 
   0.60050   0.000680 
   0.61220   0.000642 
   0.62388   0.000607 
   0.63554   0.000572 
   0.64718   0.000541 
   0.65881   0.000512 
   0.67042   0.000485 
   0.68202   0.000452 
   0.69359   0.000405 
   0.70515   0.000386 
   0.71667   0.000377 
   0.72817   0.000367 
   0.73964   0.000357 
   0.75108   0.000347 
   0.76249   0.000336 
   0.77385   0.000324 
   0.78517   0.000313 
   0.79643   0.000301 
   0.80763   0.000289 
   0.81878   0.000277 
   0.82987   0.000265 
   0.84089   0.000254 
   0.85185   0.000242 
   0.86273   0.000230 
   0.87352   0.000219 
   0.88421   0.000208 
   0.89479   0.000196 
   0.90524   0.000185 
   0.91555   0.000174 
   0.92566   0.000162 
   0.93552   0.000151 
   0.94510   0.000139 
   0.95431   0.000128 
   0.96307   0.000118 
   0.97123   0.000107 
   0.97864   0.000098 
   0.98520   0.000089 
   0.99084   0.000081 
   0.99564   0.000074 
   0.99969   0.000067 
   1.00312   0.000061 
   1.00607   0.000056 
   1.00862   0.000052 
   1.01086   0.000047 
   1.01285   0.000043 
   1.01465   0.000039 
   1.01626   0.000035 
   1.01771   0.000030 
   1.01903   0.000026 
   1.02031   0.000024 
   1.02158   0.000023 
   1.02288   0.000021 
   1.02422   0.000022 
   1.02567   0.000027 
   1.02724   0.000027 
   1.02897   0.000034 
   1.03090   0.000041 
   1.03310   0.000046 
   1.03564   0.000052 
   1.03863   0.000059 
   1.04220   0.000065 
   1.04653   0.000074 
   1.05188   0.000084 
   1.05845   0.000094 
   1.06636   0.000107 
   1.07544   0.000119 
   1.08545   0.000133 
   1.09604   0.000146 
   1.10701   0.000158 
   1.11816   0.000170 
   1.12949   0.000183 
   1.14077   0.000193 
   1.15198   0.000204 
   1.16321   0.000215 
   1.17466   0.000224 
   1.18629   0.000235 
   1.19802   0.000243 
   1.20980   0.000253 
   1.22157   0.000260 
   1.23336   0.000271 
   1.24520   0.000278 
   1.25703   0.000285 
   1.26889   0.000294 
   1.28080   0.000302 
   1.29270   0.000308 
   1.30459   0.000315 
   1.31649   0.000323 
   1.32840   0.000330 
   1.34029   0.000336 
   1.35215   0.000344 
   1.36399   0.000350 
   1.37579   0.000353 
   1.38761   0.000362 
   1.39950   0.000368 
   1.41141   0.000374 
   1.42335   0.000380 
   1.43529   0.000385 
   1.44721   0.000390 
   1.45912   0.000397 
   1.47104   0.000402 
   1.48294   0.000406 
   1.49483   0.000412 
   1.50674   0.000418 
   1.51868   0.000424 
   1.53063   0.000429 
   1.54254   0.000433 
   1.55442   0.000437 
   1.56630   0.000443 
   1.57823   0.000450 
   1.59017   0.000455 
   1.60210   0.000459 
   1.61401   0.000464 
   1.62590   0.000469 
   1.63783   0.000476 
   1.64977   0.000481 
   1.66168   0.000484 
   1.67353   0.000489 
   1.68540   0.000496 
   1.69727   0.000500 
   1.70915   0.000506 
   1.72106   0.000511 
   1.73297   0.000516 
   1.74487   0.000522 
   1.75679   0.000527 
   1.76870   0.000533 
   1.78059   0.000538 
   1.79247   0.000545 
   1.80437   0.000551 
   1.81624   0.000557 
   1.82815   0.000565 
   1.84006   0.000571 
   1.85196   0.000577 
   1.86383   0.000585 
   1.87572   0.000594 
   1.88761   0.000601 
   1.89950   0.000610 
   1.91139   0.000621 
   1.92329   0.000631 
   1.93518   0.000644 
   1.94706   0.000656 
   1.95885   0.000669 
   1.97049   0.000682 
   1.98202   0.000692 
   1.99334   0.000701 
   2.00411   0.000707 
   2.01387   0.000712 
   2.02199   0.000714 
   2.02641   0.000713 
