#    x        Cp  
   0.95989 -0.17738
   0.95527 -0.17887
   0.94734 -0.18149
   0.93819 -0.18443
   0.92809 -0.18759
   0.91736 -0.19084
   0.90625 -0.19408
   0.89493 -0.19724
   0.88352 -0.20028
   0.87205 -0.20318
   0.86057 -0.20592
   0.84908 -0.20850
   0.83756 -0.21090
   0.82603 -0.21308
   0.81448 -0.21499
   0.80293 -0.21652
   0.79137 -0.21739
   0.77984 -0.21675
   0.76835 -0.21087
   0.75702 -0.20839
   0.74605 -0.24972
   0.73584 -0.33538
   0.72688 -0.47401
   0.71935 -0.66140
   0.71326 -0.98416
   0.70810 -1.45782
   0.70268 -1.45965
   0.69632 -1.16532
   0.68851 -1.05996
   0.67910 -0.99331
   0.66803 -0.93730
   0.65575 -0.90463
   0.64278 -0.88449
   0.62952 -0.87344
   0.61614 -0.86875
   0.60272 -0.86877
   0.58929 -0.87211
   0.57586 -0.87857
   0.56242 -0.88779
   0.54900 -0.89887
   0.53559 -0.91315
   0.52220 -0.92870
   0.50882 -0.94572
   0.49546 -0.96435
   0.48212 -0.98412
   0.46879 -1.00540
   0.45548 -1.02799
   0.44217 -1.05096
   0.42889 -1.07650
   0.41561 -1.10213
   0.40236 -1.13104
   0.38913 -1.16038
   0.37592 -1.19181
   0.36274 -1.22466
   0.34959 -1.25756
   0.33645 -1.29346
   0.32333 -1.33018
   0.31024 -1.36853
   0.29717 -1.41050
   0.28413 -1.45476
   0.27113 -1.50174
   0.25818 -1.55250
   0.24527 -1.60486
   0.23242 -1.66206
   0.21963 -1.72139
   0.20693 -1.78155
   0.19436 -1.84242
   0.18197 -1.94386
   0.16989 -2.38023
   0.15831 -3.19424
   0.14767 -3.20665
   0.13819 -3.20222
   0.13036 -3.35514
   0.12312 -3.06990
   0.11496 -2.55249
   0.10576 -2.43919
   0.09594 -2.29338
   0.08587 -2.20546
   0.07588 -2.13166
   0.06618 -2.07807
   0.05693 -2.03266
   0.04827 -1.98914
   0.04032 -1.94703
   0.03322 -1.90623
   0.02706 -1.86400
   0.02186 -1.81316
   0.01753 -1.76733
   0.01397 -1.72515
   0.01107 -1.70523
   0.00873 -1.66213
   0.00684 -1.56115
   0.00527 -1.44854
   0.00392 -1.36029
   0.00274 -1.34504
   0.00171 -1.41794
   0.00086 -1.51040
   0.00023 -1.56987
  -0.00018 -1.56343
  -0.00036 -1.41062
  -0.00030 -1.07746
   0.00003 -0.54555
   0.00061 -0.01770
   0.00144  0.38845
   0.00250  0.68493
   0.00379  0.87164
   0.00534  0.97253
   0.00712  0.99996
   0.00917  0.97739
   0.01155  0.93898
   0.01431  0.90416
   0.01750  0.87650
   0.02117  0.83850
   0.02540  0.78752
   0.03038  0.75193
   0.03645  0.72226
   0.04383  0.69261
   0.05249  0.66907
   0.06247  0.65434
   0.07342  0.64504
   0.08497  0.64302
   0.09664  0.65098
   0.10800  0.66536
   0.11838  0.67823
   0.12724  0.68433
   0.13450  0.68638
   0.14040  0.68732
   0.14530  0.68720
   0.15053  0.69068
   0.15685  0.69413
   0.16455  0.69726
   0.17396  0.67812
   0.18494  0.64557
   0.19705  0.62187
   0.20991  0.60042
   0.22310  0.58304
   0.23646  0.57094
   0.24994  0.55938
   0.26343  0.54894
   0.27692  0.54067
   0.29043  0.53316
   0.30391  0.52624
   0.31732  0.52198
   0.33073  0.51607
   0.34407  0.51074
   0.35752  0.50859
   0.37101  0.50537
   0.38455  0.50327
   0.39811  0.50128
   0.41163  0.49971
   0.42514  0.49953
   0.43865  0.49944
   0.45213  0.49951
   0.46563  0.50133
   0.47917  0.50375
   0.49273  0.50683
   0.50626  0.50972
   0.51974  0.51363
   0.53323  0.51864
   0.54676  0.52403
   0.56030  0.52900
   0.57382  0.53358
   0.58730  0.54222
   0.60079  0.56449
   0.61421  0.58853
   0.62742  0.61076
   0.64018  0.63438
   0.65218  0.65949
   0.66280  0.68385
   0.67163  0.70402
   0.67871  0.71967
   0.68437  0.72939
   0.68904  0.73529
   0.69301  0.74019
   0.69638  0.74265
   0.69964  0.74312
   0.70353  0.74139
   0.70821  0.73631
   0.71394  0.72249
   0.72113  0.69915
   0.72995  0.66631
   0.74030  0.62798
   0.75176  0.59039
   0.76376  0.55286
   0.77604  0.52006
   0.78846  0.48653
   0.80092  0.45435
   0.81338  0.42480
   0.82586  0.39346
   0.83836  0.36281
   0.85085  0.33084
   0.86337  0.29910
   0.87589  0.26385
   0.88838  0.22791
   0.90075  0.18413
   0.91287  0.14427
   0.92470  0.08794
   0.93604  0.02509
   0.94630 -0.04858
   0.95502 -0.16658
   0.95989 -0.17738
