#    x        Cp  
   0.95989 -0.17738
   0.95527 -0.17887
   0.94734 -0.18149
   0.93819 -0.18443
   0.92809 -0.18759
   0.91736 -0.19084
   0.90625 -0.19408
   0.89493 -0.19724
   0.88352 -0.20028
   0.87205 -0.20318
   0.86057 -0.20592
   0.84908 -0.20850
   0.83756 -0.21090
   0.82603 -0.21308
   0.81448 -0.21499
   0.80293 -0.21652
   0.79137 -0.21739
   0.77984 -0.21675
   0.76835 -0.21087
   0.75702 -0.20839
   0.74605 -0.24972
   0.73584 -0.33538
   0.72688 -0.47401
   0.71935 -0.66140
   0.71326 -0.98416
   0.70810 -1.45782
   0.70268 -1.45965
   0.69632 -1.16532
   0.68851 -1.05996
   0.67910 -0.99331
   0.66803 -0.93730
   0.65575 -0.90463
   0.64278 -0.88449
   0.62952 -0.87344
   0.61614 -0.86875
   0.60272 -0.86877
   0.58929 -0.87211
   0.57586 -0.87857
   0.56242 -0.88779
   0.54900 -0.89887
   0.53559 -0.91315
   0.52220 -0.92870
   0.50882 -0.94572
   0.49546 -0.96435
   0.48212 -0.98412
   0.46879 -1.00540
   0.45548 -1.02799
   0.44217 -1.05096
   0.42889 -1.07650
   0.41561 -1.10213
   0.40236 -1.13104
   0.38913 -1.16038
   0.37592 -1.19181
   0.36274 -1.22466
   0.34959 -1.25756
   0.33645 -1.29346
   0.32333 -1.33018
   0.31024 -1.36853
   0.29717 -1.41050
   0.28413 -1.45476
   0.27113 -1.50174
   0.25818 -1.55250
   0.24527 -1.60486
   0.23242 -1.66206
   0.21963 -1.72139
   0.20693 -1.78155
   0.19436 -1.84242
   0.18197 -1.94386
   0.16989 -2.38023
   0.15831 -3.19424
   0.14767 -3.20665
   0.13819 -3.20222
   0.13036 -3.35514
   0.12312 -3.06990
   0.11496 -2.55249
   0.10576 -2.43919
   0.09594 -2.29338
   0.08587 -2.20546
   0.07588 -2.13166
   0.06618 -2.07807
   0.05693 -2.03266
   0.04827 -1.98914
   0.04032 -1.94703
   0.03322 -1.90623
   0.02706 -1.86400
   0.02186 -1.81316
   0.01753 -1.76733
   0.01397 -1.72515
   0.01107 -1.70523
   0.00873 -1.66213
   0.00684 -1.56115
   0.00527 -1.44854
   0.00392 -1.36029
   0.00274 -1.34504
   0.00171 -1.31794
   0.00086 -1.31040
   0.00023 -1.26987
  -0.00018 -1.
