#    x        Cp  
   1.00000  0.12725
   0.99564  0.11878
   0.98786  0.11629
   0.97862  0.11052
   0.96829  0.10291
   0.95732  0.09237
   0.94599  0.08084
   0.93445  0.06906
   0.92281  0.05725
   0.91111  0.04574
   0.89938  0.03447
   0.88763  0.02320
   0.87586  0.01158
   0.86407 -0.00026
   0.85226 -0.01207
   0.84042 -0.02345
   0.82857 -0.03527
   0.81671 -0.04636
   0.80484 -0.05799
   0.79295 -0.06925
   0.78106 -0.08084
   0.76916 -0.09211
   0.75725 -0.10340
   0.74534 -0.11432
   0.73343 -0.12529
   0.72153 -0.13671
   0.70962 -0.14835
   0.69771 -0.16041
   0.68581 -0.17254
   0.67391 -0.18528
   0.66202 -0.19781
   0.65015 -0.21102
   0.63829 -0.22395
   0.62644 -0.23752
   0.61460 -0.25031
   0.60276 -0.26383
   0.59092 -0.27717
   0.57908 -0.29043
   0.56725 -0.30461
   0.55543 -0.31891
   0.54361 -0.33367
   0.53181 -0.34888
   0.52002 -0.36404
   0.50824 -0.37954
   0.49647 -0.39515
   0.48471 -0.41103
   0.47296 -0.42695
   0.46122 -0.44283
   0.44948 -0.45900
   0.43776 -0.47506
   0.42604 -0.49184
   0.41433 -0.50795
   0.40264 -0.52469
   0.39097 -0.54152
   0.37931 -0.55760
   0.36767 -0.57271
   0.35604 -0.58675
   0.34443 -0.60115
   0.33283 -0.61995
   0.32124 -0.65985
   0.30967 -0.73262
   0.29812 -0.76216
   0.28659 -0.77577
   0.27509 -0.79155
   0.26362 -0.80880
   0.25218 -0.82735
   0.24078 -0.84728
   0.22942 -0.86858
   0.21811 -0.89141
   0.20686 -0.91521
   0.19567 -0.93988
   0.18455 -0.96482
   0.17349 -0.99000
   0.16251 -1.01519
   0.15161 -1.04059
   0.14081 -1.06636
   0.13013 -1.09136
   0.11957 -1.11566
   0.10915 -1.13853
   0.09889 -1.16069
   0.08883 -1.18262
   0.07903 -1.20525
   0.06952 -1.22248
   0.06038 -1.23581
   0.05168 -1.24343
   0.04353 -1.23994
   0.03607 -1.23181
   0.02943 -1.20815
   0.02371 -1.17766
   0.01892 -1.13677
   0.01499 -1.08925
   0.01180 -1.04417
   0.00921 -0.97831
   0.00710 -0.89734
   0.00538 -0.80892
   0.00397 -0.72314
   0.00281 -0.63442
   0.00187 -0.52949
   0.00114 -0.41645
   0.00061 -0.29017
   0.00028 -0.09209
   0.00016  0.19053
