#    x        Cp  
   0.99953  0.15684
   0.99493  0.14692
   0.98686  0.13894
   0.97740  0.12576
   0.96696  0.11118
   0.95592  0.09445
   0.94454  0.07668
   0.93297  0.05850
   0.92130  0.04030
   0.90958  0.02213
   0.89784  0.00383
   0.88608 -0.01495
   0.87431 -0.03488
   0.86253 -0.05571
   0.85076 -0.07748
   0.83906 -0.10092
   0.82758 -0.12771
   0.81662 -0.15392
   0.80652 -0.20296
   0.79715 -0.20987
   0.78678 -0.19421
   0.77561 -0.19302
   0.76396 -0.19522
   0.75210 -0.19945
   0.74016 -0.20558
   0.72819 -0.21285
   0.71621 -0.22129
   0.70423 -0.23029
   0.69225 -0.24031
   0.68027 -0.25096
   0.66829 -0.26223
   0.65633 -0.27382
   0.64438 -0.28587
   0.63244 -0.29853
   0.62051 -0.31090
   0.60859 -0.32362
   0.59667 -0.33637
   0.58475 -0.34935
   0.57283 -0.36314
   0.56091 -0.37692
   0.54901 -0.39187
   0.53712 -0.40678
   0.52523 -0.42196
   0.51336 -0.43785
   0.50150 -0.45374
   0.48964 -0.46995
   0.47780 -0.48599
   0.46596 -0.50293
   0.45413 -0.51943
   0.44231 -0.53682
   0.43050 -0.55361
   0.41869 -0.57145
   0.40689 -0.58971
   0.39512 -0.60806
   0.38336 -0.62657
   0.37161 -0.64444
   0.35988 -0.66211
   0.34816 -0.67918
   0.33645 -0.69440
   0.32476 -0.71027
   0.31307 -0.72643
   0.30141 -0.75441
   0.28977 -0.81482
   0.27816 -0.88810
   0.26657 -0.90167
   0.25501 -0.91896
   0.24348 -0.93822
   0.23199 -0.95925
   0.22055 -0.98214
   0.20916 -1.00654
   0.19783 -1.03229
   0.18657 -1.05918
   0.17537 -1.08686
   0.16424 -1.11513
   0.15319 -1.14427
   0.14223 -1.17364
   0.13138 -1.20331
   0.12066 -1.23265
   0.11008 -1.26164
   0.09964 -1.28991
   0.08941 -1.31938
   0.07942 -1.34808
   0.06974 -1.37669
   0.06043 -1.39972
   0.05159 -1.41707
   0.04334 -1.42735
   0.03584 -1.43036
   0.02924 -1.42285
   0.02351 -1.40268
   0.01880 -1.39877
   0.01505 -1.38134
   0.01198 -1.30600
   0.00061 -0.97541
   0.00041 -0.61551
   0.00042 -0.16987
   0.00062  0.23236
   0.00102  0.55517
   0.00161  0.77563
   0.00241  0.92325
   0.00345  0.99264
   0.00475  0.99179
   0.00637  0.93934
   0.00837  0.87117
   0.01082  0.81718
   0.01379  0.78069
   0.01732  0.72878
   0.02148  0.65467
   0.02646  0.58595
   0.03266  0.53804
   0.04031  0.48668
   0.04915  0.43987
   0.05905  0.40244
   0.06962  0.37029
   0.08064  0.34289
   0.09188  0.32103
   0.10335  0.30411
   0.11491  0.28628
   0.12654  0.27426
   0.13828  0.26317
   0.15008  0.25347
   0.16191  0.24406
   0.17377  0.23600
   0.18566  0.22840
   0.19750  0.21984
   0.20936  0.21592
   0.22128  0.20897
   0.23319  0.20238
   0.24514  0.19842
   0.25714  0.19359
   0.26912  0.18831
   0.28109  0.18380
   0.29308  0.18010
   0.30507  0.17612
   0.31702  0.17170
   0.32893  0.17024
   0.34084  0.16527
   0.35270  0.16004
   0.36463  0.15946
   0.37660  0.15602
   0.38860  0.15332
   0.40062  0.15058
   0.41264  0.14742
   0.42462  0.14428
   0.43660  0.14278
   0.44858  0.13963
   0.46055  0.13646
   0.47251  0.13491
   0.48451  0.13348
   0.49652  0.13248
   0.50852  0.13025
   0.52049  0.12741
   0.53244  0.12573
   0.54441  0.12541
   0.55640  0.12559
   0.56841  0.12404
   0.58041  0.12254
   0.59238  0.12177
   0.60437  0.12166
   0.61638  0.12231
   0.62838  0.12191
   0.64034  0.12068
   0.65226  0.12210
   0.66422  0.12344
   0.67617  0.12384
   0.68814  0.12619
   0.70014  0.12739
   0.71211  0.12984
   0.72410  0.13278
   0.73607  0.13652
   0.74801  0.14076
   0.75985  0.14615
   0.77152  0.15262
   0.78272  0.15940
   0.79308  0.16524
   0.80236  0.17044
   0.81239  0.16706
   0.82346  0.16150
   0.83505  0.15365
   0.84683  0.14746
   0.85870  0.14023
   0.87062  0.13488
   0.88254  0.13053
   0.89448  0.12695
   0.90644  0.12474
   0.91839  0.12232
   0.93030  0.12101
   0.94208  0.12169
   0.95373  0.12315
   0.96521  0.12523
   0.97628  0.13078
   0.98635  0.13883
   0.99485  0.14760
   0.99953  0.15684
