#    x        Cp  
   0.99929  0.21216
   0.99472  0.20139
   0.98666  0.20330
   0.97714  0.19812
   0.96656  0.19457
   0.95534  0.18949
   0.94374  0.18418
   0.93193  0.17948
   0.92001  0.17578
   0.90803  0.17346
   0.89602  0.17193
   0.88400  0.17152
   0.87196  0.17224
   0.85992  0.17400
   0.84795  0.17825
   0.83621  0.18477
   0.82503  0.19473
   0.81494  0.20646
   0.80617  0.22330
   0.79872  0.23588
   0.79056  0.19738
   0.78093  0.17739
   0.77009  0.15093
   0.75851  0.12898
   0.74660  0.10803
   0.73455  0.08907
   0.72245  0.07113
   0.71034  0.05418
   0.69822  0.03730
   0.68611  0.02149
   0.67399  0.00572
   0.66189 -0.00972
   0.64980 -0.02515
   0.63772 -0.04016
   0.62566 -0.05489
   0.61359 -0.06952
   0.60154 -0.08392
   0.58949 -0.09760
   0.57743 -0.11205
   0.56538 -0.12631
   0.55334 -0.14082
   0.54131 -0.15550
   0.52930 -0.16989
   0.51729 -0.18490
   0.50529 -0.19904
   0.49331 -0.21385
   0.48133 -0.22773
   0.46936 -0.24168
   0.45741 -0.25471
   0.44545 -0.26807
   0.43351 -0.27983
   0.42158 -0.29175
   0.40965 -0.30576
   0.39775 -0.32880
   0.38586 -0.37650
   0.37399 -0.43210
   0.36214 -0.44047
   0.35030 -0.45106
   0.33847 -0.46274
   0.32665 -0.47530
   0.31484 -0.48874
   0.30306 -0.50326
   0.29130 -0.51840
   0.27957 -0.53450
   0.26786 -0.55149
   0.25619 -0.56886
   0.24455 -0.58686
   0.23295 -0.60557
   0.22139 -0.62444
   0.20990 -0.64394
   0.19847 -0.66250
   0.18710 -0.68127
   0.17580 -0.69904
   0.16458 -0.71581
   0.15343 -0.73231
   0.14239 -0.74704
   0.13146 -0.76088
   0.12066 -0.77242
   0.11000 -0.78161
   0.09951 -0.78804
   0.08921 -0.79159
   0.07918 -0.79444
   0.06946 -0.78809
   0.06014 -0.77628
   0.05130 -0.75330
   0.04306 -0.71944
   0.03558 -0.67325
   0.02902 -0.61285
   0.02333 -0.53740
   0.01866 -0.47244
   0.01494 -0.40023
   0.01187 -0.28268
   0.00924 -0.13839
   0.00698 -0.01309
   0.00511  0.06272
   0.00362  0.10919
   0.00246  0.18330
   0.00160  0.29173
   0.00098  0.42908
   0.00058  0.60588
   0.00040  0.78876
   0.00043  0.92531
   0.00067  0.99310
   0.00109  0.98985
   0.00171  0.92493
   0.00254  0.80103
   0.00361  0.63143
   0.00494  0.44562
   0.00657  0.30447
   0.00858  0.24427
   0.01103  0.25475
   0.01401  0.28373
   0.01754  0.26135
   0.02171  0.18608
   0.02671  0.12620
   0.03293  0.11173
   0.04063  0.08734
   0.04951  0.06655
   0.05949  0.05183
   0.07015  0.04041
   0.08127  0.02961
   0.09263  0.02309
   0.10421  0.01901
   0.11589  0.01160
   0.12765  0.00978
   0.13952  0.00738
   0.15144  0.00440
   0.16340  0.00186
   0.17539 -0.00020
   0.18742 -0.00317
   0.19937 -0.00726
   0.21137 -0.00665
   0.22342 -0.01094
   0.23546 -0.01395
   0.24756 -0.01464
   0.25969 -0.01719
   0.27180 -0.02032
   0.28391 -0.02271
   0.29603 -0.02490
   0.30815 -0.02710
   0.32022 -0.02991
   0.33226 -0.03000
   0.34429 -0.03615
   0.35627 -0.03801
   0.36836 -0.03895
   0.38047 -0.04185
   0.39261 -0.04424
   0.40478 -0.04700
   0.41691 -0.05064
   0.42903 -0.05296
   0.44114 -0.05517
   0.45325 -0.05950
   0.46534 -0.06278
   0.47746 -0.06478
   0.48960 -0.06694
   0.50174 -0.06887
   0.51386 -0.07341
   0.52595 -0.07761
   0.53804 -0.07999
   0.55015 -0.08128
   0.56229 -0.08416
   0.57443 -0.08807
   0.58655 -0.09213
   0.59866 -0.09524
   0.61079 -0.09780
   0.62294 -0.10084
   0.63506 -0.10658
   0.64711 -0.11097
   0.65919 -0.11298
   0.67128 -0.11865
   0.68336 -0.12306
   0.69550 -0.12822
   0.70761 -0.13519
   0.71972 -0.14168
   0.73183 -0.14961
   0.74391 -0.15964
   0.75589 -0.17198
   0.76765 -0.18533
   0.77893 -0.20793
   0.78920 -0.22985
   0.79818 -0.31256
   0.80598 -0.29019
   0.81476 -0.20388
   0.82483 -0.17852
   0.83589 -0.16225
   0.84743 -0.15577
   0.85921 -0.15159
   0.87110 -0.14887
   0.88300 -0.14692
   0.89492 -0.14535
   0.90685 -0.14383
   0.91879 -0.14221
   0.93067 -0.14029
   0.94240 -0.13790
   0.95398 -0.13463
   0.96539 -0.00975
   0.97638  0.09834
   0.98634  0.14663
   0.99470  0.17949
   0.99929  0.21216
