#    x        Cp  
   0.99929  0.21216
   0.99472  0.20139
   0.98666  0.20330
   0.97714  0.19812
   0.96656  0.19457
   0.95534  0.18949
   0.94374  0.18418
   0.93193  0.17948
   0.92001  0.17578
   0.90803  0.17346
   0.89602  0.17193
   0.88400  0.17152
   0.87196  0.17224
   0.85992  0.17400
   0.84795  0.17825
   0.83621  0.18477
   0.82503  0.19473
   0.81494  0.20646
   0.80617  0.22330
   0.79872  0.23588
   0.79056  0.19738
   0.78093  0.17739
   0.77009  0.15093
   0.75851  0.12898
   0.74660  0.10803
   0.73455  0.08907
   0.72245  0.07113
   0.71034  0.05418
   0.69822  0.03730
   0.68611  0.02149
   0.67399  0.00572
   0.66189 -0.00972
   0.64980 -0.02515
   0.63772 -0.04016
   0.62566 -0.05489
   0.61359 -0.06952
   0.60154 -0.08392
   0.58949 -0.09760
   0.57743 -0.11205
   0.56538 -0.12631
   0.55334 -0.14082
   0.54131 -0.15550
   0.52930 -0.16989
   0.51729 -0.18490
   0.50529 -0.19904
   0.49331 -0.21385
   0.48133 -0.22773
   0.46936 -0.24168
   0.45741 -0.25471
   0.44545 -0.26807
   0.43351 -0.27983
   0.42158 -0.29175
   0.40965 -0.30576
   0.39775 -0.32880
   0.38586 -0.37650
   0.37399 -0.43210
   0.36214 -0.44047
   0.35030 -0.45106
   0.33847 -0.46274
   0.32665 -0.47530
   0.31484 -0.48874
   0.30306 -0.50326
   0.29130 -0.51840
   0.27957 -0.53450
   0.26786 -0.55149
   0.25619 -0.56886
   0.24455 -0.58686
   0.23295 -0.60557
   0.22139 -0.62444
   0.20990 -0.64394
   0.19847 -0.66250
   0.18710 -0.68127
   0.17580 -0.69904
   0.16458 -0.71581
   0.15343 -0.73231
   0.14239 -0.74704
   0.13146 -0.76088
   0.12066 -0.77242
   0.11000 -0.78161
   0.09951 -0.78804
   0.08921 -0.79159
   0.07918 -0.79444
   0.06946 -0.78809
   0.06014 -0.77628
   0.05130 -0.75330
   0.04306 -0.71944
   0.03558 -0.67325
   0.02902 -0.61285
   0.02333 -0.53740
   0.01866 -0.47244
   0.01494 -0.40023
   0.01187 -0.28268
   0.00924 -0.13839
   0.00698 -0.01309
   0.00511  0.06272
   0.00362  0.10919
   0.00246  0.18330
   0.00160  0.29173
   0.00098  0.42908
   0.00058  0.60588
   0.00040  0.78876
 
