#    x        Cp  
   0.99852  0.15657
   0.99388  0.14663
   0.98576  0.13555
   0.97626  0.12012
   0.96578  0.10245
   0.95474  0.08255
   0.94336  0.06089
   0.93181  0.03836
   0.92017  0.01517
   0.90848 -0.00900
   0.89677 -0.03376
   0.88506 -0.05960
   0.87333 -0.08772
   0.86161 -0.11764
   0.84993 -0.15093
   0.83840 -0.18715
   0.82730 -0.23032
   0.81709 -0.27535
   0.80806 -0.34964
   0.80023 -0.41679
   0.79145 -0.33246
   0.78131 -0.32241
   0.77018 -0.30756
   0.75851 -0.30291
   0.74659 -0.30167
   0.73458 -0.30341
   0.72254 -0.30677
   0.71048 -0.31283
   0.69843 -0.31974
   0.68637 -0.32809
   0.67431 -0.33709
   0.66227 -0.34705
   0.65024 -0.35777
   0.63822 -0.36919
   0.62621 -0.38088
   0.61421 -0.39259
   0.60221 -0.40511
   0.59021 -0.41721
   0.57821 -0.43053
   0.56622 -0.44395
   0.55424 -0.45867
   0.54226 -0.47318
   0.53030 -0.48866
   0.51834 -0.50463
   0.50640 -0.52037
   0.49446 -0.53724
   0.48254 -0.55375
   0.47062 -0.57114
   0.45871 -0.58822
   0.44681 -0.60614
   0.43491 -0.62413
   0.42302 -0.64299
   0.41115 -0.66192
   0.39929 -0.68197
   0.38744 -0.70206
   0.37561 -0.72249
   0.36380 -0.74246
   0.35200 -0.76293
   0.34021 -0.78246
   0.32843 -0.80292
   0.31666 -0.82223
   0.30491 -0.84252
   0.29319 -0.86230
   0.28149 -0.88079
   0.26981 -0.90507
   0.25816 -0.95095
   0.24655 -1.03815
   0.23497 -1.07605
   0.22343 -1.09565
   0.21195 -1.11865
   0.20053 -1.14381
   0.18916 -1.17095
   0.17787 -1.20011
   0.16664 -1.23038
   0.15549 -1.26199
   0.14443 -1.29533
   0.13348 -1.32964
   0.12265 -1.36439
   0.11195 -1.39911
   0.10141 -1.43468
   0.09105 -1.47119
   0.08094 -1.51059
   0.07113 -1.54899
   0.06168 -1.58444
   0.05269 -1.61482
   0.04428 -1.64215
   0.03660 -1.66403
   0.02984 -1.67315
   0.02397 -1.67516
   0.01912 -1.69123
   0.01528 -1.70029
   0.01214 -1.64103
   0.00944 -1.52875
   0.00714 -1.46873
   0.00524 -1.52754
   0.00372 -1.65306
   0.00255 -1.76907
   0.00166 -1.82011
   0.00103 -1.78650
   0.00061 -1.59251
   0.00041 -1.22885
   0.00042 -0.68058
   0.00063 -0.16934
   0.00103  0.24616
   0.00164  0.56525
   0.00246  0.78451
   0.00352  0.93223
   0.00487  0.99484
   0.00654  0.99017
   0.00861  0.94760
   0.01116  0.90082
   0.01424  0.86007
   0.01790  0.80791
   0.02223  0.73799
   0.02745  0.67305
   0.03400  0.62222
   0.04199  0.56550
   0.05114  0.51747
   0.06130  0.47644
   0.07207  0.44274
   0.08324  0.41221
   0.09462  0.38916
   0.10620  0.36938
   0.11785  0.35045
   0.12959  0.33718
   0.14143  0.32453
   0.15332  0.31317
   0.16524  0.30243
   0.17718  0.29379
   0.18915  0.28437
   0.20105  0.27624
   0.21302  0.27094
   0.22502  0.26248
   0.23701  0.25646
   0.24905  0.25183
   0.26112  0.24590
   0.27318  0.24075
   0.28523  0.23566
   0.29730  0.23163
   0.30936  0.22725
   0.32137  0.22337
   0.33336  0.22127
   0.34533  0.21459
   0.35727  0.21192
   0.36931  0.21006
   0.38136  0.20651
   0.39345  0.20411
   0.40555  0.20099
   0.41763  0.19776
   0.42969  0.19543
   0.44175  0.19380
   0.45380  0.19043
   0.46583  0.18807
   0.47789  0.18713
   0.48998  0.18591
   0.50206  0.18516
   0.51413  0.18276
   0.52616  0.18082
   0.53819  0.18040
   0.55025  0.18104
   0.56233  0.18095
   0.57441  0.18011
   0.58648  0.17964
   0.59853  0.18025
   0.61060  0.18155
   0.62269  0.18298
   0.63475  0.18320
   0.64675  0.18465
   0.65878  0.18837
   0.67081  0.19043
   0.68284  0.19432
   0.69491  0.19856
   0.70697  0.20327
   0.71902  0.20915
   0.73107  0.21566
   0.74307  0.22239
   0.75493  0.22862
   0.76651  0.23354
   0.77745  0.23703
   0.78724  0.23955
   0.79566  0.24095
   0.80306  0.24262
   0.81178  0.24547
   0.82201  0.24791
   0.83325  0.24532
   0.84493  0.23565
   0.85680  0.22147
   0.86876  0.20729
   0.88074  0.19446
   0.89275  0.18371
   0.90476  0.17355
   0.91678  0.16458
   0.92876  0.15631
   0.94060  0.14912
   0.95231  0.14392
   0.96386  0.13701
   0.97502  0.13367
   0.98519  0.13388
   0.99379  0.13767
   0.99852  0.15657
