#    x        Cp  
   0.99852  0.15657
   0.99388  0.14663
   0.98576  0.13555
   0.97626  0.12012
   0.96578  0.10245
   0.95474  0.08255
   0.94336  0.06089
   0.93181  0.03836
   0.92017  0.01517
   0.90848 -0.00900
   0.89677 -0.03376
   0.88506 -0.05960
   0.87333 -0.08772
   0.86161 -0.11764
   0.84993 -0.15093
   0.83840 -0.18715
   0.82730 -0.23032
   0.81709 -0.27535
   0.80806 -0.34964
   0.80023 -0.41679
   0.79145 -0.33246
   0.78131 -0.32241
   0.77018 -0.30756
   0.75851 -0.30291
   0.74659 -0.30167
   0.73458 -0.30341
   0.72254 -0.30677
   0.71048 -0.31283
   0.69843 -0.31974
   0.68637 -0.32809
   0.67431 -0.33709
   0.66227 -0.34705
   0.65024 -0.35777
   0.63822 -0.36919
   0.62621 -0.38088
   0.61421 -0.39259
   0.60221 -0.40511
   0.59021 -0.41721
   0.57821 -0.43053
   0.56622 -0.44395
   0.55424 -0.45867
   0.54226 -0.47318
   0.53030 -0.48866
   0.51834 -0.50463
   0.50640 -0.52037
   0.49446 -0.53724
   0.48254 -0.55375
   0.47062 -0.57114
   0.45871 -0.58822
   0.44681 -0.60614
   0.43491 -0.62413
   0.42302 -0.64299
   0.41115 -0.66192
   0.39929 -0.68197
   0.38744 -0.70206
   0.37561 -0.72249
   0.36380 -0.74246
   0.35200 -0.76293
   0.34021 -0.78246
   0.32843 -0.80292
   0.31666 -0.82223
   0.30491 -0.84252
   0.29319 -0.86230
   0.28149 -0.88079
   0.26981 -0.90507
   0.25816 -0.95095
   0.24655 -1.03815
   0.23497 -1.07605
   0.22343 -1.09565
   0.21195 -1.11865
   0.20053 -1.14381
   0.18916 -1.17095
   0.17787 -1.20011
   0.16664 -1.23038
   0.15549 -1.26199
   0.14443 -1.29533
   0.13348 -1.32964
   0.12265 -1.36439
   0.11195 -1.39911
   0.10141 -1.43468
   0.09105 -1.47119
   0.08094 -1.51059
   0.07113 -1.54899
   0.06168 -1.58444
   0.05269 -1.61482
   0.0489104  -1.63866  
   0.0305512  -1.66292  
   0.0236050  -1.66637  
   0.0176540  -1.63159  
   0.00971933  -1.58636  
   0.00675042  -1.48554  
   0.00428010  -1.35343  
   0.00230211  -1.27000  
   0.00230211  -1.27000 
   0   -1

