#    x        Cp  
   0.99002  0.15882
   0.98518  0.15126
   0.97679  0.14557
   0.96704  0.13616
   0.95627  0.12573
   0.94485  0.11373
   0.93304  0.10074
   0.92102  0.08793
   0.90888  0.07500
   0.89667  0.06250
   0.88444  0.05007
   0.87219  0.03756
   0.85990  0.02492
   0.84760  0.01217
   0.83526 -0.00042
   0.82291 -0.01296
   0.81055 -0.02528
   0.79817 -0.03769
   0.78579 -0.05002
   0.77339 -0.06226
   0.76099 -0.07463
   0.74858 -0.08689
   0.73617 -0.09870
   0.72375 -0.11095
   0.71134 -0.12313
   0.69893 -0.13565
   0.68652 -0.14864
   0.67412 -0.16183
   0.66172 -0.17518
   0.64934 -0.18892
   0.63696 -0.20299
   0.62460 -0.21723
   0.61224 -0.23133
   0.59990 -0.24559
   0.58755 -0.26008
   0.57521 -0.27446
   0.56287 -0.28961
   0.55054 -0.30493
   0.53821 -0.32093
   0.52590 -0.33727
   0.51361 -0.35374
   0.50132 -0.37098
   0.48904 -0.38802
   0.47678 -0.40560
   0.46453 -0.42357
   0.45228 -0.44148
   0.44004 -0.45989
   0.42782 -0.47928
   0.41560 -0.49806
   0.40340 -0.51828
   0.39120 -0.53871
   0.37903 -0.56031
   0.36688 -0.58156
   0.35475 -0.60370
   0.34263 -0.62557
   0.33052 -0.64798
   0.31843 -0.67124
   0.30635 -0.69523
   0.29429 -0.72020
   0.28226 -0.74639
   0.27026 -0.77362
   0.25828 -0.80113
   0.24634 -0.83088
   0.23444 -0.86001
   0.22258 -0.88970
   0.21078 -0.91958
   0.19906 -0.94577
   0.18744 -0.97502
   0.17597 -1.12695
   0.16478 -1.61772
   0.15407 -1.67846
   0.14425 -1.69339
   0.13561 -1.71475
   0.12847 -2.01337
   0.12143 -1.55863
   0.11331 -1.26447
   0.10436 -1.15378
   0.09491 -1.02772
   0.08533 -0.93168
   0.07584 -0.84004
   0.06660 -0.75613
   0.05772 -0.67010
   0.04929 -0.57949
   0.04141 -0.48102
   0.03421 -0.37548
   0.02781 -0.26518
   0.02232 -0.14711
   0.01769 -0.02260
   0.01388  0.09406
   0.01085  0.19800
   0.00844  0.30926
   0.00649  0.43085
   0.00487  0.54956
   0.00349  0.65020
   0.00232  0.73433
   0.00135  0.80342
   0.00060  0.87526
   0.00007  0.94119
  -0.00025  0.98977
  -0.00036  0.99617
  -0.00027  0.93840
   0.00004  0.81362
   0.00058  0.63629
   0.00131  0.42311
   0.00226  0.18131
   0.00343 -0.09115
   0.00482 -0.36990
   0.00647 -0.58750
   0.00838 -0.60500
   0.01061 -0.48415
   0.01324 -0.39755
   0.01632 -0.35412
   0.01990 -0.31828
   0.02406 -0.27668
   0.02898 -0.22648
   0.03497 -0.09856
   0.04230 -0.05598
   0.05083 -0.02532
   0.06049  0.01658
   0.07095  0.06179
   0.08189  0.10817
   0.09298  0.15686
   0.10398  0.20952
   0.11444  0.26190
   0.12376  0.31550
   0.13157  0.37544
   0.13793  0.41246
   0.14305  0.46324
   0.14775  0.45236
   0.15333  0.41347
   0.16012  0.38803
   0.16843  0.34020
   0.17828  0.30676
   0.18925  0.27312
   0.20096  0.25216
   0.21305  0.22880
   0.22528  0.21105
   0.23763  0.19938
   0.25003  0.18623
   0.26242  0.17444
   0.27482  0.16575
   0.28723  0.15737
   0.29963  0.14920
   0.31198  0.14335
   0.32430  0.13863
   0.33660  0.12778
   0.34889  0.12501
   0.36127  0.12099
   0.37367  0.11540
   0.38611  0.11161
   0.39856  0.10636
   0.41098  0.10118
   0.42338  0.09852
   0.43579  0.09475
   0.44818  0.08888
   0.46057  0.08638
   0.47299  0.08425
   0.48544  0.08190
   0.49788  0.07865
   0.51029  0.07365
   0.52267  0.07070
   0.53506  0.07001
   0.54749  0.06870
   0.55992  0.06562
   0.57235  0.06259
   0.58474  0.06029
   0.59716  0.05945
   0.60959  0.05848
   0.62201  0.05527
   0.63436  0.05210
   0.64671  0.05366
   0.65909  0.05136
   0.67145  0.05011
   0.68386  0.04986
   0.69627  0.04787
   0.70868  0.04762
   0.72109  0.04672
   0.73350  0.04614
   0.74588  0.04506
   0.75826  0.04660
   0.77064  0.04581
   0.78296  0.04653
   0.79533  0.04746
   0.80771  0.04743
   0.82008  0.04791
   0.83242  0.04959
   0.84475  0.05107
   0.85709  0.05250
   0.86942  0.05410
   0.88176  0.05760
   0.89411  0.06004
   0.90647  0.06346
   0.91878  0.06739
   0.93096  0.07183
   0.94295  0.07956
   0.95473  0.08447
   0.96605  0.09497
   0.97635  0.10928
   0.98513  0.12739
   0.99002  0.15882
