#    x        Cp  
   0.99002  0.15882
   0.98518  0.15126
   0.97679  0.14557
   0.96704  0.13616
   0.95627  0.12573
   0.94485  0.11373
   0.93304  0.10074
   0.92102  0.08793
   0.90888  0.07500
   0.89667  0.06250
   0.88444  0.05007
   0.87219  0.03756
   0.85990  0.02492
   0.84760  0.01217
   0.83526 -0.00042
   0.82291 -0.01296
   0.81055 -0.02528
   0.79817 -0.03769
   0.78579 -0.05002
   0.77339 -0.06226
   0.76099 -0.07463
   0.74858 -0.08689
   0.73617 -0.09870
   0.72375 -0.11095
   0.71134 -0.12313
   0.69893 -0.13565
   0.68652 -0.14864
   0.67412 -0.16183
   0.66172 -0.17518
   0.64934 -0.18892
   0.63696 -0.20299
   0.62460 -0.21723
   0.61224 -0.23133
   0.59990 -0.24559
   0.58755 -0.26008
   0.57521 -0.27446
   0.56287 -0.28961
   0.55054 -0.30493
   0.53821 -0.32093
   0.52590 -0.33727
   0.51361 -0.35374
   0.50132 -0.37098
   0.48904 -0.38802
   0.47678 -0.40560
   0.46453 -0.42357
   0.45228 -0.44148
   0.44004 -0.45989
   0.42782 -0.47928
   0.41560 -0.49806
   0.40340 -0.51828
   0.39120 -0.53871
   0.37903 -0.56031
   0.36688 -0.58156
   0.35475 -0.60370
   0.34263 -0.62557
   0.33052 -0.64798
   0.31843 -0.67124
   0.30635 -0.69523
   0.29429 -0.72020
   0.28226 -0.74639
   0.27026 -0.77362
   0.25828 -0.80113
   0.24634 -0.83088
   0.23444 -0.86001
   0.22258 -0.88970
   0.21078 -0.91958
   0.19906 -0.94577
   0.18744 -0.97502
   0.17597 -1.12695
   0.16478 -1.61772
   0.15407 -1.67846
   0.14425 -1.69339
   0.13561 -1.71475
   0.12847 -2.01337
   0.12143 -1.55863
   0.11331 -1.26447
   0.10436 -1.15378
   0.09491 -1.02772
   0.08533 -0.93168
   0.07584 -0.84004
   0.06660 -0.75613
   0.05772 -0.67010
   0.04929 -0.57949
   0.04141 -0.48102
   0.03421 -0.37548
   0.02781 -0.26518
   0.02232 -0.14711
   0.01769 -0.02260
   0.01388  0.09406
   0.01085  0.19800
   0.00844  0.30926
   0.00649  0.43085
   0.00487  0.54956
   0.00349  0.65020
   0.00232  0.73433
   0.00135  0.80342
   0.00060  0.87526
   0.00007  0.94119
  -0.00025  0.98977
