#    x        Cp  
   0.99992  0.14128
   0.99535  0.12056
   0.98731  0.12794
   0.97785  0.12536
   0.96735  0.12240
   0.95623  0.11716
   0.94474  0.11082
   0.93304  0.10404
   0.92124  0.09799
   0.90938  0.09202
   0.89748  0.08694
   0.88557  0.08188
   0.87365  0.07709
   0.86170  0.07328
   0.84976  0.07028
   0.83787  0.06901
   0.82617  0.07007
   0.81495  0.07383
   0.80474  0.08760
   0.79561  0.07370
   0.78558  0.05121
   0.77463  0.03042
   0.76307  0.01249
   0.75122 -0.00445
   0.73927 -0.02008
   0.72728 -0.03516
   0.71527 -0.04951
   0.70326 -0.06409
   0.69125 -0.07831
   0.67924 -0.09241
   0.66724 -0.10668
   0.65525 -0.12104
   0.64327 -0.13513
   0.63131 -0.14931
   0.61935 -0.16321
   0.60740 -0.17733
   0.59546 -0.19098
   0.58350 -0.20469
   0.57156 -0.21919
   0.55962 -0.23324
   0.54769 -0.24818
   0.53577 -0.26324
   0.52386 -0.27801
   0.51197 -0.29370
   0.50008 -0.30876
   0.48820 -0.32393
   0.47633 -0.33940
   0.46448 -0.35444
   0.45262 -0.36970
   0.44078 -0.38497
   0.42894 -0.40008
   0.41711 -0.41425
   0.40530 -0.42953
   0.39350 -0.44324
   0.38172 -0.45637
   0.36996 -0.47145
   0.35821 -0.49466
   0.34648 -0.54567
   0.33475 -0.60695
   0.32304 -0.61665
   0.31134 -0.62943
   0.29966 -0.64349
   0.28801 -0.65874
   0.27638 -0.67527
   0.26478 -0.69279
   0.25321 -0.71134
   0.24167 -0.73112
   0.23018 -0.75159
   0.21873 -0.77343
   0.20735 -0.79535
   0.19602 -0.81814
   0.18476 -0.84055
   0.17356 -0.86239
   0.16244 -0.88376
   0.15140 -0.90583
   0.14046 -0.92638
   0.12963 -0.94663
   0.11894 -0.96523
   0.10838 -0.98104
   0.09799 -0.99740
   0.08780 -1.01021
   0.07787 -1.02279
   0.06827 -1.02892
   0.05905 -1.03151
   0.05033 -1.02175
   0.04220 -1.00337
   0.03486 -0.97813
   0.02842 -0.93259
   0.02285 -0.87770
   0.01829 -0.83715
   0.01466 -0.78102
   0.01166 -0.67082
   0.00906 -0.53135
   0.00685 -0.42046
   0.00501 -0.38020
   0.00355 -0.37099
   0.00242 -0.34362
   0.00158 -0.25981
   0.00097 -0.11638
   0.00058  0.08144
   0.00040  0.35837
   0.00043  0.64097
   0.00066  0.83207
   0.00108  0.94891
   0.00169  0.99893
   0.00252  0.97962
   0.00357  0.90328
   0.00488  0.77553
   0.00651  0.65509
   0.00850  0.57628
   0.01094  0.53939
   0.01389  0.53289
   0.01739  0.48810
   0.02152  0.41292
   0.02645  0.34336
   0.03259  0.31197
   0.04018  0.27274
   0.04896  0.23782
   0.05881  0.21295
   0.06936  0.18997
   0.08038  0.17183
   0.09162  0.15761
   0.10309  0.14773
   0.11467  0.13440
   0.12631  0.12827
   0.13808  0.12136
   0.14989  0.11528
   0.16175  0.10945
   0.17363  0.10486
   0.18555  0.09979
   0.19741  0.09296
   0.20929  0.09250
   0.22124  0.08657
   0.23317  0.08145
   0.24514  0.07942
   0.25717  0.07635
   0.26918  0.07164
   0.28118  0.06875
   0.29319  0.06566
   0.30521  0.06255
   0.31719  0.05871
   0.32912  0.05824
   0.34106  0.05325
   0.35293  0.04876
   0.36489  0.04859
   0.37689  0.04554
   0.38892  0.04261
   0.40097  0.04039
   0.41301  0.03642
   0.42502  0.03369
   0.43703  0.03206
   0.44904  0.02878
   0.46102  0.02478
   0.47302  0.02301
   0.48505  0.02121
   0.49708  0.01989
   0.50911  0.01676
   0.52111  0.01280
   0.53308  0.01032
   0.54507  0.00939
   0.55710  0.00821
   0.56914  0.00551
   0.58116  0.00266
   0.59316  0.00008
   0.60517 -0.00136
   0.61721 -0.00253
   0.62924 -0.00544
   0.64122 -0.00909
   0.65317 -0.01008
   0.66516 -0.01139
   0.67713 -0.01473
   0.68913 -0.01601
   0.70116 -0.01925
   0.71316 -0.02191
   0.72518 -0.02493
   0.73718 -0.02840
   0.74915 -0.03272
   0.76103 -0.03782
   0.77276 -0.04301
   0.78405 -0.05426
   0.79457 -0.06723
   0.80405 -0.08727
   0.81398 -0.04313
   0.82487 -0.02921
   0.83635 -0.01480
   0.84807 -0.00446
   0.85990  0.00247
   0.87180  0.00738
   0.88370  0.01134
   0.89562  0.01437
   0.90755  0.01662
   0.91947  0.01829
   0.93133  0.01954
   0.94305  0.02042
   0.95462  0.02112
   0.96602  0.02173
   0.97698  0.02225
   0.98694  0.02274
   0.99531  0.10402
   0.99992  0.14128
