  
       XFOIL         Version 6.96
  
 Calculated polar for: PW106                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.0291   0.00810   0.00224  -0.0391   0.7576   0.0194
  -2.000   0.0785   0.00775   0.00139  -0.0378   0.6537   0.0222
  -1.000   0.1853   0.00676   0.00099  -0.0370   0.5804   0.2931
   0.000   0.2850   0.00555   0.00106  -0.0346   0.5165   0.8094
   1.000   0.4284   0.00549   0.00115  -0.0411   0.4502   1.0000
   1.500   0.4809   0.00573   0.00123  -0.0404   0.4206   1.0000
   2.000   0.5336   0.00599   0.00135  -0.0396   0.3902   1.0000
   2.500   0.5863   0.00628   0.00151  -0.0390   0.3600   1.0000
   3.000   0.6394   0.00658   0.00170  -0.0383   0.3320   1.0000
   3.500   0.6924   0.00690   0.00192  -0.0378   0.3053   1.0000
   4.000   0.7454   0.00726   0.00218  -0.0372   0.2789   1.0000
   4.500   0.7981   0.00767   0.00248  -0.0367   0.2487   1.0000
   5.000   0.8503   0.00815   0.00283  -0.0361   0.2164   1.0000
   5.500   0.9018   0.00871   0.00325  -0.0355   0.1805   1.0000
   6.000   0.9525   0.00938   0.00376  -0.0348   0.1437   1.0000
   6.500   1.0016   0.01024   0.00441  -0.0340   0.1015   1.0000
   7.000   1.0472   0.01156   0.00539  -0.0328   0.0457   1.0000
   7.500   1.0904   0.01316   0.00677  -0.0311   0.0106   1.0000
   8.000   1.1368   0.01426   0.00797  -0.0298   0.0088   1.0000
   8.500   1.1824   0.01534   0.00918  -0.0284   0.0080   1.0000
   9.000   1.2253   0.01661   0.01058  -0.0268   0.0074   1.0000
   9.500   1.2600   0.01861   0.01276  -0.0241   0.0067   1.0000
  10.000   1.2920   0.02055   0.01489  -0.0213   0.0064   1.0000
  10.500   1.3215   0.02240   0.01690  -0.0181   0.0061   1.0000
  11.000   1.3384   0.02455   0.01924  -0.0134   0.0060   1.0000
  11.500   1.3428   0.02720   0.02207  -0.0079   0.0058   1.0000
  12.000   1.3433   0.03075   0.02582  -0.0039   0.0057   1.0000
  12.500   1.3432   0.03513   0.03040  -0.0021   0.0055   1.0000
  13.000   1.3389   0.04108   0.03657  -0.0025   0.0055   1.0000
  13.500   1.3290   0.04857   0.04431  -0.0045   0.0055   1.0000
  14.000   1.3180   0.05686   0.05281  -0.0077   0.0053   1.0000
  14.500   1.3022   0.06621   0.06239  -0.0116   0.0052   1.0000
  15.000   1.2836   0.07647   0.07287  -0.0161   0.0053   1.0000
