  
       XFOIL         Version 6.96
  
 Calculated polar for: PW106                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2676   0.00971   0.00328   0.0224   0.6542   0.0180
  -1.000  -0.1592   0.00870   0.00205   0.0236   0.6015   0.0200
   0.000  -0.0489   0.00818   0.00132   0.0245   0.5500   0.0254
   3.000   0.3055   0.00620   0.00173   0.0218   0.3910   0.9833
   4.000   0.4205   0.00655   0.00186   0.0208   0.3363   0.9876
   4.500   0.4822   0.00676   0.00197   0.0194   0.3109   0.9887
   5.000   0.5433   0.00699   0.00213   0.0180   0.2854   0.9902
   5.500   0.6039   0.00725   0.00233   0.0167   0.2605   0.9922
   6.000   0.6634   0.00762   0.00259   0.0155   0.2303   0.9944
   6.500   0.7235   0.00803   0.00289   0.0141   0.1968   0.9961
   7.000   0.7844   0.00854   0.00327   0.0123   0.1605   0.9978
   7.500   0.8446   0.00924   0.00379   0.0106   0.1194   0.9995
   8.000   0.8935   0.01014   0.00448   0.0111   0.0761   1.0000
   8.500   0.9317   0.01189   0.00583   0.0131   0.0140   1.0000
   9.000   0.9732   0.01281   0.00680   0.0152   0.0101   1.0000
   9.500   1.0137   0.01394   0.00805   0.0173   0.0087   1.0000
  10.000   1.0548   0.01504   0.00928   0.0193   0.0081   1.0000
  10.500   1.0942   0.01639   0.01077   0.0211   0.0075   1.0000
  11.000   1.1293   0.01817   0.01270   0.0232   0.0070   1.0000
  11.500   1.1539   0.02082   0.01557   0.0259   0.0065   1.0000
  12.000   1.1808   0.02288   0.01780   0.0282   0.0063   1.0000
  12.500   1.1912   0.02551   0.02063   0.0315   0.0061   1.0000
  13.000   1.1936   0.02943   0.02473   0.0325   0.0059   1.0000
  13.500   1.1935   0.03475   0.03025   0.0315   0.0058   1.0000
  14.000   1.1883   0.04125   0.03696   0.0294   0.0059   1.0000
  14.500   1.1831   0.04817   0.04407   0.0267   0.0056   1.0000
  15.000   1.1729   0.05600   0.05209   0.0234   0.0055   1.0000
