#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.00000  0.000000  0.000000  0.000000     1.000
   0.00345  0.99655  0.00004  0.00000  0.000000  0.000000  0.000000     1.000
   0.01363  0.98638  0.00042  0.00000  0.000000  0.000000  0.000000     1.000
   0.03013  0.96991  0.00142  0.00000  0.000000  0.000000  0.000000     1.000
   0.05250  0.94761  0.00320  0.00000  0.000000  0.000000  0.000000     1.000
   0.08025  0.91998  0.00576  0.00000  0.000000  0.000000  0.000000     1.000
   0.11287  0.88752  0.00905  0.00000  0.000000  0.000000  0.000000     1.000
   0.14988  0.85073  0.01305  0.00000  0.000000  0.000000  0.000000     1.000
   0.19069  0.81018  0.01764  0.00000  0.000000  0.000000  0.000000     1.000
   0.23476  0.76640  0.02270  0.00000  0.000000  0.000000  0.000000     1.000
   0.28151  0.71996  0.02810  0.00000  0.000000  0.000000  0.000000     1.000
   0.33036  0.67144  0.03376  0.00000  0.000000  0.000000  0.000000     1.000
   0.38072  0.62141  0.03951  0.00000  0.000000  0.000000  0.000000     1.000
   0.43196  0.57048  0.04512  0.00000  0.000000  0.000000  0.000000     1.000
   0.48351  0.51920  0.05044  0.00000  0.000000  0.000000  0.000000     1.000
   0.53482  0.46812  0.05524  0.00000  0.000000  0.000000  0.000000     1.000
   0.58534  0.41776  0.05931  0.00000  0.000000  0.000000  0.000000     1.000
   0.63461  0.36860  0.06248  0.00000  0.000000  0.000000  0.000000     1.000
   0.68220  0.32105  0.06456  0.00000  0.000000  0.000000  0.000000     1.000
   0.72770  0.27556  0.06546  0.00000  0.000000  0.000000  0.000000     1.000
   0.77070  0.23256  0.06509  0.00000  0.000000  0.000000  0.000000     1.000
   0.81086  0.19244  0.06338  0.00000  0.000000  0.000000  0.000000     1.000
   0.84793  0.15550  0.06026  0.00000  0.000000  0.000000  0.000000     1.000
   0.88173  0.12200  0.05578  0.00000  0.000000  0.000000  0.000000     1.000
   0.91208  0.09220  0.05004  0.00000  0.000000  0.000000  0.000000     1.000
   0.93886  0.06630  0.04322  0.00000  0.000000  0.000000  0.000000     1.000
   0.96201  0.04448  0.03548  0.00000  0.000000  0.000000  0.000000     1.000
   0.98151  0.02687  0.02710  0.00000  0.000000  0.000000  0.000000     1.000
   0.99736  0.01357  0.01847  0.00000  0.000000  0.000000  0.000000     1.000
   1.00959  0.00472  0.01004  0.00000  0.000000  0.000000  0.000000     1.000
   1.01893  0.00042  0.00175  0.00000  0.000000  0.000000  0.000000     1.000
   1.02055  0.00003  0.00018  0.00000  0.000000  0.000000  0.000000     1.000
   1.02073  0.00000  0.00000  0.00000  0.000000  0.000000  0.000000     1.000
   1.02095  0.00006 -0.00021  0.00000  0.000000  0.000000  0.000000     1.000
   1.02159  0.00025 -0.00082  0.00000  0.000000  0.000000  0.000000     1.000
   1.02255  0.00056 -0.00173  0.00000  0.000000  0.000000  0.000000     1.000
   1.02371  0.00100 -0.00281  0.00000  0.000000  0.000000  0.000000     1.000
   1.02489  0.00156 -0.00384  0.00000  0.000000  0.000000  0.000000     1.000
   1.02591  0.00224 -0.00461  0.00000  0.000000  0.000000  0.000000     1.000
   1.02690  0.00305 -0.00517  0.00000  0.000000  0.000000  0.000000     1.000
   1.02800  0.00398 -0.00577  0.00000  0.000000  0.000000  0.000000     1.000
   1.02926  0.00504 -0.00644  0.00000  0.000000  0.000000  0.000000     1.000
   1.03060  0.00622 -0.00709  0.00000  0.000000  0.000000  0.000000     1.000
   1.03204  0.00752 -0.00770  0.00000  0.000000  0.000000  0.000000     1.000
   1.03359  0.00895 -0.00829  0.00000  0.000000  0.000000  0.000000     1.000
   1.03524  0.01049 -0.00888  0.00000  0.000000  0.000000  0.000000     1.000
   1.03701  0.01216 -0.00947  0.00000  0.000000  0.000000  0.000000     1.000
   1.03889  0.01395 -0.01005  0.00000  0.000000  0.000000  0.000000     1.000
   1.04089  0.01587 -0.01061  0.00000  0.000000  0.000000  0.000000     1.000
   1.04300  0.01790 -0.01117  0.00000  0.000000  0.000000  0.000000     1.000
   1.04521  0.02005 -0.01170  0.00000  0.000000  0.000000  0.000000     1.000
   1.04755  0.02233 -0.01223  0.00000  0.000000  0.000000  0.000000     1.000
   1.04999  0.02472 -0.01273  0.00000  0.000000  0.000000  0.000000     1.000
   1.05255  0.02723 -0.01324  0.00000  0.000000  0.000000  0.000000     1.000
   1.05522  0.02985 -0.01372  0.00000  0.000000  0.000000  0.000000     1.000
   1.05801  0.03260 -0.01419  0.00000  0.000000  0.000000  0.000000     1.000
   1.06090  0.03546 -0.01464  0.00000  0.000000  0.000000  0.000000     1.000
   1.06392  0.03844 -0.01508  0.00000  0.000000  0.000000  0.000000     1.000
   1.06704  0.04153 -0.01552  0.00000  0.000000  0.000000  0.000000     1.000
   1.07027  0.04474 -0.01594  0.00000  0.000000  0.000000  0.000000     1.000
   1.07362  0.04806 -0.01634  0.00000  0.000000  0.000000  0.000000     1.000
   1.07707  0.05149 -0.01672  0.00000  0.000000  0.000000  0.000000     1.000
   1.08064  0.05504 -0.01709  0.00000  0.000000  0.000000  0.000000     1.000
   1.08431  0.05869 -0.01745  0.00000  0.000000  0.000000  0.000000     1.000
   1.08809  0.06246 -0.01780  0.00000  0.000000  0.000000  0.000000     1.000
   1.09198  0.06633 -0.01813  0.00000  0.000000  0.000000  0.000000     1.000
   1.09597  0.07031 -0.01845  0.00000  0.000000  0.000000  0.000000     1.000
   1.10007  0.07440 -0.01876  0.00000  0.000000  0.000000  0.000000     1.000
   1.10428  0.07860 -0.01905  0.00000  0.000000  0.000000  0.000000     1.000
   1.10859  0.08290 -0.01934  0.00000  0.000000  0.000000  0.000000     1.000
   1.11301  0.08731 -0.01962  0.00000  0.000000  0.000000  0.000000     1.000
   1.11752  0.09181 -0.01987  0.00000  0.000000  0.000000  0.000000     1.000
   1.12213  0.09642 -0.02011  0.00000  0.000000  0.000000  0.000000     1.000
   1.12685  0.10113 -0.02034  0.00000  0.000000  0.000000  0.000000     1.000
   1.13166  0.10594 -0.02057  0.00000  0.000000  0.000000  0.000000     1.000
   1.13658  0.11085 -0.02079  0.00000  0.000000  0.000000  0.000000     1.000
   1.14158  0.11585 -0.02099  0.00000  0.000000  0.000000  0.000000     1.000
   1.14668  0.12095 -0.02116  0.00000  0.000000  0.000000  0.000000     1.000
   1.15189  0.12615 -0.02136  0.00000  0.000000  0.000000  0.000000     1.000
   1.15718  0.13144 -0.02151  0.00000  0.000000  0.000000  0.000000     1.000
   1.16256  0.13682 -0.02168  0.00000  0.000000  0.000000  0.000000     1.000
   1.16804  0.14229 -0.02182  0.00000  0.000000  0.000000  0.000000     1.000
   1.17360  0.14785 -0.02197  0.00000  0.000000  0.000000  0.000000     1.000
   1.17924  0.15349 -0.02210  0.00000  0.000000  0.000000  0.000000     1.000
   1.18497  0.15922 -0.02222  0.00000  0.000000  0.000000  0.000000     1.000
   1.19079  0.16504 -0.02234  0.00000  0.000000  0.000000  0.000000     1.000
   1.19670  0.17095 -0.02245  0.00000  0.000000  0.000000  0.000000     1.000
   1.20874  0.18299 -0.02264  0.00000  0.000000  0.000000  0.000000     1.000
   1.22111  0.19536 -0.02282  0.00000  0.000000  0.000000  0.000000     1.000
   1.23379  0.20803 -0.02294  0.00000  0.000000  0.000000  0.000000     1.000
   1.24675  0.22099 -0.02306  0.00000  0.000000  0.000000  0.000000     1.000
   1.25998  0.23422 -0.02315  0.00000  0.000000  0.000000  0.000000     1.000
   1.27348  0.24772 -0.02320  0.00000  0.000000  0.000000  0.000000     1.000
   1.28724  0.26148 -0.02324  0.00000  0.000000  0.000000  0.000000     1.000
   1.30123  0.27547 -0.02326  0.00000  0.000000  0.000000  0.000000     1.000
   1.31545  0.28969 -0.02325  0.00000  0.000000  0.000000  0.000000     1.000
   1.32987  0.30411 -0.02322  0.00000  0.000000  0.000000  0.000000     1.000
