#    x        Cp  
   1.00000  0.44370
   0.95034  0.35827
   0.90067  0.18949
   0.85092  0.04020
   0.80106 -0.12055
   0.75109 -0.29846
   0.70103 -0.49092
   0.65087 -0.70109
   0.60063 -0.90279
   0.55032 -0.85160
   0.50000 -0.82178
   0.44967 -0.79534
   0.39933 -0.77726
   0.34900 -0.74848
   0.29869 -0.71371
   0.24840 -0.67502
   0.19815 -0.61883
   0.14797 -0.54756
   0.09788 -0.42163
   0.07291 -0.31821
   0.04800 -0.20502
   0.02323  0.01917
   0.01095  0.18695
   0.00610  0.36772
   0.00372  0.42178
   0.00000  1.03390
   0.00628  0.26375
   0.00890  0.23315
   0.01405  0.09551
   0.02677  0.00394
   0.05200 -0.14528
   0.07709 -0.21703
   0.10212 -0.28930
   0.15203 -0.37113
   0.20185 -0.41806
   0.25160 -0.45273
   0.30131 -0.47787
   0.35100 -0.49947
   0.40067 -0.52295
   0.45033 -0.52900
   0.50000 -0.54949
   0.54968 -0.57224
   0.59937 -0.61226
   0.64913 -0.43866
   0.69897 -0.25687
   0.74891 -0.09157
   0.79894  0.05923
   0.84908  0.19769
   0.89933  0.31862
   0.94966  0.47753
   1.00000  0.44370
