#    x        Cp  
   1.00000  0.41443
   0.95034  0.33261
   0.90067  0.17374
   0.85092  0.03488
   0.80106 -0.11281
   0.75109 -0.27408
   0.70103 -0.44606
   0.65087 -0.63095
   0.60063 -0.80578
   0.55032 -0.76297
   0.50000 -0.73843
   0.44967 -0.71680
   0.39933 -0.70250
   0.34900 -0.67903
   0.29869 -0.65054
   0.24840 -0.61886
   0.19815 -0.57222
   0.14797 -0.51283
   0.09788 -0.40593
   0.07291 -0.31665
   0.04800 -0.21919
   0.02323 -0.02128
   0.01095  0.12593
   0.00610  0.29381
   0.00372  0.33807
   0.00000  0.99628
   0.00628  0.29997
   0.00890  0.26518
   0.01405  0.13405
   0.02677  0.04063
   0.05200 -0.10189
   0.07709 -0.17073
   0.10212 -0.23818
   0.15203 -0.31496
   0.20185 -0.35923
   0.25160 -0.39188
   0.30131 -0.41568
   0.35100 -0.43605
   0.40067 -0.45782
   0.45033 -0.46424
   0.50000 -0.48312
   0.54968 -0.50387
   0.59937 -0.53953
   0.64913 -0.38872
   0.69897 -0.22819
   0.74891 -0.07998
   0.79894  0.05713
   0.84908  0.18465
   0.89933  0.29728
   0.94966  0.44736
   1.00000  0.41443
