#    x        Cp  
   1.00000  0.42115
   0.95034  0.33849
   0.90067  0.17733
   0.85092  0.03608
   0.80106 -0.11456
   0.75109 -0.27956
   0.70103 -0.45608
   0.65087 -0.64652
   0.60063 -0.82718
   0.55032 -0.78256
   0.50000 -0.75688
   0.44967 -0.73421
   0.39933 -0.71909
   0.34900 -0.69447
   0.29869 -0.66460
   0.24840 -0.63140
   0.19815 -0.58266
   0.14797 -0.52065
   0.09788 -0.40952
   0.07291 -0.31707
   0.04800 -0.21605
   0.02323 -0.01208
   0.01095  0.13996
   0.00610  0.31099
   0.00372  0.35762
   0.00000  1.00531
   0.00628  0.29181
   0.00890  0.25796
   0.01405  0.12539
   0.02677  0.03241
   0.05200 -0.11158
   0.07709 -0.18105
   0.10212 -0.24956
   0.15203 -0.32745
   0.20185 -0.37230
   0.25160 -0.40539
   0.30131 -0.42949
   0.35100 -0.45013
   0.40067 -0.47227
   0.45033 -0.47861
   0.50000 -0.49784
   0.54968 -0.51903
   0.59937 -0.55564
   0.64913 -0.39985
   0.69897 -0.23462
   0.74891 -0.08259
   0.79894  0.05761
   0.84908  0.18762
   0.89933  0.30216
   0.94966  0.45429
   1.00000  0.42115
