#    x        Cp  
   1.00000 -0.01201
   0.99361 -0.01312
   0.98319 -0.01524
   0.97205 -0.01732
   0.96053 -0.01916
   0.94889 -0.02056
   0.93716 -0.02125
   0.92532 -0.02051
   0.91338 -0.01707
   0.90137 -0.01559
   0.88932 -0.02236
   0.87723 -0.03151
   0.86514 -0.04299
   0.85305 -0.05668
   0.84095 -0.07261
   0.82886 -0.09055
   0.81679 -0.11041
   0.80472 -0.13206
   0.79266 -0.15517
   0.78059 -0.17989
   0.76853 -0.20592
   0.75649 -0.23295
   0.74447 -0.26076
   0.73246 -0.28954
   0.72045 -0.31845
   0.70844 -0.34783
   0.69643 -0.37745
   0.68443 -0.40734
   0.67242 -0.43692
   0.66042 -0.46689
   0.64841 -0.49700
   0.63640 -0.52670
   0.62440 -0.55703
   0.61241 -0.58713
   0.60042 -0.61754
   0.58843 -0.64715
   0.57643 -0.67657
   0.56443 -0.70679
   0.55243 -0.73686
   0.54044 -0.76664
   0.52843 -0.79666
   0.51642 -0.82721
   0.50441 -0.85788
   0.49240 -0.88863
   0.48040 -0.92077
   0.46840 -0.95281
   0.45641 -0.98554
   0.44442 -1.01823
   0.43244 -1.05166
   0.42045 -1.08513
   0.40846 -1.12051
   0.39649 -1.15693
   0.38453 -1.19356
   0.37257 -1.23141
   0.36062 -1.26959
   0.34867 -1.30963
   0.33673 -1.35216
   0.32481 -1.39502
   0.31290 -1.44063
   0.30100 -1.48783
   0.28913 -1.53855
   0.27728 -1.59144
   0.26547 -1.64642
   0.25368 -1.70407
   0.24191 -1.76586
   0.23018 -1.83128
   0.21849 -1.90224
   0.20685 -1.97772
   0.19527 -2.05907
   0.18375 -2.14649
   0.17230 -2.24183
   0.16093 -2.34585
   0.14967 -2.46082
   0.13852 -2.58508
   0.12750 -2.72371
   0.11663 -2.87651
   0.10595 -3.05060
   0.09550 -3.24195
   0.08534 -3.46800
   0.07556 -3.72317
   0.06623 -4.01289
   0.05745 -4.32587
   0.04931 -4.67462
   0.04191 -5.04920
   0.03532 -5.46414
   0.02957 -5.90954
   0.02464 -6.38999
   0.02044 -6.92630
   0.01688 -7.49568
   0.01386 -8.10384
   0.01129 -8.76163
   0.00910 -9.43119
   0.00723 -10.13094
   0.00562 -10.81764
   0.00425 -11.54295
   0.00310 -13.62118
   0.00214 -13.94878
   0.00137 -14.48102
   0.00078 -15.15645
   0.00035 -15.60967
   0.00009 -15.79317
   0.00000 -15.78748
   0.00008 -15.27985
   0.00037 -13.85720
   0.00085 -11.71756
   0.00154 -9.59556
   0.00244 -7.62113
   0.00356 -5.75838
   0.00491 -4.08990
   0.00648 -2.73262
   0.00827 -1.73386
   0.01030 -0.99464
   0.01262 -0.43132
   0.01527 -0.00809
   0.01833  0.31173
   0.02189  0.54868
   0.02606  0.72223
   0.03099  0.84427
   0.03683  0.92609
   0.04373  0.97443
   0.05175  0.99637
   0.06084  0.99921
   0.07084  0.98919
   0.08153  0.97162
   0.09269  0.95012
   0.10417  0.92690
   0.11588  0.90385
   0.12775  0.88091
   0.13972  0.85872
   0.15178  0.83776
   0.16389  0.81775
   0.17605  0.79835
   0.18824  0.78049
   0.20046  0.76319
   0.21271  0.74703
   0.22498  0.73113
   0.23725  0.71651
   0.24955  0.70245
   0.26186  0.68880
   0.27417  0.67592
   0.28651  0.66373
   0.29885  0.65214
   0.31121  0.64083
   0.32359  0.62989
   0.33597  0.61933
   0.34835  0.60938
   0.36074  0.59903
   0.37312  0.58973
   0.38551  0.58089
   0.39791  0.57159
   0.41030  0.56336
   0.42269  0.55478
   0.43507  0.54714
   0.44745  0.53921
   0.45983  0.53203
   0.47221  0.52384
   0.48459  0.51713
   0.49695  0.51005
   0.50931  0.50301
   0.52167  0.49621
   0.53402  0.48978
   0.54635  0.48316
   0.55868  0.47672
   0.57100  0.47023
   0.58333  0.46374
   0.59565  0.45788
   0.60796  0.45073
   0.62027  0.44488
   0.63259  0.43827
   0.64489  0.43240
   0.65720  0.42575
   0.66950  0.41964
   0.68179  0.41317
   0.69407  0.40721
   0.70636  0.39987
   0.71864  0.39446
   0.73091  0.38776
   0.74316  0.38102
   0.75541  0.37460
   0.76766  0.36737
   0.77990  0.35979
   0.79213  0.35282
   0.80436  0.34530
   0.81658  0.33705
   0.82878  0.32980
   0.84096  0.32013
   0.85313  0.31163
   0.86528  0.30174
   0.87740  0.29228
   0.88950  0.27987
   0.90157  0.26867
   0.91360  0.25385
   0.92559  0.23926
   0.93750  0.22063
   0.94930  0.19963
   0.96092  0.17457
   0.97226  0.13903
   0.98321  0.08896
   0.99357 -0.01541
   1.00000 -0.01201
