#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.04979  0.073466  0.011460 -0.000006     6.411
   0.00649  0.99361  0.00114  1.05056  0.071652  0.011389 -0.000006     6.291
   0.01709  0.98319  0.00310  1.05196  0.069366  0.011266 -0.000006     6.157
   0.02844  0.97205  0.00525  1.05345  0.066891  0.011137 -0.000006     6.006
   0.04018  0.96053  0.00749  1.05500  0.064337  0.011009 -0.000007     5.844
   0.05202  0.94889  0.00968  1.05657  0.061807  0.010882 -0.000007     5.680
   0.06394  0.93716  0.01182  1.05818  0.059342  0.010757 -0.000007     5.516
   0.07597  0.92532  0.01391  1.05981  0.056915  0.010635 -0.000007     5.352
   0.08809  0.91338  0.01598  1.06145  0.054504  0.010516 -0.000007     5.183
   0.10027  0.90137  0.01803  1.06310  0.052124  0.010400 -0.000007     5.012
   0.11249  0.88932  0.02005  1.06475  0.049766  0.010289 -0.000007     4.837
   0.12474  0.87723  0.02206  1.06639  0.047430  0.010184 -0.000007     4.658
   0.13700  0.86514  0.02406  1.06799  0.045119  0.010084 -0.000006     4.474
   0.14925  0.85305  0.02602  1.06954  0.042848  0.009991 -0.000005     4.289
   0.16150  0.84095  0.02796  1.07100  0.040605  0.009907 -0.000003     4.099
   0.17374  0.82886  0.02988  1.07232  0.038408  0.009834 -0.000001     3.906
   0.18596  0.81679  0.03178  1.07342  0.036261  0.009775  0.000002     3.710
   0.19817  0.80472  0.03363  1.07417  0.034174  0.009737  0.000006     3.510
   0.21037  0.79266  0.03546  1.07443  0.032162  0.009724  0.000012     3.307
   0.22257  0.78059  0.03726  1.07465  0.030216  0.009714  0.000055     3.111
   0.23476  0.76853  0.03902  1.07743  0.028304  0.009588  0.000115     2.952
   0.24692  0.75649  0.04075  1.08161  0.026470  0.009408  0.000177     2.814
   0.25906  0.74447  0.04244  1.08675  0.024732  0.009197  0.000245     2.689
   0.27119  0.73246  0.04409  1.09282  0.023090  0.008961  0.000318     2.577
   0.28330  0.72045  0.04570  1.09976  0.021558  0.008706  0.000398     2.476
   0.29541  0.70844  0.04726  1.10752  0.020124  0.008437  0.000485     2.385
   0.30752  0.69643  0.04877  1.11601  0.018798  0.008159  0.000579     2.304
   0.31961  0.68443  0.05025  1.12520  0.017566  0.007876  0.000680     2.230
   0.33170  0.67242  0.05167  1.13491  0.016439  0.007593  0.000785     2.165
   0.34378  0.66042  0.05305  1.14517  0.015398  0.007312  0.000897     2.106
   0.35586  0.64841  0.05438  1.15586  0.014442  0.007036  0.001013     2.053
   0.36794  0.63640  0.05567  1.16685  0.013573  0.006768  0.001132     2.005
   0.38001  0.62440  0.05691  1.17818  0.012770  0.006507  0.001256     1.962
   0.39206  0.61241  0.05810  1.18966  0.012042  0.006258  0.001381     1.924
   0.40410  0.60042  0.05923  1.20131  0.011373  0.006018  0.001508     1.890
   0.41614  0.58843  0.06032  1.21294  0.010770  0.005791  0.001634     1.860
   0.42818  0.57643  0.06135  1.22458  0.010219  0.005575  0.001759     1.833
   0.44022  0.56443  0.06233  1.23627  0.009711  0.005369  0.001885     1.809
   0.45225  0.55243  0.06326  1.24801  0.009242  0.005173  0.002012     1.787
   0.46428  0.54044  0.06413  1.25954  0.008817  0.004988  0.002134     1.768
   0.47632  0.52843  0.06495  1.27108  0.008422  0.004812  0.002256     1.750
   0.48835  0.51642  0.06572  1.28265  0.008054  0.004643  0.002378     1.735
   0.50038  0.50441  0.06644  1.29412  0.007713  0.004483  0.002498     1.721
   0.51241  0.49240  0.06710  1.30555  0.007395  0.004330  0.002617     1.708
   0.52443  0.48040  0.06771  1.31712  0.007093  0.004182  0.002738     1.696
   0.53644  0.46840  0.06826  1.32860  0.006811  0.004040  0.002856     1.686
   0.54844  0.45641  0.06876  1.34009  0.006546  0.003905  0.002974     1.676
   0.56043  0.44442  0.06920  1.35155  0.006296  0.003775  0.003090     1.668
   0.57243  0.43244  0.06958  1.36299  0.006061  0.003650  0.003204     1.661
   0.58442  0.42045  0.06990  1.37435  0.005840  0.003530  0.003315     1.654
   0.59641  0.40846  0.07016  1.38613  0.005622  0.003411  0.003434     1.648
   0.60839  0.39649  0.07037  1.39792  0.005415  0.003297  0.003551     1.642
   0.62035  0.38453  0.07051  1.40981  0.005217  0.003186  0.003668     1.637
   0.63230  0.37257  0.07059  1.42182  0.005027  0.003078  0.003786     1.633
   0.64426  0.36062  0.07061  1.43379  0.004848  0.002975  0.003900     1.630
   0.65621  0.34867  0.07056  1.44626  0.004669  0.002872  0.004023     1.626
   0.66814  0.33673  0.07045  1.45885  0.004498  0.002772  0.004145     1.623
   0.68007  0.32481  0.07027  1.47194  0.004327  0.002672  0.004276     1.619
   0.69198  0.31290  0.07003  1.48523  0.004163  0.002575  0.004408     1.617
