#    x        Cp  
   1.00000  0.35997
   0.99251  0.30498
   0.98051  0.28331
   0.96749  0.26680
   0.95336  0.25136
   0.93809  0.23158
   0.92177  0.20776
   0.90452  0.18174
   0.88652  0.15598
   0.86793  0.13088
   0.84887  0.10446
   0.82942  0.07617
   0.80965  0.04626
   0.78963  0.01458
   0.76946 -0.01859
   0.74923 -0.05254
   0.72904 -0.08618
   0.70898 -0.11983
   0.68909 -0.15361
   0.66938 -0.18779
   0.64985 -0.22126
   0.63049 -0.25438
   0.61128 -0.28704
   0.59223 -0.31965
   0.57335 -0.35179
   0.55464 -0.38354
   0.53609 -0.41459
   0.51770 -0.44516
   0.49950 -0.47627
   0.48160 -0.51087
   0.46402 -0.54393
   0.44677 -0.57287
   0.42976 -0.59333
   0.41290 -0.60846
   0.39616 -0.61728
   0.37947 -0.61889
   0.36280 -0.61284
   0.34611 -0.60048
   0.32934 -0.58192
   0.31247 -0.55845
   0.29552 -0.53404
   0.27856 -0.50996
   0.26168 -0.48462
   0.24492 -0.45684
   0.22831 -0.42694
   0.21192 -0.39444
   0.19581 -0.36056
   0.18011 -0.32660
   0.16492 -0.29044
   0.15033 -0.25165
   0.13640 -0.21209
   0.12321 -0.17008
   0.11088 -0.12500
   0.09950 -0.07808
   0.08910 -0.03101
   0.07967  0.01720
   0.07116  0.06464
   0.06350  0.11098
   0.05660  0.15938
   0.05036  0.20931
   0.04470  0.26023
   0.03956  0.31248
   0.03487  0.36710
   0.03060  0.42178
   0.02670  0.47786
   0.02314  0.53279
   0.01989  0.58515
   0.01692  0.63841
   0.01423  0.69508
   0.01180  0.75260
   0.00960  0.81033
   0.00762  0.86535
   0.00585  0.91493
   0.00430  0.95641
   0.00300  0.98771
   0.00195  0.99998
   0.00113  0.98878
   0.00052  0.95271
   0.00012  0.89100
  -0.00009  0.80443
  -0.00011  0.69365
   0.00007  0.56197
   0.00044  0.41954
   0.00100  0.26419
   0.00177  0.10500
   0.00274 -0.05878
   0.00394 -0.22044
   0.00537 -0.37612
   0.00704 -0.50158
   0.00895 -0.58326
   0.01110 -0.64698
   0.01349 -0.69333
   0.01612 -0.73035
   0.01902 -0.75966
   0.02220 -0.77463
   0.02569 -0.77902
   0.02951 -0.78168
   0.03369 -0.78312
   0.03830 -0.77965
   0.04338 -0.76810
   0.04899 -0.75529
   0.05518 -0.75357
   0.06199 -0.77452
   0.06949 -0.80090
   0.07773 -0.82261
   0.08686 -0.82152
   0.09702 -0.80688
   0.10832 -0.79795
   0.12076 -0.79838
   0.13417 -0.80012
   0.14838 -0.80097
   0.16324 -0.80270
   0.17872 -0.80339
   0.19478 -0.80323
   0.21134 -0.80473
   0.22825 -0.80675
   0.24539 -0.80882
   0.26264 -0.81108
   0.27994 -0.81412
   0.29727 -0.81460
   0.31466 -0.81104
   0.33214 -0.80550
   0.34960 -0.80153
   0.36683 -0.80858
   0.38366 -0.81426
   0.40021 -0.80514
   0.41680 -0.76395
   0.43381 -0.70766
   0.45140 -0.64940
   0.46947 -0.60230
   0.48778 -0.55776
   0.50622 -0.51363
   0.52486 -0.46749
   0.54374 -0.42107
   0.56289 -0.37573
   0.58227 -0.33126
   0.60183 -0.28760
   0.62156 -0.24501
   0.64146 -0.20258
   0.66154 -0.16038
   0.68182 -0.11749
   0.70225 -0.07577
   0.72273 -0.03518
   0.74312  0.00389
   0.76332  0.04182
   0.78326  0.07816
   0.80285  0.11286
   0.82201  0.14615
   0.84073  0.17663
   0.85904  0.20396
   0.87699  0.22869
   0.89446  0.25331
   0.91117  0.28247
   0.92691  0.31105
   0.94166  0.33378
   0.95549  0.34707
   0.96851  0.35151
   0.98082  0.35176
   0.99251  0.35084
   1.00000  0.35997
