#    x        Cp  
   1.00000  0.10219
   0.99420  0.09645
   0.98331  0.08490
   0.97039  0.06804
   0.95659  0.04715
   0.94257  0.02421
   0.92833 -0.00023
   0.91392 -0.02596
   0.89944 -0.05274
   0.88494 -0.08049
   0.87042 -0.10875
   0.85588 -0.13803
   0.84136 -0.16757
   0.82684 -0.19738
   0.81234 -0.22765
   0.79783 -0.25803
   0.78332 -0.28813
   0.76881 -0.31918
   0.75432 -0.34972
   0.73985 -0.38075
   0.72538 -0.41109
   0.71092 -0.44133
   0.69645 -0.47191
   0.68197 -0.50157
   0.66750 -0.53141
   0.65302 -0.56140
   0.63854 -0.59089
   0.62406 -0.62082
   0.60958 -0.65052
   0.59510 -0.68026
   0.58062 -0.70992
   0.56614 -0.73937
   0.55166 -0.76903
   0.53717 -0.79860
   0.52267 -0.82833
   0.50816 -0.85846
   0.49365 -0.88963
   0.47915 -0.92078
   0.46466 -0.95314
   0.45017 -0.98557
   0.43569 -1.01850
   0.42120 -1.05200
   0.40671 -1.08672
   0.39223 -1.12218
   0.37775 -1.15943
   0.36329 -1.19762
   0.34883 -1.23729
   0.33438 -1.27844
   0.31994 -1.32190
   0.30551 -1.36793
   0.29111 -1.41694
   0.27674 -1.46951
   0.26240 -1.52474
   0.24809 -1.58313
   0.23381 -1.64589
   0.21956 -1.71457
   0.20536 -1.78988
   0.19124 -1.87250
   0.17720 -1.96278
   0.16323 -2.06194
   0.14937 -2.17330
   0.13564 -2.29827
   0.12206 -2.44116
   0.10867 -2.60322
   0.09551 -2.79375
   0.08266 -3.02044
   0.07028 -3.29442
   0.05851 -3.61183
   0.04750 -3.97438
   0.03749 -4.39417
   0.02876 -4.87275
   0.02151 -5.43587
   0.01579 -6.07388
   0.01143 -6.69572
   0.00813 -7.35156
   0.00562 -7.92598
   0.00368 -8.82213
   0.00219 -9.97053
   0.00113 -10.58710
   0.00044 -11.25420
   0.00007 -11.93510
   0.00002 -11.83709
   0.00030 -10.16797
   0.00093 -8.20382
   0.00202 -5.59749
   0.00367 -2.97700
   0.00595 -1.16214
   0.00886 -0.18837
   0.01241  0.32442
   0.01682  0.65706
   0.02241  0.86181
   0.02961  0.96746
   0.03877  0.99966
   0.04983  0.98759
   0.06224  0.95508
   0.07550  0.91676
   0.08929  0.87807
   0.10342  0.84205
   0.11776  0.80962
   0.13222  0.77924
   0.14676  0.75213
   0.16135  0.72742
   0.17598  0.70463
   0.19065  0.68376
   0.20535  0.66482
   0.22007  0.64681
   0.23480  0.63039
   0.24955  0.61510
   0.26431  0.60062
   0.27908  0.58737
   0.29387  0.57472
   0.30866  0.56298
   0.32347  0.55162
   0.33829  0.54106
   0.35311  0.53070
   0.36793  0.52134
   0.38276  0.51190
   0.39759  0.50324
   0.41241  0.49507
   0.42724  0.48692
   0.44206  0.47988
   0.45689  0.47217
   0.47170  0.46535
   0.48652  0.45860
   0.50132  0.45204
   0.51612  0.44593
   0.53091  0.43995
   0.54569  0.43396
   0.56047  0.42804
   0.57524  0.42234
   0.59000  0.41688
   0.60477  0.41103
   0.61953  0.40537
   0.63429  0.39986
   0.64905  0.39422
   0.66380  0.38934
   0.67855  0.38334
   0.69330  0.37804
   0.70804  0.37289
   0.72277  0.36755
   0.73750  0.36201
   0.75221  0.35669
   0.76692  0.35122
   0.78162  0.34478
   0.79632  0.33920
   0.81101  0.33324
   0.82569  0.32608
   0.84035  0.32044
   0.85500  0.31268
   0.86962  0.30572
   0.88422  0.29733
   0.89880  0.28860
   0.91335  0.27822
   0.92784  0.26709
   0.94223  0.25359
   0.95645  0.23454
   0.97032  0.21371
   0.98320  0.18387
   0.99414  0.12406
   1.00000  0.10219
