#    x        Cp  
   1.00000  0.27846
   0.99420  0.21566
   0.98331  0.12691
   0.97039  0.04720
   0.95659 -0.01278
   0.94257 -0.05163
   0.92833 -0.07705
   0.91392 -0.10116
   0.89944 -0.12274
   0.88494 -0.14496
   0.87042 -0.16634
   0.85588 -0.18897
   0.84136 -0.21055
   0.82684 -0.23282
   0.81234 -0.25392
   0.79783 -0.27537
   0.78332 -0.29592
   0.76881 -0.31783
   0.75432 -0.33903
   0.73985 -0.36009
   0.72538 -0.37980
   0.71092 -0.39908
   0.69645 -0.41824
   0.68197 -0.43564
   0.66750 -0.45334
   0.65302 -0.47084
   0.63854 -0.48724
   0.62406 -0.50418
   0.60958 -0.51999
   0.59510 -0.53556
   0.58062 -0.55023
   0.56614 -0.56433
   0.55166 -0.57776
   0.53717 -0.59066
   0.52267 -0.60297
   0.50816 -0.61527
   0.49365 -0.62744
   0.47915 -0.64010
   0.46466 -0.65215
   0.45017 -0.66385
   0.43569 -0.67458
   0.42120 -0.68520
   0.40671 -0.69541
   0.39223 -0.70565
   0.37775 -0.71625
   0.36329 -0.72626
   0.34883 -0.73611
   0.33438 -0.74562
   0.31994 -0.75514
   0.30551 -0.76563
   0.29111 -0.77636
   0.27674 -0.78786
   0.26240 -0.79849
   0.24809 -0.80888
   0.23381 -0.81886
   0.21956 -0.82970
   0.20536 -0.84240
   0.19124 -0.85442
   0.17720 -0.86674
   0.16323 -0.87810
   0.14937 -0.88891
   0.13564 -0.90035
   0.12206 -0.91000
   0.10867 -0.91847
   0.09551 -0.92359
   0.08266 -0.92784
   0.07028 -0.93021
   0.05851 -0.91528
   0.04750 -0.87569
   0.03749 -0.80617
   0.02876 -0.70382
   0.02151 -0.58111
   0.01579 -0.43712
   0.01143 -0.26442
   0.00813 -0.08259
   0.00562  0.12245
   0.00368  0.32462
   0.00219  0.51243
   0.00113  0.70969
   0.00044  0.89308
   0.00007  1.03121
   0.00002  1.10531
   0.00030  1.07531
   0.00093  0.91908
   0.00202  0.66387
   0.00367  0.44029
   0.00595  0.32923
   0.00886  0.25334
   0.01241  0.12597
   0.01682  0.01105
   0.02241 -0.06993
   0.02961 -0.10311
   0.03877 -0.10279
   0.04983 -0.09463
   0.06224 -0.07491
   0.07550 -0.05946
   0.08929 -0.04240
   0.10342 -0.02739
   0.11776 -0.01289
   0.13222 -0.00217
   0.14676  0.00779
   0.16135  0.01660
   0.17598  0.02467
   0.19065  0.03229
   0.20535  0.03916
   0.22007  0.04573
   0.23480  0.05190
   0.24955  0.05792
   0.26431  0.06374
   0.27908  0.06945
   0.29387  0.07495
   0.30866  0.08044
   0.32347  0.08558
   0.33829  0.09060
   0.35311  0.09531
   0.36793  0.09997
   0.38276  0.10459
   0.39759  0.10923
   0.41241  0.11402
   0.42724  0.11888
   0.44206  0.12375
   0.45689  0.12821
   0.47170  0.13292
   0.48652  0.13750
   0.50132  0.14193
   0.51612  0.14658
   0.53091  0.15112
   0.54569  0.15549
   0.56047  0.15967
   0.57524  0.16367
   0.59000  0.16771
   0.60477  0.17123
   0.61953  0.17504
   0.63429  0.17858
   0.64905  0.18200
   0.66380  0.18592
   0.67855  0.18916
   0.69330  0.19278
   0.70804  0.19634
   0.72277  0.20017
   0.73750  0.20353
   0.75221  0.20731
   0.76692  0.21093
   0.78162  0.21374
   0.79632  0.21724
   0.81101  0.22063
   0.82569  0.22390
   0.84035  0.22778
   0.85500  0.23093
   0.86962  0.23474
   0.88422  0.23822
   0.89880  0.24213
   0.91335  0.24494
   0.92784  0.24950
   0.94223  0.25292
   0.95645  0.25619
   0.97032  0.26264
   0.98320  0.27350
   0.99414  0.29213
   1.00000  0.27846
