#    x        Cp  
   1.00000  0.16774
   0.99361  0.13899
   0.98319  0.10581
   0.97205  0.07236
   0.96053  0.03980
   0.94889  0.01190
   0.93716 -0.01030
   0.92532 -0.02862
   0.91338 -0.04523
   0.90137 -0.05984
   0.88932 -0.07351
   0.87723 -0.08679
   0.86514 -0.09996
   0.85305 -0.11331
   0.84095 -0.12827
   0.82886 -0.14645
   0.81679 -0.17050
   0.80472 -0.20350
   0.79266 -0.24797
   0.78059 -0.30336
   0.76853 -0.36574
   0.75649 -0.37150
   0.74447 -0.37579
   0.73246 -0.38005
   0.72045 -0.38437
   0.70844 -0.38879
   0.69643 -0.39336
   0.68443 -0.39814
   0.67242 -0.40315
   0.66042 -0.40843
   0.64841 -0.41395
   0.63640 -0.41974
   0.62440 -0.42584
   0.61241 -0.43230
   0.60042 -0.43911
   0.58843 -0.44627
   0.57643 -0.45376
   0.56443 -0.46158
   0.55243 -0.46966
   0.54044 -0.47785
   0.52843 -0.48623
   0.51642 -0.49470
   0.50441 -0.50328
   0.49240 -0.51186
   0.48040 -0.52054
   0.46840 -0.52920
   0.45641 -0.53781
   0.44442 -0.54631
   0.43244 -0.55465
   0.42045 -0.56292
   0.40846 -0.57140
   0.39649 -0.57984
   0.38453 -0.58813
   0.37257 -0.59630
   0.36062 -0.60445
   0.34867 -0.61270
   0.33673 -0.62119
   0.32481 -0.62958
   0.31290 -0.63825
   0.30100 -0.64703
   0.28913 -0.65620
   0.27728 -0.66551
   0.26547 -0.67476
   0.25368 -0.68398
   0.24191 -0.69375
   0.23018 -0.70369
   0.21849 -0.71421
   0.20685 -0.72500
   0.19527 -0.73599
   0.18375 -0.74741
   0.17230 -0.75897
   0.16093 -0.77146
   0.14967 -0.78396
   0.13852 -0.79655
   0.12750 -0.80930
   0.11663 -0.82228
   0.10595 -0.83556
   0.09550 -0.84812
   0.08534 -0.86257
   0.07556 -0.87505
   0.06623 -0.88452
   0.05745 -0.88686
   0.04931 -0.88232
   0.04191 -0.86948
   0.03532 -0.85006
   0.02957 -0.82462
   0.02464 -0.79413
   0.02044 -0.76086
   0.01688 -0.72197
   0.01386 -0.67765
   0.01129 -0.62392
   0.00910 -0.56384
   0.00723 -0.48995
   0.00562 -0.40205
   0.00425 -0.29997
   0.00310 -0.18879
   0.00214 -0.06764
   0.00137  0.08358
   0.00078  0.25190
   0.00035  0.43083
   0.00009  0.61142
   0.00000  0.76931
   0.00008  0.89866
   0.00037  0.98128
   0.00085  0.99866
   0.00154  0.95730
   0.00244  0.87074
   0.00356  0.75886
   0.00491  0.64528
   0.00648  0.54819
   0.00827  0.46354
   0.01030  0.38851
   0.01262  0.32607
   0.01527  0.27363
   0.01833  0.23017
   0.02189  0.19327
   0.02606  0.16352
   0.03099  0.13819
   0.03683  0.11866
   0.04373  0.10377
   0.05175  0.09381
   0.06084  0.08768
   0.07084  0.08500
   0.08153  0.08378
   0.09269  0.08323
   0.10417  0.08430
   0.11588  0.08580
   0.12775  0.08715
   0.13972  0.08863
   0.15178  0.09022
   0.16389  0.09183
   0.17605  0.09304
   0.18824  0.09453
   0.20046  0.09620
   0.21271  0.09754
   0.22498  0.09893
   0.23725  0.10042
   0.24955  0.10211
   0.26186  0.10368
   0.27417  0.10528
   0.28651  0.10707
   0.29885  0.10886
   0.31121  0.11078
   0.32359  0.11262
   0.33597  0.11432
   0.34835  0.11595
   0.36074  0.11753
   0.37312  0.11925
   0.38551  0.12110
   0.39791  0.12272
   0.41030  0.12468
   0.42269  0.12655
   0.43507  0.12854
   0.44745  0.13057
   0.45983  0.13238
   0.47221  0.13421
   0.48459  0.13621
   0.49695  0.13813
   0.50931  0.14000
   0.52167  0.14192
   0.53402  0.14388
   0.54635  0.14571
   0.55868  0.14755
   0.57100  0.14930
   0.58333  0.15096
   0.59565  0.15270
   0.60796  0.15424
   0.62027  0.15578
   0.63259  0.15730
   0.64489  0.15882
   0.65720  0.16031
   0.66950  0.16180
   0.68179  0.16324
   0.69407  0.16464
   0.70636  0.16592
   0.71864  0.16736
   0.73091  0.16872
   0.74316  0.16998
   0.75541  0.17117
   0.76766  0.17235
   0.77990  0.17337
   0.79213  0.17444
   0.80436  0.17547
   0.81658  0.17641
   0.82878  0.17741
   0.84096  0.17815
   0.85313  0.17894
   0.86528  0.17956
   0.87740  0.18011
   0.88950  0.18040
   0.90157  0.18058
   0.91360  0.18037
   0.92559  0.18013
   0.93750  0.17943
   0.94930  0.17838
   0.96092  0.17696
   0.97226  0.17459
   0.98321  0.17062
   0.99357  0.16568
   1.00000  0.16774
