#    x        Cp  
   1.00000  0.23936
   0.99361  0.16097
   0.98319  0.09626
   0.97205  0.04419
   0.96053 -0.00286
   0.94889 -0.03827
   0.93716 -0.06176
   0.92532 -0.07999
   0.91338 -0.09863
   0.90137 -0.11464
   0.88932 -0.13051
   0.87723 -0.14673
   0.86514 -0.16342
   0.85305 -0.17893
   0.84095 -0.19530
   0.82886 -0.21139
   0.81679 -0.22771
   0.80472 -0.24374
   0.79266 -0.25793
   0.78059 -0.27382
   0.76853 -0.28933
   0.75649 -0.30542
   0.74447 -0.32063
   0.73246 -0.33637
   0.72045 -0.35029
   0.70844 -0.36426
   0.69643 -0.37799
   0.68443 -0.39210
   0.67242 -0.40466
   0.66042 -0.41773
   0.64841 -0.43087
   0.63640 -0.44279
   0.62440 -0.45603
   0.61241 -0.46891
   0.60042 -0.48129
   0.58843 -0.49224
   0.57643 -0.50263
   0.56443 -0.51447
   0.55243 -0.52627
   0.54044 -0.53567
   0.52843 -0.54624
   0.51642 -0.55667
   0.50441 -0.56714
   0.49240 -0.57704
   0.48040 -0.58790
   0.46840 -0.59855
   0.45641 -0.60918
   0.44442 -0.61927
   0.43244 -0.62893
   0.42045 -0.63741
   0.40846 -0.64831
   0.39649 -0.65970
   0.38453 -0.66951
   0.37257 -0.67921
   0.36062 -0.68866
   0.34867 -0.69889
   0.33673 -0.71017
   0.32481 -0.72024
   0.31290 -0.73120
   0.30100 -0.74261
   0.28913 -0.75497
   0.27728 -0.76795
   0.26547 -0.78052
   0.25368 -0.79245
   0.24191 -0.80585
   0.23018 -0.81932
   0.21849 -0.83462
   0.20685 -0.85010
   0.19527 -0.86657
   0.18375 -0.88275
   0.17230 -0.90020
   0.16093 -0.91961
   0.14967 -0.93996
   0.13852 -0.96026
   0.12750 -0.98224
   0.11663 -1.00408
   0.10595 -1.02861
   0.09550 -1.05241
   0.08534 -1.08133
   0.07556 -1.11171
   0.06623 -1.14100
   0.05745 -1.16356
   0.04931 -1.17999
   0.04191 -1.18964
   0.03532 -1.19402
   0.02957 -1.19057
   0.02464 -1.18816
   0.02044 -1.18026
   0.01688 -1.17114
   0.01386 -1.15522
   0.01129 -1.13361
   0.00910 -1.10051
   0.00723 -1.05524
   0.00562 -0.99408
   0.00425 -0.91577
   0.00310 -0.81979
   0.00214 -0.71830
   0.00137 -0.57519
   0.00078 -0.38938
   0.00035 -0.16788
   0.00009  0.06649
   0.00000  0.30477
   0.00008  0.53878
   0.00037  0.75167
   0.00085  0.90579
   0.00154  0.98462
   0.00244  0.99776
   0.00356  0.96032
   0.00491  0.89307
   0.00648  0.81716
   0.00827  0.74113
   0.01030  0.66762
   0.01262  0.60077
   0.01527  0.53925
   0.01833  0.48592
   0.02189  0.43624
   0.02606  0.39266
   0.03099  0.35328
   0.03683  0.31937
   0.04373  0.29052
   0.05175  0.26692
   0.06084  0.24836
   0.07084  0.23391
   0.08153  0.22235
   0.09269  0.21306
   0.10417  0.20650
   0.11588  0.20150
   0.12775  0.19707
   0.13972  0.19294
   0.15178  0.19002
   0.16389  0.18767
   0.17605  0.18485
   0.18824  0.18275
   0.20046  0.18182
   0.21271  0.18001
   0.22498  0.17871
   0.23725  0.17768
   0.24955  0.17755
   0.26186  0.17679
   0.27417  0.17638
   0.28651  0.17646
   0.29885  0.17651
   0.31121  0.17709
   0.32359  0.17746
   0.33597  0.17746
   0.34835  0.17790
   0.36074  0.17749
   0.37312  0.17823
   0.38551  0.17897
   0.39791  0.17939
   0.41030  0.18023
   0.42269  0.18116
   0.43507  0.18274
   0.44745  0.18385
   0.45983  0.18451
   0.47221  0.18514
   0.48459  0.18695
   0.49695  0.18798
   0.50931  0.18902
   0.52167  0.19032
   0.53402  0.19195
   0.54635  0.19304
   0.55868  0.19437
   0.57100  0.19560
   0.58333  0.19629
   0.59565  0.19804
   0.60796  0.19861
   0.62027  0.19963
   0.63259  0.20052
   0.64489  0.20188
   0.65720  0.20278
   0.66950  0.20404
   0.68179  0.20523
   0.69407  0.20645
   0.70636  0.20665
   0.71864  0.20870
   0.73091  0.20989
   0.74316  0.21096
   0.75541  0.21190
   0.76766  0.21317
   0.77990  0.21364
   0.79213  0.21488
   0.80436  0.21612
   0.81658  0.21690
   0.82878  0.21893
   0.84096  0.21916
   0.85313  0.22083
   0.86528  0.22176
   0.87740  0.22343
   0.88950  0.22395
   0.90157  0.22562
   0.91360  0.22547
   0.92559  0.22757
   0.93750  0.22818
   0.94930  0.22965
   0.96092  0.23252
   0.97226  0.23482
   0.98321  0.23441
   0.99357  0.24360
   1.00000  0.23936
