#    x        Cp  
   1.00000  0.24268
   0.99361  0.16238
   0.98319  0.09643
   0.97205  0.04307
   0.96053 -0.00504
   0.94889 -0.04163
   0.93716 -0.06608
   0.92532 -0.08532
   0.91338 -0.10492
   0.90137 -0.12187
   0.88932 -0.13868
   0.87723 -0.15575
   0.86514 -0.17344
   0.85305 -0.18975
   0.84095 -0.20714
   0.82886 -0.22411
   0.81679 -0.24136
   0.80472 -0.25832
   0.79266 -0.27344
   0.78059 -0.29029
   0.76853 -0.30682
   0.75649 -0.32388
   0.74447 -0.34004
   0.73246 -0.35688
   0.72045 -0.37175
   0.70844 -0.38682
   0.69643 -0.40151
   0.68443 -0.41680
   0.67242 -0.43030
   0.66042 -0.44452
   0.64841 -0.45881
   0.63640 -0.47180
   0.62440 -0.48623
   0.61241 -0.50023
   0.60042 -0.51393
   0.58843 -0.52605
   0.57643 -0.53762
   0.56443 -0.55073
   0.55243 -0.56382
   0.54044 -0.57454
   0.52843 -0.58641
   0.51642 -0.59824
   0.50441 -0.61012
   0.49240 -0.62140
   0.48040 -0.63383
   0.46840 -0.64597
   0.45641 -0.65821
   0.44442 -0.66987
   0.43244 -0.68124
   0.42045 -0.69133
   0.40846 -0.70406
   0.39649 -0.71734
   0.38453 -0.72903
   0.37257 -0.74070
   0.36062 -0.75216
   0.34867 -0.76454
   0.33673 -0.77809
   0.32481 -0.79047
   0.31290 -0.80390
   0.30100 -0.81789
   0.28913 -0.83301
   0.27728 -0.84889
   0.26547 -0.86453
   0.25368 -0.87966
   0.24191 -0.89648
   0.23018 -0.91363
   0.21849 -0.93292
   0.20685 -0.95264
   0.19527 -0.97373
   0.18375 -0.99480
   0.17230 -1.01766
   0.16093 -1.04300
   0.14967 -1.06986
   0.13852 -1.09726
   0.12750 -1.12715
   0.11663 -1.15768
   0.10595 -1.19209
   0.09550 -1.22684
   0.08534 -1.26850
   0.07556 -1.31338
   0.06623 -1.35896
   0.05745 -1.39922
   0.04931 -1.43501
   0.04191 -1.46557
   0.03532 -1.49248
   0.02957 -1.51262
   0.02464 -1.53587
   0.02044 -1.55468
   0.01688 -1.57404
   0.01386 -1.58743
   0.01129 -1.59644
   0.00910 -1.59405
   0.00723 -1.57973
   0.00562 -1.54883
   0.00425 -1.49952
   0.00310 -1.43082
   0.00214 -1.35940
   0.00137 -1.23487
   0.00078 -1.05206
   0.00035 -0.81381
   0.00009 -0.54863
   0.00000 -0.26078
   0.00008  0.04728
   0.00037  0.36840
   0.00085  0.64704
   0.00154  0.84063
   0.00244  0.95405
   0.00356  0.99788
   0.00491  0.98981
   0.00648  0.95089
   0.00827  0.89732
   0.01030  0.83728
   0.01262  0.77643
   0.01527  0.71617
   0.01833  0.66020
   0.02189  0.60599
   0.02606  0.55594
   0.03099  0.50898
   0.03683  0.46644
   0.04373  0.42845
   0.05175  0.39559
   0.06084  0.36806
   0.07084  0.34532
   0.08153  0.32638
   0.09269  0.31060
   0.10417  0.29827
   0.11588  0.28813
   0.12775  0.27924
   0.13972  0.27116
   0.15178  0.26467
   0.16389  0.25906
   0.17605  0.25338
   0.18824  0.24863
   0.20046  0.24520
   0.21271  0.24115
   0.22498  0.23775
   0.23725  0.23478
   0.24955  0.23276
   0.26186  0.23029
   0.27417  0.22825
   0.28651  0.22675
   0.29885  0.22535
   0.31121  0.22450
   0.32359  0.22352
   0.33597  0.22227
   0.34835  0.22152
   0.36074  0.21994
   0.37312  0.21959
   0.38551  0.21925
   0.39791  0.21862
   0.41030  0.21849
   0.42269  0.21841
   0.43507  0.21905
   0.44745  0.21923
   0.45983  0.21907
   0.47221  0.21882
   0.48459  0.21981
   0.49695  0.22003
   0.50931  0.22029
   0.52167  0.22082
   0.53402  0.22170
   0.54635  0.22207
   0.55868  0.22268
   0.57100  0.22323
   0.58333  0.22326
   0.59565  0.22437
   0.60796  0.22422
   0.62027  0.22469
   0.63259  0.22494
   0.64489  0.22570
   0.65720  0.22599
   0.66950  0.22666
   0.68179  0.22724
   0.69407  0.22789
   0.70636  0.22750
   0.71864  0.22905
   0.73091  0.22962
   0.74316  0.23012
   0.75541  0.23057
   0.76766  0.23121
   0.77990  0.23118
   0.79213  0.23186
   0.80436  0.23258
   0.81658  0.23276
   0.82878  0.23429
   0.84096  0.23391
   0.85313  0.23503
   0.86528  0.23537
   0.87740  0.23652
   0.88950  0.23634
   0.90157  0.23753
   0.91360  0.23669
   0.92559  0.23818
   0.93750  0.23807
   0.94930  0.23887
   0.96092  0.24094
   0.97226  0.24224
   0.98321  0.24106
   0.99357  0.24892
   1.00000  0.24268
